donor_id,gene_symbol,tumor_mean,normal_mean,tumor_minus_normal
C136,C4BPA,0.0,0.0,0.0
C137,C4BPA,0.0,0.0,0.0
C138,C4BPA,0.0,0.0,0.0
C139,C4BPA,0.0,0.0,0.0
C140,C4BPA,0.0,0.0,0.0
C142,C4BPA,0.0,0.0,0.0
C143,C4BPA,0.0,0.0,0.0
C151,C4BPA,0.0,0.0,0.0
C155,C4BPA,0.0,0.0,0.0
C157,C4BPA,0.000660569581668824,0.0,0.000660569581668824
C162,C4BPA,0.003018891904503107,0.0,0.003018891904503107
C165,C4BPA,0.0025011503603309393,0.0,0.0025011503603309393
C170,C4BPA,0.0,0.0,0.0
C106,CA9,0.011201848275959492,0.0,0.011201848275959492
C107,CA9,0.0017338428879156709,0.0,0.0017338428879156709
C109,CA9,0.0,0.0,0.0
C110,CA9,0.0,0.0,0.0
C111,CA9,0.0,0.0,0.0
C112,CA9,0.0,0.0,0.0
C113,CA9,0.0,0.0,0.0
C114,CA9,0.0024992681574076414,0.0,0.0024992681574076414
C115,CA9,0.011641927063465118,0.0,0.011641927063465118
C116,CA9,0.0,0.0,0.0
C119,CA9,0.0,0.0,0.0
C122,CA9,0.0,0.0,0.0
C123,CA9,0.0009219514904543757,0.0,0.0009219514904543757
C124,CA9,0.0,0.0,0.0
C125,CA9,0.0,0.0,0.0
C126,CA9,0.00863938219845295,0.0,0.00863938219845295
C129,CA9,0.0,0.0,0.0
C130,CA9,0.012943598441779613,0.0,0.012943598441779613
C132,CA9,0.006966172251850367,0.0,0.006966172251850367
C133,CA9,0.006665831431746483,0.0,0.006665831431746483
C134,CA9,0.0,0.0,0.0
C135,CA9,0.0,0.0,0.0
C136,CA9,0.0,0.0,0.0
C137,CA9,0.0,0.0,0.0
C138,CA9,0.0,0.0,0.0
C139,CA9,0.0,0.0,0.0
C140,CA9,0.0,0.0,0.0
C142,CA9,0.0,0.0,0.0
C143,CA9,0.022658344358205795,0.0,0.022658344358205795
C151,CA9,0.0,0.0,0.0
C155,CA9,0.0,0.0,0.0
C157,CA9,0.0,0.0,0.0
C162,CA9,0.0,0.0,0.0
C165,CA9,0.00395742803812027,0.0,0.00395742803812027
C170,CA9,0.016198568046092987,0.0,0.016198568046092987
C106,CADM3,0.0,0.0,0.0
C107,CADM3,0.0,0.0,0.0
C109,CADM3,0.0,0.0,0.0
C110,CADM3,0.0,0.0,0.0
C111,CADM3,0.0,0.0,0.0
C112,CADM3,0.0008477588417008519,0.0,0.0008477588417008519
C113,CADM3,0.0,0.0,0.0
C114,CADM3,0.0,0.0,0.0
C115,CADM3,0.0,0.0,0.0
C116,CADM3,0.0,0.0,0.0
C119,CADM3,0.0,0.0,0.0
C122,CADM3,0.0,0.0,0.0
C123,CADM3,0.003430478274822235,0.0,0.003430478274822235
C124,CADM3,0.0,0.0,0.0
C125,CADM3,0.0,0.0,0.0
C126,CADM3,0.0,0.004899438004940748,-0.004899438004940748
C129,CADM3,0.0,0.0,0.0
C130,CADM3,0.0,0.0,0.0
C132,CADM3,0.0,0.0,0.0
