branch_class,gene_a,gene_b,string_id_a,string_id_b,preferred_name_a,preferred_name_b,score,required_score,network_type,species,accessed_at_utc,source_database
thyroid-branch,CCL2,CXCR6,9606.ENSP00000225831,9606.ENSP00000395704,CCL2,CXCR6,0.885,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
thyroid-branch,CCL2,IL4,9606.ENSP00000225831,9606.ENSP00000231449,CCL2,IL4,0.921,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
thyroid-branch,CCL2,IFNG,9606.ENSP00000225831,9606.ENSP00000229135,CCL2,IFNG,0.938,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
thyroid-branch,CCL2,CXCL10,9606.ENSP00000225831,9606.ENSP00000305651,CCL2,CXCL10,0.965,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
thyroid-branch,CCL2,IL1B,9606.ENSP00000225831,9606.ENSP00000263341,CCL2,IL1B,0.97,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
thyroid-branch,CCL2,TNF,9606.ENSP00000225831,9606.ENSP00000398698,CCL2,TNF,0.978,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
thyroid-branch,CCL2,JUN,9606.ENSP00000225831,9606.ENSP00000360266,CCL2,JUN,0.98,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
thyroid-branch,CCL2,NFKB1,9606.ENSP00000225831,9606.ENSP00000226574,CCL2,NFKB1,0.982,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
thyroid-branch,CCL2,PF4,9606.ENSP00000225831,9606.ENSP00000296029,CCL2,PF4,0.998,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
thyroid-branch,CCL2,CXCL8,9606.ENSP00000225831,9606.ENSP00000306512,CCL2,CXCL8,0.999,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
thyroid-branch,KAT2A,HDAC9,9606.ENSP00000225916,9606.ENSP00000408617,KAT2A,HDAC9,0.776,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
thyroid-branch,KAT2A,HDAC6,9606.ENSP00000225916,9606.ENSP00000365804,KAT2A,HDAC6,0.798,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
thyroid-branch,KAT2A,HDAC3,9606.ENSP00000225916,9606.ENSP00000302967,KAT2A,HDAC3,0.856,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
thyroid-branch,KAT2A,NCOA3,9606.ENSP00000225916,9606.ENSP00000361066,KAT2A,NCOA3,0.893,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
thyroid-branch,KAT2A,TP53,9606.ENSP00000225916,9606.ENSP00000269305,KAT2A,TP53,0.909,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
thyroid-branch,KAT2A,MYC,9606.ENSP00000225916,9606.ENSP00000478887,KAT2A,MYC,0.996,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
thyroid-branch,COL1A1,IGF1,9606.ENSP00000225964,9606.ENSP00000376637,COL1A1,IGF1,0.714,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
thyroid-branch,COL1A1,IGFBP3,9606.ENSP00000225964,9606.ENSP00000370473,COL1A1,IGFBP3,0.75,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
thyroid-branch,COL1A1,ALPL,9606.ENSP00000225964,9606.ENSP00000363973,COL1A1,ALPL,0.826,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
thyroid-branch,COL1A1,ITGA4,9606.ENSP00000225964,9606.ENSP00000380227,COL1A1,ITGA4,0.83,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
thyroid-branch,COL1A1,MMP9,9606.ENSP00000225964,9606.ENSP00000361405,COL1A1,MMP9,0.84,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
thyroid-branch,COL1A1,ELN,9606.ENSP00000225964,9606.ENSP00000351807,COL1A1,ELN,0.876,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
thyroid-branch,GNRHR,GNAS,9606.ENSP00000226413,9606.ENSP00000360141,GNRHR,GNAS,0.931,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
thyroid-branch,NFKB1,HSPA5,9606.ENSP00000226574,9606.ENSP00000324173,NFKB1,HSPA5,0.704,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
