probe_id,gene_symbol,mad,selection_rank
ENSG00000273674.4,CTD-2378E12.1,3.459999999999999,375
ENSG00000280073.1,CTD-2525P14.5,3.459999999999999,376
ENSG00000187185.4,CTD-2600O9.1,3.459999999999999,377
ENSG00000259433.2,CTD-2651B20.4,3.459999999999999,378
ENSG00000140465.13,CYP1A1,3.459999999999999,379
ENSG00000187048.12,CYP4A11,3.459999999999999,380
ENSG00000186160.4,CYP4Z1,3.459999999999999,381
ENSG00000152592.13,DMP1,3.459999999999999,382
ENSG00000147647.12,DPYS,3.459999999999999,383
ENSG00000261557.1,EEF1A1P38,3.459999999999999,384
ENSG00000229847.8,EMX2OS,3.459999999999999,385
ENSG00000163064.6,EN1,3.459999999999999,386
ENSG00000080224.17,EPHA6,3.459999999999999,387
ENSG00000070886.10,EPHA8,3.459999999999999,388
ENSG00000269526.1,ERVV-1,3.459999999999999,389
ENSG00000178997.11,EXD1,3.459999999999999,390
ENSG00000196666.4,FAM180B,3.459999999999999,391
ENSG00000180178.10,FAR2P1,3.459999999999999,392
ENSG00000171931.12,FBXW10,3.459999999999999,393
ENSG00000134612.11,FOLH1B,3.459999999999999,394
ENSG00000242094.1,FOXP1-IT1,3.459999999999999,395
ENSG00000170324.19,FRMPD2,3.459999999999999,396
ENSG00000130700.6,GATA5,3.459999999999999,397
ENSG00000164411.10,GJB7,3.459999999999999,398
ENSG00000174450.11,GOLGA6L2,3.459999999999999,399
ENSG00000173612.9,GPRC6A,3.459999999999999,400
ENSG00000196565.12,HBG2,3.459999999999999,401
ENSG00000121764.11,HCRTR1,3.459999999999999,402
ENSG00000270379.5,HEATR9,3.459999999999999,403
ENSG00000188816.3,HMX2,3.459999999999999,404
ENSG00000250133.2,HOXC-AS2,3.459999999999999,405
ENSG00000135116.9,HRK,3.459999999999999,406
ENSG00000182601.6,HS3ST4,3.459999999999999,407
ENSG00000102794.9,IRG1,3.459999999999999,408
ENSG00000102313.8,ITIH6,3.459999999999999,409
ENSG00000234336.6,JAZF1-AS1,3.459999999999999,410
ENSG00000115474.6,KCNJ13,3.459999999999999,411
ENSG00000229921.6,KIF25-AS1,3.459999999999999,412
ENSG00000221957.8,KIR2DS4,3.459999999999999,413
ENSG00000205312.8,KRT17P4,3.459999999999999,414
ENSG00000185640.5,KRT79,3.459999999999999,415
ENSG00000244411.3,KRTAP5-7,3.459999999999999,416
ENSG00000260425.1,LA16c-316G12.2,3.459999999999999,417
ENSG00000108231.11,LGI1,3.459999999999999,418
ENSG00000156959.8,LHFPL4,3.459999999999999,419
ENSG00000089116.3,LHX5,3.459999999999999,420
ENSG00000233725.7,LINC00284,3.459999999999999,421
ENSG00000235097.1,LINC00330,3.459999999999999,422
ENSG00000214381.4,LINC00488,3.459999999999999,423
ENSG00000226995.7,LINC00658,3.459999999999999,424
ENSG00000249267.6,LINC00939,3.459999999999999,425
ENSG00000260386.5,LINC01225,3.459999999999999,426
ENSG00000223907.1,LINC01226,3.459999999999999,427
ENSG00000162761.14,LMX1A,3.459999999999999,428
ENSG00000129951.18,LPPR3,3.459999999999999,429
ENSG00000081479.12,LRP2,3.459999999999999,430
ENSG00000100565.15,LRRC74A,3.459999999999999,431
ENSG00000137674.3,MMP20,3.459999999999999,432
ENSG00000034971.14,MYOC,3.459999999999999,433
ENSG00000111704.10,NANOG,3.459999999999999,434
ENSG00000218233.1,NEPNP,3.459999999999999,435
ENSG00000166342.18,NETO1,3.459999999999999,436
ENSG00000162992.3,NEUROD1,3.459999999999999,437
ENSG00000178403.3,NEUROG2,3.459999999999999,438
ENSG00000230257.1,NFE4,3.459999999999999,439
ENSG00000125820.5,NKX2-2,3.459999999999999,440
ENSG00000152954.11,NRSN1,3.459999999999999,441
