"gene_symbol","module","network_input","kME_turquoise","kME_brown","kME_blue","kME_grey","max_abs_kME","best_kME_module"
"NCAM1","turquoise",TRUE,0.691130499338014,0.515704780703687,0.138006978198241,0.25568364822254,0.691130499338014,"turquoise"
"SLC2A5","brown",TRUE,0.533625490248436,0.685929668717941,-0.0343618700172132,-0.155233751710237,0.685929668717941,"brown"
"RP11-10J21.4","grey",TRUE,-0.00824496350234878,-0.0207026042816316,0.217149025658949,0.0943172569505821,0.217149025658949,"blue"
"SLC6A7","blue",TRUE,-0.132146394904555,0.0368201000557059,0.45720206477339,0.0480970204466107,0.45720206477339,"blue"
"RP11-445N20.2","grey",TRUE,0.00958810422273144,-0.0608887310778019,0.293258785625618,0.235128209784992,0.293258785625618,"blue"
"ADAM23","turquoise",TRUE,0.822339628668423,0.620476450130886,0.0937402467348151,0.22562512431404,0.822339628668423,"turquoise"
"RP11-356M20.1","grey",TRUE,-0.0895213518550013,0.0329142441651417,-0.0582747809032796,-0.034870472707295,0.0895213518550013,"turquoise"
"ALMS1P","grey",TRUE,0.171941237669648,0.142893247141998,0.314915445459158,0.227277643668267,0.314915445459158,"blue"
"LCN10","turquoise",TRUE,0.460365310818564,0.437532955028013,0.125302294424257,0.109018569780774,0.460365310818564,"turquoise"
"COL9A2","grey",TRUE,-0.114874072292898,0.128415561552622,0.0661633903412625,-0.129731337609801,0.129731337609801,"grey"
"PTPN7","brown",TRUE,0.400620693431783,0.676619128423326,0.0529632026497363,-0.0816954852578398,0.676619128423326,"brown"
"ATP6V0D2","brown",TRUE,0.569604183711139,0.661212865783628,-0.0157848501271141,-0.00309796787712061,0.661212865783628,"brown"
"LINC01116","turquoise",TRUE,0.446788220355406,0.267672578352926,-0.0712867998266894,-0.0604631868059348,0.446788220355406,"turquoise"
"PIK3R5","brown",TRUE,0.759061885947982,0.93043250526667,0.211840705006854,-0.113006169207873,0.93043250526667,"brown"
"CCL22","brown",TRUE,0.54836115159899,0.736557707633127,0.00194318467707485,-0.00316339502040035,0.736557707633127,"brown"
"AC093627.10","turquoise",TRUE,0.715663205329152,0.669369149250833,0.0995897288498649,-0.0136075993489736,0.715663205329152,"turquoise"
"CXorf21","brown",TRUE,0.739956476741603,0.882658023897383,0.140398172915929,0.0215990237175887,0.882658023897383,"brown"
"SLC16A11","grey",TRUE,0.0315768709236868,-0.117016011875598,0.0872735597372465,0.280819705785672,0.280819705785672,"grey"
"RP11-135A1.2","blue",TRUE,-0.141903789040515,-0.249785862931357,0.342935266734662,0.452377983469991,0.452377983469991,"grey"
"SPATA18","brown",TRUE,0.215728123321396,0.38166461832839,-0.0982030331922858,-0.363036186729756,0.38166461832839,"brown"
"TFEC","brown",TRUE,0.684918005151862,0.840521338628937,0.111784470805298,-0.0853261676236988,0.840521338628937,"brown"
"GLI2","turquoise",TRUE,0.89696447523908,0.681997771296324,0.155759714781342,0.0852032997488913,0.89696447523908,"turquoise"
"APOBEC1","grey",TRUE,-0.221210115898031,-0.12612064276603,-0.146399348202102,0.106808350440655,0.221210115898031,"turquoise"
"ARL9","turquoise",TRUE,0.488237801099084,0.362296279551596,-0.092233480851527,-0.0680463336145875,0.488237801099084,"turquoise"
"RP11-551L14.4","grey",TRUE,0.115099886122495,0.0575002015223393,0.291528885552446,0.0821249438648184,0.291528885552446,"blue"
"TPBGL","turquoise",TRUE,0.618226908717154,0.537580074246693,-0.0398028779311836,-0.0414208403811456,0.618226908717154,"turquoise"
"CD300LF","brown",TRUE,0.648390203956611,0.873271801550655,-0.0573533923085328,-0.199617633498452,0.873271801550655,"brown"
"CTB-102L5.4","grey",TRUE,-0.0141866540471066,-0.0466014810666409,0.0932499781110127,0.0704169052730512,0.0932499781110127,"blue"
"C5orf52","grey",TRUE,-0.0196841436124124,-0.111783808368683,0.0471134850520894,0.427044387656434,0.427044387656434,"grey"
"ILDR2","turquoise",TRUE,0.441494645418595,0.265578428916247,0.256865649710914,0.264779526920254,0.441494645418595,"turquoise"
"MCTP1","turquoise",TRUE,0.71287066510307,0.668977038237904,0.13521827552842,-0.0783622980407789,0.71287066510307,"turquoise"
"RP5-837J1.6","blue",TRUE,0.0665891753723298,0.0373541345727072,0.3984989907662,0.155503954997721,0.3984989907662,"blue"
"CHRM3-AS2","brown",TRUE,0.238999013208164,0.51922735936439,0.334529200860953,-0.0898410703015298,0.51922735936439,"brown"
"RP5-1031D4.3","brown",TRUE,0.457544116617626,0.619843617366548,-0.00266772367504043,0.0226237113963166,0.619843617366548,"brown"
"TRPS1","turquoise",TRUE,0.783542470198203,0.691734786284947,0.224651442664117,-0.0365202444870548,0.783542470198203,"turquoise"
"P2RX1","brown",TRUE,0.633300643110687,0.677301716349133,0.201901428639417,0.109013621280471,0.677301716349133,"brown"
"PVRIG","brown",TRUE,0.490390346818083,0.685239459201437,0.171900869628944,-0.0317534511205764,0.685239459201437,"brown"
"IL10RA","brown",TRUE,0.754603734847158,0.95899696484144,0.118518124455029,-0.115819391622223,0.95899696484144,"brown"
"RP11-803P9.1","grey",TRUE,0.0301107517216695,-0.0109572585145287,0.201563170459558,0.0950394019891866,0.201563170459558,"blue"
"SHF","grey",TRUE,0.103029413825168,0.178503566884277,-0.085948337515996,-0.343364434324495,0.343364434324495,"grey"
"LCP1","brown",TRUE,0.707198626703869,0.920411955898611,0.0528751622211296,-0.12347126725461,0.920411955898611,"brown"
"EPB41L3","brown",TRUE,0.623016949117229,0.698445378776375,0.136012979565425,-0.0273200094383105,0.698445378776375,"brown"
"LAMA1","brown",TRUE,0.337156410766841,0.441156944746497,-0.0176073406714004,-0.0851171844193376,0.441156944746497,"brown"
"RP4-665J23.1","grey",TRUE,0.281259066562994,0.0582558066090096,0.102302141203058,0.398600008438923,0.398600008438923,"grey"
"CTD-2561B21.11","grey",TRUE,0.147715720028459,0.0928363260540092,0.130094966555858,0.0806747817882852,0.147715720028459,"turquoise"
"IL21R","brown",TRUE,0.66409722807317,0.91562047522986,0.0669413921199891,-0.142435062252938,0.91562047522986,"brown"
"LINC01235","turquoise",TRUE,0.633459093574479,0.464990771968122,0.0152687993122013,-0.008866697993145,0.633459093574479,"turquoise"
"LA16c-390E6.5","grey",TRUE,-0.213827209369861,-0.258542334838144,-0.101791856672046,0.0484657353972409,0.258542334838144,"brown"
"KLRK1","brown",TRUE,0.374618491149812,0.715653471592937,0.143898794010096,-0.319591136088855,0.715653471592937,"brown"
"OLFM1","turquoise",TRUE,0.744396250374003,0.587434921395623,0.0441116991539384,0.15150675842643,0.744396250374003,"turquoise"
"CX3CR1","turquoise",TRUE,0.709708556796365,0.593770499484063,0.145182915909584,0.289730216783521,0.709708556796365,"turquoise"
"PCDHB2","turquoise",TRUE,0.579728049453548,0.384698340944181,0.124724569247618,0.14418992249691,0.579728049453548,"turquoise"
"RP11-351I21.11","turquoise",TRUE,0.432030194423478,0.199140544204103,0.0647908041966291,0.208758803717214,0.432030194423478,"turquoise"
