contrast,subtype,lineage,donor_id,tumor_score,normal_score,tumor_minus_normal
monocyte tumor vs normal,monocyte,myeloid,C123,0.02660135182796487,-0.14643486694063831,0.17303621876860317
monocyte tumor vs normal,monocyte,myeloid,C124,0.05101699368098444,0.08000933328357863,-0.028992339602594196
monocyte tumor vs normal,monocyte,myeloid,C125,0.02251243586977491,0.02748228955112855,-0.00496985368135364
monocyte tumor vs normal,monocyte,myeloid,C126,0.03773617275434289,0.061121161382015544,-0.023384988627672652
monocyte tumor vs normal,monocyte,myeloid,C129,0.006736699640098058,-0.047522896556917216,0.05425959619701527
monocyte tumor vs normal,monocyte,myeloid,C130,0.052594079246176345,0.06513143507450912,-0.012537355828332777
monocyte tumor vs normal,monocyte,myeloid,C133,0.05298623547327376,0.12026741705312106,-0.0672811815798473
monocyte tumor vs normal,monocyte,myeloid,C134,0.07316015045672555,0.040950261698847766,0.03220988875787779
monocyte tumor vs normal,monocyte,myeloid,C136,0.04306222646466732,0.018797775230867893,0.024264451233799427
monocyte tumor vs normal,monocyte,myeloid,C137,0.07970424718889092,0.001155930253108891,0.07854831693578203
monocyte tumor vs normal,monocyte,myeloid,C138,-0.0019389143463287794,-0.0411306920706596,0.03919177772433082
monocyte tumor vs normal,monocyte,myeloid,C139,0.010701886192060937,-0.028510705812476306,0.03921259200453724
monocyte tumor vs normal,monocyte,myeloid,C140,0.044343575247922276,0.0022174499348560648,0.04212612531306621
monocyte tumor vs normal,monocyte,myeloid,C142,0.015027563385580353,-0.06684911520938348,0.08187667859496384
monocyte tumor vs normal,monocyte,myeloid,C143,0.017871907916382636,-0.09503330166420627,0.11290520958058892
monocyte tumor vs normal,monocyte,myeloid,C151,0.0874462446422454,-0.006762776644137466,0.09420902128638287
monocyte tumor vs normal,monocyte,myeloid,C152,-0.027855744934679284,0.0987084667605991,-0.1265642116952784
monocyte tumor vs normal,monocyte,myeloid,C155,0.1991153707247477,0.08656778028764808,0.11254759043709961
monocyte tumor vs normal,monocyte,myeloid,C157,0.21511875052715568,0.13312636027738392,0.08199239024977176
monocyte tumor vs normal,monocyte,myeloid,C162,0.09482312656982401,0.04025331847855639,0.05456980809126762
monocyte tumor vs normal,monocyte,myeloid,C165,0.10552903303984895,0.06805498868503111,0.03747404435481784
monocyte tumor vs normal,monocyte,myeloid,C170,0.1959442951699316,0.04939310041146182,0.14655119475846978
dendritic tumor vs normal,dendritic,myeloid,C106,0.04504613226476807,-0.09634610283596752,0.1413922351007356
dendritic tumor vs normal,dendritic,myeloid,C107,0.09576890841842324,-0.03694820572470969,0.13271711414313292
