contrast,subtype,lineage,donor_id,tumor_score,normal_score,tumor_minus_normal
monocyte tumor vs normal,monocyte,myeloid,C112,-0.0071044182404875755,-0.07648307085037231,0.06937865167856216
monocyte tumor vs normal,monocyte,myeloid,C113,-0.006582680623978376,-0.036048758774995804,0.02946607768535614
monocyte tumor vs normal,monocyte,myeloid,C114,-0.03220145404338837,-0.00832428690046072,-0.023877166211605072
monocyte tumor vs normal,monocyte,myeloid,C115,0.014212047681212425,-0.031283408403396606,0.04549545794725418
monocyte tumor vs normal,monocyte,myeloid,C116,-0.03822503238916397,-0.006019200664013624,-0.03220583125948906
monocyte tumor vs normal,monocyte,myeloid,C122,-0.011858142912387848,-0.0812193900346756,0.06936124712228775
monocyte tumor vs normal,monocyte,myeloid,C123,-0.025886651128530502,-0.1675587296485901,0.1416720747947693
monocyte tumor vs normal,monocyte,myeloid,C124,-0.01085461862385273,0.03546163812279701,-0.04631625860929489
monocyte tumor vs normal,monocyte,myeloid,C125,-0.03238249197602272,-0.032457295805215836,7.480382919311523e-05
monocyte tumor vs normal,monocyte,myeloid,C126,-0.023800035938620567,-0.004597388673573732,-0.019202647730708122
monocyte tumor vs normal,monocyte,myeloid,C129,-0.04081026837229729,-0.09866322576999664,0.057852957397699356
monocyte tumor vs normal,monocyte,myeloid,C130,-0.008093776181340218,-0.00581530062481761,-0.002278475556522608
monocyte tumor vs normal,monocyte,myeloid,C133,0.002346837194636464,0.041889943182468414,-0.03954310715198517
monocyte tumor vs normal,monocyte,myeloid,C134,-0.005011438857764006,-0.022895462810993195,0.0178840234875679
monocyte tumor vs normal,monocyte,myeloid,C136,-0.020149635151028633,-0.031075764447450638,0.010926129296422005
monocyte tumor vs normal,monocyte,myeloid,C137,-0.008080922067165375,-0.05067623034119606,0.042595308274030685
monocyte tumor vs normal,monocyte,myeloid,C138,-0.05684172734618187,-0.07512153685092926,0.01827980950474739
monocyte tumor vs normal,monocyte,myeloid,C139,-0.03704095631837845,-0.06677502393722534,0.029734067618846893
monocyte tumor vs normal,monocyte,myeloid,C140,-0.010994152165949345,-0.051927778869867325,0.040933627635240555
monocyte tumor vs normal,monocyte,myeloid,C142,-0.037746235728263855,-0.095801942050457,0.058055706322193146
monocyte tumor vs normal,monocyte,myeloid,C143,-0.04103419557213783,-0.09940836578607559,0.05837417021393776
monocyte tumor vs normal,monocyte,myeloid,C151,0.04180615767836571,-0.034261059015989304,0.07606721669435501
monocyte tumor vs normal,monocyte,myeloid,C152,-0.0644540786743164,0.05365658923983574,-0.11811067163944244
monocyte tumor vs normal,monocyte,myeloid,C155,0.10760285705327988,0.12594114243984222,-0.018338285386562347
monocyte tumor vs normal,monocyte,myeloid,C157,0.1806800365447998,0.07948853075504303,0.10119150578975677
monocyte tumor vs normal,monocyte,myeloid,C162,0.02884790301322937,-0.01717733033001423,0.04602523148059845
monocyte tumor vs normal,monocyte,myeloid,C165,0.024650713428854942,0.0069787693209946156,0.017671944573521614
monocyte tumor vs normal,monocyte,myeloid,C170,0.08586753904819489,-0.016833774745464325,0.10270131379365921
dendritic tumor vs normal,dendritic,myeloid,C106,0.0011322313221171498,-0.09174693375825882,0.09287916868925095
dendritic tumor vs normal,dendritic,myeloid,C107,0.04323664307594299,-0.07403182238340378,0.11726846545934677
dendritic tumor vs normal,dendritic,myeloid,C110,-0.019113002344965935,-0.15862798690795898,0.1395149827003479
dendritic tumor vs normal,dendritic,myeloid,C111,-0.033816248178482056,-0.11823630332946777,0.08442005515098572
dendritic tumor vs normal,dendritic,myeloid,C112,-0.015693698078393936,-0.018171675503253937,0.0024779774248600006
dendritic tumor vs normal,dendritic,myeloid,C113,-0.05036607012152672,-0.1785152554512024,0.12814918160438538
dendritic tumor vs normal,dendritic,myeloid,C114,-0.05440172553062439,-0.12196090072393417,0.06755917519330978
dendritic tumor vs normal,dendritic,myeloid,C115,0.043482210487127304,-0.08430337905883789,0.1277855932712555
dendritic tumor vs normal,dendritic,myeloid,C116,-0.06518962979316711,-0.05497143790125847,-0.010218191891908646
dendritic tumor vs normal,dendritic,myeloid,C122,-0.05859651044011116,-0.08903804421424866,0.030441533774137497
dendritic tumor vs normal,dendritic,myeloid,C123,-0.022780362516641617,-0.007605005521327257,-0.015175357460975647
dendritic tumor vs normal,dendritic,myeloid,C124,-0.0413714237511158,0.048653263598680496,-0.0900246873497963
dendritic tumor vs normal,dendritic,myeloid,C125,-0.019360573962330818,-0.039175618439912796,0.019815044477581978
dendritic tumor vs normal,dendritic,myeloid,C126,-0.019782571122050285,-0.03988807648420334,0.020105505362153053
dendritic tumor vs normal,dendritic,myeloid,C129,-0.023671992123126984,-0.1290702521800995,0.1053982600569725
dendritic tumor vs normal,dendritic,myeloid,C130,-0.029199331998825073,0.01331387460231781,-0.04251320660114288
dendritic tumor vs normal,dendritic,myeloid,C132,0.10611371695995331,-0.12093976140022278,0.2270534783601761
dendritic tumor vs normal,dendritic,myeloid,C133,0.049472302198410034,0.25497856736183167,-0.20550626516342163
dendritic tumor vs normal,dendritic,myeloid,C134,-0.033020202070474625,-0.03227617219090462,-0.0007440298795700073
dendritic tumor vs normal,dendritic,myeloid,C135,-0.02032488025724888,0.11306335777044296,-0.1333882361650467
dendritic tumor vs normal,dendritic,myeloid,C136,-0.010327859781682491,-0.06459163874387741,0.054263778030872345
dendritic tumor vs normal,dendritic,myeloid,C137,-0.04782593995332718,-0.0798637643456459,0.032037824392318726
dendritic tumor vs normal,dendritic,myeloid,C138,-0.0006088456721045077,-0.07408550381660461,0.07347665727138519
dendritic tumor vs normal,dendritic,myeloid,C139,-0.06495662778615952,-0.09380655735731125,0.028849929571151733
dendritic tumor vs normal,dendritic,myeloid,C140,-0.014610733836889267,-0.19369861483573914,0.17908787727355957
dendritic tumor vs normal,dendritic,myeloid,C142,-0.04961966723203659,-0.1875983625650406,0.1379787027835846
dendritic tumor vs normal,dendritic,myeloid,C143,-0.027365179732441902,-0.156188502907753,0.12882332503795624
dendritic tumor vs normal,dendritic,myeloid,C151,-0.10397776961326599,-0.08148550242185593,-0.022492267191410065
dendritic tumor vs normal,dendritic,myeloid,C152,-0.009009325876832008,0.5232939124107361,-0.5323032140731812
dendritic tumor vs normal,dendritic,myeloid,C155,0.02979159541428089,0.1524510234594345,-0.12265942990779877
dendritic tumor vs normal,dendritic,myeloid,C157,0.08495057374238968,0.028493192046880722,0.05645738169550896
dendritic tumor vs normal,dendritic,myeloid,C162,0.008545991964638233,-0.0414133183658123,0.04995930939912796
dendritic tumor vs normal,dendritic,myeloid,C165,0.016562964767217636,-0.08135334402322769,0.09791630506515503
dendritic tumor vs normal,dendritic,myeloid,C170,-0.002399076707661152,-0.07566353678703308,0.0732644572854042
granulocyte tumor vs normal,granulocyte,myeloid,C109,-0.12174483388662338,-0.2312849760055542,0.10954014211893082
granulocyte tumor vs normal,granulocyte,myeloid,C111,-0.11284784972667694,-0.16594190895557404,0.053094059228897095
granulocyte tumor vs normal,granulocyte,myeloid,C116,-0.13665185868740082,-0.1525370329618454,0.01588517427444458
