gene_symbol,pdb_id,seed,output_pdbqt,log_file,mode,affinity_kcal_mol,rmsd_lb_A,rmsd_ub_A
PPARG,4XLD,20260911,C:\Users\21634\Documents\Codex\2026-09-08\codex-dinp-target-mining-crc-mr\analysis\dinp_crc_docking_target_selection\docking_runs\PPARG_4XLD_DINP_seed20260911.pdbqt,C:\Users\21634\Documents\Codex\2026-09-08\codex-dinp-target-mining-crc-mr\analysis\dinp_crc_docking_target_selection\docking_runs\PPARG_4XLD_DINP_seed20260911.log,4,-7.637,1.782,10.09
PPARG,4XLD,20260911,C:\Users\21634\Documents\Codex\2026-09-08\codex-dinp-target-mining-crc-mr\analysis\dinp_crc_docking_target_selection\docking_runs\PPARG_4XLD_DINP_seed20260911.pdbqt,C:\Users\21634\Documents\Codex\2026-09-08\codex-dinp-target-mining-crc-mr\analysis\dinp_crc_docking_target_selection\docking_runs\PPARG_4XLD_DINP_seed20260911.log,5,-7.636,1.708,2.767
PPARG,4XLD,20260911,C:\Users\21634\Documents\Codex\2026-09-08\codex-dinp-target-mining-crc-mr\analysis\dinp_crc_docking_target_selection\docking_runs\PPARG_4XLD_DINP_seed20260911.pdbqt,C:\Users\21634\Documents\Codex\2026-09-08\codex-dinp-target-mining-crc-mr\analysis\dinp_crc_docking_target_selection\docking_runs\PPARG_4XLD_DINP_seed20260911.log,6,-7.575,2.393,4.271
PPARG,4XLD,20260911,C:\Users\21634\Documents\Codex\2026-09-08\codex-dinp-target-mining-crc-mr\analysis\dinp_crc_docking_target_selection\docking_runs\PPARG_4XLD_DINP_seed20260911.pdbqt,C:\Users\21634\Documents\Codex\2026-09-08\codex-dinp-target-mining-crc-mr\analysis\dinp_crc_docking_target_selection\docking_runs\PPARG_4XLD_DINP_seed20260911.log,7,-7.524,2.463,9.753
PPARG,4XLD,20260911,C:\Users\21634\Documents\Codex\2026-09-08\codex-dinp-target-mining-crc-mr\analysis\dinp_crc_docking_target_selection\docking_runs\PPARG_4XLD_DINP_seed20260911.pdbqt,C:\Users\21634\Documents\Codex\2026-09-08\codex-dinp-target-mining-crc-mr\analysis\dinp_crc_docking_target_selection\docking_runs\PPARG_4XLD_DINP_seed20260911.log,8,-7.415,2.781,9.821
PPARG,4XLD,20260911,C:\Users\21634\Documents\Codex\2026-09-08\codex-dinp-target-mining-crc-mr\analysis\dinp_crc_docking_target_selection\docking_runs\PPARG_4XLD_DINP_seed20260911.pdbqt,C:\Users\21634\Documents\Codex\2026-09-08\codex-dinp-target-mining-crc-mr\analysis\dinp_crc_docking_target_selection\docking_runs\PPARG_4XLD_DINP_seed20260911.log,9,-7.382,2.646,4.682
PPARG,4XLD,20260911,C:\Users\21634\Documents\Codex\2026-09-08\codex-dinp-target-mining-crc-mr\analysis\dinp_crc_docking_target_selection\docking_runs\PPARG_4XLD_DINP_seed20260911.pdbqt,C:\Users\21634\Documents\Codex\2026-09-08\codex-dinp-target-mining-crc-mr\analysis\dinp_crc_docking_target_selection\docking_runs\PPARG_4XLD_DINP_seed20260911.log,10,-7.328,1.761,4.529
PPARG,4XLD,20260911,C:\Users\21634\Documents\Codex\2026-09-08\codex-dinp-target-mining-crc-mr\analysis\dinp_crc_docking_target_selection\docking_runs\PPARG_4XLD_DINP_seed20260911.pdbqt,C:\Users\21634\Documents\Codex\2026-09-08\codex-dinp-target-mining-crc-mr\analysis\dinp_crc_docking_target_selection\docking_runs\PPARG_4XLD_DINP_seed20260911.log,11,-7.305,2.87,5.366
PPARG,4XLD,20260911,C:\Users\21634\Documents\Codex\2026-09-08\codex-dinp-target-mining-crc-mr\analysis\dinp_crc_docking_target_selection\docking_runs\PPARG_4XLD_DINP_seed20260911.pdbqt,C:\Users\21634\Documents\Codex\2026-09-08\codex-dinp-target-mining-crc-mr\analysis\dinp_crc_docking_target_selection\docking_runs\PPARG_4XLD_DINP_seed20260911.log,12,-7.296,3.122,9.556
PPARG,4XLD,20260911,C:\Users\21634\Documents\Codex\2026-09-08\codex-dinp-target-mining-crc-mr\analysis\dinp_crc_docking_target_selection\docking_runs\PPARG_4XLD_DINP_seed20260911.pdbqt,C:\Users\21634\Documents\Codex\2026-09-08\codex-dinp-target-mining-crc-mr\analysis\dinp_crc_docking_target_selection\docking_runs\PPARG_4XLD_DINP_seed20260911.log,13,-7.287,1.804,8.022
PPARG,4XLD,20260911,C:\Users\21634\Documents\Codex\2026-09-08\codex-dinp-target-mining-crc-mr\analysis\dinp_crc_docking_target_selection\docking_runs\PPARG_4XLD_DINP_seed20260911.pdbqt,C:\Users\21634\Documents\Codex\2026-09-08\codex-dinp-target-mining-crc-mr\analysis\dinp_crc_docking_target_selection\docking_runs\PPARG_4XLD_DINP_seed20260911.log,14,-7.24,1.615,2.608
PPARG,4XLD,20260911,C:\Users\21634\Documents\Codex\2026-09-08\codex-dinp-target-mining-crc-mr\analysis\dinp_crc_docking_target_selection\docking_runs\PPARG_4XLD_DINP_seed20260911.pdbqt,C:\Users\21634\Documents\Codex\2026-09-08\codex-dinp-target-mining-crc-mr\analysis\dinp_crc_docking_target_selection\docking_runs\PPARG_4XLD_DINP_seed20260911.log,15,-7.219,1.255,2.045
