background,source,term_id,term_name,term_size_api,term_size_local,intersection_size_api,intersection_size_local,query_size_api,query_size_local,effective_domain_api,effective_domain_local,local_raw_p_custom_domain,local_raw_p_annotated_domain,gprofiler_p_value_adjusted,historical_runner_raw_p,gprofiler_p_value_reconstructed_bh,local_annotated_domain_bh_fdr,api_adjusted_p_abs_diff,audit_focus
sensitivity_dinp93,REAC,REAC:R-HSA-597592,Post-translational protein modification,17,17,5,5,18,18,100,100,0.1582831278925559,0.26899212606418255,0.2690625000000001,0.1582831278925559,0.26906250000000437,0.40419235696555184,4.274358644806853e-15,False
sensitivity_dinp93,REAC,REAC:R-HSA-211945,Phase I - Functionalization of compounds,8,8,3,3,18,18,100,100,0.15283124317667218,0.2231459042735564,0.2690625000000001,0.15283124317667218,0.26906250000000437,0.34065358790697176,4.274358644806853e-15,False
sensitivity_dinp93,REAC,REAC:R-HSA-193692,Regulated proteolysis of p75NTR,1,1,1,1,18,18,100,100,0.18000000000000294,0.21250000000000144,0.2690625000000001,0.18000000000000294,0.26906250000000437,0.32613636363636583,4.274358644806853e-15,False
sensitivity_dinp93,REAC,REAC:R-HSA-8939256,RUNX1 regulates transcription of genes involved in WNT signaling,1,1,1,1,18,18,100,100,0.18000000000000294,0.21250000000000144,0.2690625000000001,0.18000000000000294,0.26906250000000437,0.32613636363636583,4.274358644806853e-15,False
sensitivity_dinp93,REAC,REAC:R-HSA-8931987,RUNX1 regulates estrogen receptor mediated transcription,1,1,1,1,18,18,100,100,0.18000000000000294,0.21250000000000144,0.2690625000000001,0.18000000000000294,0.26906250000000437,0.32613636363636583,4.274358644806853e-15,False
sensitivity_dinp93,REAC,REAC:R-HSA-9833110,RSV-host interactions,1,1,1,1,18,18,100,100,0.18000000000000294,0.21250000000000144,0.2690625000000001,0.18000000000000294,0.26906250000000437,0.32613636363636583,4.274358644806853e-15,False
sensitivity_dinp93,REAC,REAC:R-HSA-73857,RNA Polymerase II Transcription,14,14,5,5,18,18,100,100,0.07491430406806898,0.13724167107796748,0.2690625000000001,0.07491430406806898,0.26906250000000437,0.32613636363636583,4.274358644806853e-15,False
sensitivity_dinp93,REAC,REAC:R-HSA-1810476,RIP-mediated NFkB activation via ZBP1,1,1,1,1,18,18,100,100,0.18000000000000294,0.21250000000000144,0.2690625000000001,0.18000000000000294,0.26906250000000437,0.32613636363636583,4.274358644806853e-15,False
sensitivity_dinp93,REAC,REAC:R-HSA-3214841,PKMTs methylate histone lysines,1,1,1,1,18,18,100,100,0.18000000000000294,0.21250000000000144,0.2690625000000001,0.18000000000000294,0.26906250000000437,0.32613636363636583,4.274358644806853e-15,False
sensitivity_dinp93,REAC,REAC:R-HSA-8943724,Regulation of PTEN gene transcription,1,1,1,1,18,18,100,100,0.18000000000000294,0.21250000000000144,0.2690625000000001,0.18000000000000294,0.26906250000000437,0.32613636363636583,4.274358644806853e-15,False
sensitivity_dinp93,REAC,REAC:R-HSA-9818749,Regulation of NFE2L2 gene expression,1,1,1,1,18,18,100,100,0.18000000000000294,0.21250000000000144,0.2690625000000001,0.18000000000000294,0.26906250000000437,0.32613636363636583,4.274358644806853e-15,False
sensitivity_dinp93,REAC,REAC:R-HSA-9854907,Regulation of MITF-M dependent genes involved in metabolism,1,1,1,1,18,18,100,100,0.18000000000000294,0.21250000000000144,0.2690625000000001,0.18000000000000294,0.26906250000000437,0.32613636363636583,4.274358644806853e-15,False
sensitivity_dinp93,REAC,REAC:R-HSA-9705671,SARS-CoV-2 activates/modulates innate and adaptive immune responses,1,1,1,1,18,18,100,100,0.18000000000000294,0.21250000000000144,0.2690625000000001,0.18000000000000294,0.26906250000000437,0.32613636363636583,4.274358644806853e-15,False
sensitivity_dinp93,REAC,REAC:R-HSA-9692916,SARS-CoV-1 activates/modulates innate immune responses,1,1,1,1,18,18,100,100,0.18000000000000294,0.21250000000000144,0.2690625000000001,0.18000000000000294,0.26906250000000437,0.32613636363636583,4.274358644806853e-15,False
sensitivity_dinp93,REAC,REAC:R-HSA-391251,Protein folding,1,1,1,1,18,18,100,100,0.18000000000000294,0.21250000000000144,0.2690625000000001,0.18000000000000294,0.26906250000000437,0.32613636363636583,4.274358644806853e-15,False
sensitivity_dinp93,REAC,REAC:R-HSA-4755510,SUMOylation of immune response proteins,1,1,1,1,18,18,100,100,0.18000000000000294,0.21250000000000144,0.2690625000000001,0.18000000000000294,0.26906250000000437,0.32613636363636583,4.274358644806853e-15,False
sensitivity_dinp93,REAC,REAC:R-HSA-2990846,SUMOylation,7,7,3,3,18,18,100,100,0.1079636667692616,0.16131395298617907,0.2690625000000001,0.1079636667692616,0.26906250000000437,0.32613636363636583,4.274358644806853e-15,False
sensitivity_dinp93,REAC,REAC:R-HSA-3108232,SUMO E3 ligases SUMOylate target proteins,7,7,3,3,18,18,100,100,0.1079636667692616,0.16131395298617907,0.2690625000000001,0.1079636667692616,0.26906250000000437,0.32613636363636583,4.274358644806853e-15,False
sensitivity_dinp93,REAC,REAC:R-HSA-9701898,STAT3 nuclear events downstream of ALK signaling,1,1,1,1,18,18,100,100,0.18000000000000294,0.21250000000000144,0.2690625000000001,0.18000000000000294,0.26906250000000437,0.32613636363636583,4.274358644806853e-15,False
sensitivity_dinp93,REAC,REAC:R-HSA-427359,SIRT1 negatively regulates rRNA expression,1,1,1,1,18,18,100,100,0.18000000000000294,0.21250000000000144,0.2690625000000001,0.18000000000000294,0.26906250000000437,0.32613636363636583,4.274358644806853e-15,False
sensitivity_dinp93,REAC,REAC:R-HSA-9674555,Signaling by CSF3 (G-CSF),1,1,1,1,18,18,100,100,0.18000000000000294,0.21250000000000144,0.2690625000000001,0.18000000000000294,0.26906250000000437,0.32613636363636583,4.274358644806853e-15,False
sensitivity_dinp93,REAC,REAC:R-HSA-9680350,Signaling by CSF1 (M-CSF) in myeloid cells,1,1,1,1,18,18,100,100,0.18000000000000294,0.21250000000000144,0.2690625000000001,0.18000000000000294,0.26906250000000437,0.32613636363636583,4.274358644806853e-15,False
