input_set,input_symbol,ensembl_id
primary_genecards881,LGR5,ENSG00000139292
primary_genecards881,LIFR-AS1,ENSG00000244968
primary_genecards881,LINC-ROR,ENSG00000258609
primary_genecards881,LINC00092,ENSG00000225194
primary_genecards881,LINC00114,ENSG00000223806
primary_genecards881,LINC00115,ENSG00000225880
primary_genecards881,LINC00174,ENSG00000179406
primary_genecards881,LINC00205,ENSG00000223768
primary_genecards881,LINC00261,ENSG00000259974
primary_genecards881,LINC00265,ENSG00000188185
primary_genecards881,LINC00324,ENSG00000178977
primary_genecards881,LINC00339,ENSG00000218510
primary_genecards881,LINC00342,ENSG00000232931
primary_genecards881,LINC00355,ENSG00000227674
primary_genecards881,LINC00460,ENSG00000233532
primary_genecards881,LINC00467,ENSG00000153363
primary_genecards881,LINC00473,ENSG00000112541
primary_genecards881,LINC00485,ENSG00000258169
primary_genecards881,LINC00504,ENSG00000248360
primary_genecards881,LINC00511,ENSG00000227036
primary_genecards881,LINC00518,ENSG00000183674
primary_genecards881,LINC00520,ENSG00000258791
primary_genecards881,LINC00525,ENSG00000146666
primary_genecards881,LINC00630,ENSG00000223546
primary_genecards881,LINC00632,ENSG00000203930
primary_genecards881,LINC00654,ENSG00000205181
primary_genecards881,LINC00659,ENSG00000228705
primary_genecards881,LINC00662,ENSG00000261824
primary_genecards881,LINC00668,ENSG00000265933
primary_genecards881,LINC00707,ENSG00000223784
primary_genecards881,LINC00857,ENSG00000237523
primary_genecards881,LINC00858,ENSG00000229404
primary_genecards881,LINC00896,ENSG00000236499
primary_genecards881,LINC00908,ENSG00000266256
primary_genecards881,LINC00920,ENSG00000246898
primary_genecards881,LINC00941,ENSG00000285517
primary_genecards881,LINC00957,ENSG00000235314
primary_genecards881,LINC00958,ENSG00000251381
primary_genecards881,LINC00963,ENSG00000204054
primary_genecards881,LINC00997,ENSG00000281332
primary_genecards881,LINC01082,ENSG00000269186
primary_genecards881,LINC01088,ENSG00000249307
primary_genecards881,LINC01116,ENSG00000163364
primary_genecards881,LINC01123,ENSG00000204588
primary_genecards881,LINC01194,ENSG00000248131
primary_genecards881,LINC01224,ENSG00000269416
primary_genecards881,LINC01234,ENSG00000249550
primary_genecards881,LINC01278,ENSG00000235437
primary_genecards881,LINC01315,ENSG00000229891
primary_genecards881,LINC01354,ENSG00000231768
primary_genecards881,LINC01410,ENSG00000238113
primary_genecards881,LINC01413,ENSG00000260172
primary_genecards881,LINC01436,ENSG00000231106
primary_genecards881,LINC01485,ENSG00000254211
primary_genecards881,LINC01535,ENSG00000226686
primary_genecards881,LINC01555,ENSG00000180869
primary_genecards881,LINC01564,ENSG00000235899
primary_genecards881,LINC01569,ENSG00000262468
primary_genecards881,LINC01589,ENSG00000238120
primary_genecards881,LINC01605,ENSG00000253161
primary_genecards881,LINC01606,ENSG00000253301
primary_genecards881,LINC01615,ENSG00000223485
primary_genecards881,LINC01672,ENSG00000228750
primary_genecards881,LINC01705,ENSG00000232679
primary_genecards881,LINC01767,ENSG00000223956
primary_genecards881,LINC02006,ENSG00000238755
primary_genecards881,LINC02023,ENSG00000239205
primary_genecards881,LINC02257,ENSG00000232679
primary_genecards881,LINC02381,ENSG00000250742
primary_genecards881,LINC02418,ENSG00000214039
primary_genecards881,LINC02474,ENSG00000228437
primary_genecards881,LINC02560,ENSG00000268307
primary_genecards881,LINC02940,ENSG00000235888
primary_genecards881,LINC02985,ENSG00000256546
primary_genecards881,LINC03046,ENSG00000224817
primary_genecards881,LINC03052,ENSG00000272913
primary_genecards881,LNCARSR,ENSG00000233086
primary_genecards881,LOXL1-AS1,ENSG00000261801
