background,source,term_id,term_name,effective_domain_size,term_size,query_size,intersection_size,raw_p_hypergeom,gprofiler_fdr,tested_term_family_size,BH_FDR_all_GO_KEGG,BH_FDR_within_source
descriptive_annotated_genome,GO:BP,GO:0051239,regulation of multicellular organismal process,20972,2923,79,32,5.545167338336609e-09,2.053064395023165e-07,24546,2.3447114022876217e-06,1.659898505936712e-06
descriptive_annotated_genome,GO:BP,GO:0010586,miRNA metabolic process,20972,106,79,8,6.316685208097368e-09,2.3105369026245232e-07,24546,2.6425247779066053e-06,1.8680645194934698e-06
descriptive_annotated_genome,GO:MF,GO:0034979,NAD-dependent protein lysine deacetylase activity,20208,7,78,4,7.124279697945534e-09,3.490897051993301e-07,10123,2.8881976787836096e-06,6.556280307482058e-06
descriptive_annotated_genome,GO:MF,GO:0141218,NAD-dependent protein lysine deacylase activity,20208,7,78,4,7.124279697945534e-09,3.490897051993301e-07,10123,2.8881976787836096e-06,6.556280307482058e-06
descriptive_annotated_genome,GO:MF,GO:0017136,"histone deacetylase activity, NAD-dependent",20208,7,78,4,7.124279697945534e-09,3.490897051993301e-07,10123,2.8881976787836096e-06,6.556280307482058e-06
descriptive_annotated_genome,GO:BP,GO:0048585,negative regulation of response to stimulus,20972,1693,79,24,7.29671873368261e-09,2.636521822034035e-07,24546,2.9279200763605607e-06,2.131622682597069e-06
descriptive_annotated_genome,GO:BP,GO:0044281,small molecule metabolic process,20972,1694,79,24,7.3815663660372704e-09,2.636521822034035e-07,24546,2.9320476341217134e-06,2.131622682597069e-06
descriptive_annotated_genome,GO:BP,GO:0065008,regulation of biological quality,20972,2963,79,32,7.770796924024775e-09,2.743272030388282e-07,24546,3.0557881824035025e-06,2.217930015082699e-06
descriptive_annotated_genome,GO:BP,GO:0072330,monocarboxylic acid biosynthetic process,20972,215,79,10,8.089392524170229e-09,2.8229190463656156e-07,24546,3.1495769467373277e-06,2.2823244700952003e-06
descriptive_annotated_genome,GO:BP,GO:0006633,fatty acid biosynthetic process,20972,161,79,9,9.619613235015763e-09,3.3187665660804305e-07,24546,3.7086438318996064e-06,2.6832162098488285e-06
descriptive_annotated_genome,KEGG,KEGG:00590,Arachidonic acid metabolism,8716,62,62,8,1.0298004936689094e-08,2.059600987337817e-06,586,3.931638311945261e-06,6.034630892899809e-06
descriptive_annotated_genome,GO:BP,GO:0048511,rhythmic process,20972,291,79,11,1.1900796355683698e-08,4.0596424422309896e-07,24546,4.499874191258709e-06,3.282212891534967e-06
descriptive_annotated_genome,GO:BP,GO:0010876,lipid localization,20972,451,79,13,1.2874450686133576e-08,4.3429813647890574e-07,24546,4.821665702681111e-06,3.5112918504648305e-06
descriptive_annotated_genome,GO:BP,GO:1902893,regulation of miRNA transcription,20972,75,79,7,1.3257509193650002e-08,4.42305471559575e-07,24546,4.918285769161252e-06,3.576030996344318e-06
descriptive_annotated_genome,GO:BP,GO:0015908,fatty acid transport,20972,117,79,8,1.3817078591299326e-08,4.559635935128773e-07,24546,5.077970079665931e-06,3.6864566424134053e-06
descriptive_annotated_genome,GO:BP,GO:0061614,miRNA transcription,20972,76,79,7,1.4558612890513607e-08,4.752682659741859e-07,24546,5.300952715801454e-06,3.842534537747817e-06
descriptive_annotated_genome,GO:BP,GO:0048583,regulation of response to stimulus,20972,3993,79,37,1.8050465861520823e-08,5.829916420806112e-07,24546,6.5120781609031635e-06,4.713475904647767e-06
descriptive_annotated_genome,GO:MF,GO:0001223,transcription coactivator binding,20208,45,78,6,1.9646782888177947e-08,8.824679980606594e-07,10123,7.023546275406451e-06,1.6573698598085446e-05
