"gene_symbol","module","kME_own","kME_brown","kME_black","kME_pink","kME_yellow","kME_red","kME_magenta","kME_purple","kME_turquoise","kME_blue","kME_green","kME_grey"
"TFRC","black",0.778630947673939,0.388478906644634,0.778630947673939,0.0676395583299041,-0.129833631409795,0.252289047190424,0.128654069715201,0.0650388542906265,-0.167378267452252,-0.0177296570927985,0.10412400738351,0.0263719856253242
"SPAST","black",0.776580285862207,0.442971115659071,0.776580285862207,0.141061782214627,0.0222665941271781,0.521831131050089,0.439013982586037,0.0205383109354326,-0.0240684139460075,0.0828061090537597,-0.035257235153747,-0.0904864608956074
"KLF3","black",0.773750492110198,0.260657605557959,0.773750492110198,0.0285644653765817,0.000390878854213631,0.474349685145337,0.242699059877639,0.0721116478909399,-0.111452463303912,0.0474162571552135,0.379312101519533,0.0542605859113269
"CERS6","black",0.773101078215449,0.305479743569487,0.773101078215449,0.219036890786199,0.0411957633616682,0.407409179554124,0.353503128271083,-0.0209347102907561,-0.192867217882823,-0.0937480911887328,0.187248562899201,-0.106062452049812
"FOPNL","black",0.766267162276847,0.480548409445983,0.766267162276847,0.209099831089963,-0.0389225647239657,0.3707484903589,0.37309756510606,-0.0527724135872239,-0.214991589938021,-0.0972382667186709,-0.0219028482462413,-0.114754369530546
"RC3H2","black",0.765957126970897,0.313432615196443,0.765957126970897,-0.0132354710314434,0.0320517712588776,0.469312922058007,0.315046270705638,-0.00921523286366638,0.0147686879182403,0.106666562245005,-0.0279751916407767,-0.0699720759513873
"ARFIP1","black",0.763536615040682,0.162893713370862,0.763536615040682,0.135399034871183,-0.000493541347221597,0.426543892127852,0.251663724010291,0.102456221832916,-0.168555834420167,-0.033409176717832,0.312399561132528,-0.154350340057459
"TWF1","black",0.761655381351281,0.249854260677039,0.761655381351281,0.00250182204690336,0.0629851116525438,0.495961992810538,0.278203441057336,0.0684593924491231,-0.139663322010695,0.0185539961089084,0.231693490210955,-0.0381415811432411
"ZNF644","black",0.76005588433768,0.3195586749895,0.76005588433768,0.0380541054759907,0.129330586064571,0.627617437995269,0.418118497326468,0.00450712996042682,-0.0737242965870027,0.025318494237892,0.0807652702219615,-0.132334688462393
"DENR","black",0.758245774251863,0.648632339827154,0.758245774251863,-0.00335349380852768,-0.190914240457389,0.390472190179464,0.241209197588722,-0.00445369940218426,-0.0455806459157259,0.147095232168742,-0.117132944528707,0.120544236033948
"TMED5","black",0.758235955141955,0.475875945790232,0.758235955141955,-0.0780332597151923,-0.107877587113134,0.531780444824824,0.236323405449909,0.154295162416207,-0.0572090732294108,0.186507718347051,0.179093969951036,0.0918155878124937
