donor_id,condition,analysis_group,n_cells,pseudobulk_score,cell_global_sensitivity_mean,eligible_ge_10,eligible_ge_20,eligible_ge_30
KUL30,tumor,endothelial_like,111,0.05800387225128201,0.0,True,True,True
KUL30,tumor,enteric_glial_like,1,0.0,0.0,False,False,False
KUL30,tumor,fibroblast_like,126,0.2534836872708124,0.010413541070572019,True,True,True
KUL30,tumor,mast_cells,1,0.0,0.0,False,False,False
KUL30,tumor,other_myeloid,5,0.5447176864454712,0.1224978842860605,False,False,False
KUL30,tumor,pericyte_like,29,0.0,0.0,True,True,False
KUL30,tumor,resident_like,1,0.0,0.0,False,False,False
KUL30,tumor,smooth_muscle_like,30,0.0,0.0,True,True,True
KUL30,tumor,tumor_epithelial,68,0.060163423382656525,0.0,True,True,True
KUL31,border,B_cells,105,0.0,0.0,True,True,True
KUL31,border,C1QC_like_TAM,39,0.2830598028968876,0.0,True,True,True
KUL31,border,FCN1_inflammatory_monocyte_like,5,0.0,0.0,False,False,False
KUL31,border,SPP1_like_TAM,16,0.0,0.0,True,False,False
KUL31,border,T_cells,266,0.0,0.0,True,True,True
KUL31,border,border_epithelial,545,0.02036816983273297,0.0,True,True,True
KUL31,border,endothelial_like,38,0.0,0.0,True,True,True
KUL31,border,enteric_glial_like,2,0.0,0.0,False,False,False
KUL31,border,fibroblast_like,66,0.09584823924981709,0.005151417833627468,True,True,True
KUL31,border,mast_cells,10,0.0,0.0,True,False,False
KUL31,border,other_myeloid,13,0.2709428521238656,0.0,True,False,False
KUL31,border,pericyte_like,10,0.0,0.0,True,False,False
KUL31,border,smooth_muscle_like,4,0.0,0.0,False,False,False
KUL31,normal,B_cells,478,0.0,0.0,True,True,True
KUL31,normal,C1QC_like_TAM,6,0.44548249869064926,0.0,False,False,False
KUL31,normal,FCN1_inflammatory_monocyte_like,13,0.0,0.0,True,False,False
KUL31,normal,T_cells,447,0.0,0.0,True,True,True
KUL31,normal,endothelial_like,39,0.0,0.0,True,True,True
KUL31,normal,enteric_glial_like,17,0.0,0.0,True,False,False
KUL31,normal,fibroblast_like,204,0.28170067466478427,0.004147427162256302,True,True,True
KUL31,normal,mast_cells,7,0.0,0.0,False,False,False
KUL31,normal,normal_epithelial,266,0.08229460501988217,0.0,True,True,True
KUL31,normal,other_myeloid,7,0.0,0.0,False,False,False
KUL31,normal,pericyte_like,6,0.0,0.0,False,False,False
KUL31,normal,resident_like,10,0.0,0.0,True,False,False
KUL31,normal,smooth_muscle_like,9,0.0,0.0,False,False,False
KUL31,tumor,B_cells,9,0.0,0.0,False,False,False
KUL31,tumor,C1QC_like_TAM,5,0.49883450996931095,0.05634777669901142,False,False,False
KUL31,tumor,T_cells,18,0.0,0.0,True,False,False
KUL31,tumor,endothelial_like,1,0.0,0.0,False,False,False
KUL31,tumor,mast_cells,1,0.0,0.0,False,False,False
KUL31,tumor,tumor_epithelial,41,0.0,0.0,True,True,True
