source_article,source_table,article_rank,gene_symbol_raw,gene_symbol,description,gifts,genecard_id,relevance_score,in_dinp_93,dinp_support_count,CTD,ToxCast,Tox21,T3DB
10.1186/s12906-021-03273-7,Table S2,1749,HSPG2,HSPG2,Heparan Sulfate Proteoglycan 2,45,GC01M021822,10.85,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1750,HES1,HES1,Hes Family BHLH Transcription Factor 1,43,GC03P194136,10.85,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1751,FCGR3B,FCGR3B,Fc Fragment Of IgG Receptor IIIb,42,GC01M161623,10.84,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1752,CHL1,CHL1,Cell Adhesion Molecule L1 Like,39,GC03P000213,10.83,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1753,CD9,CD9,CD9 Molecule,44,GC12P008124,10.83,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1754,GSEC,GSEC,G-Quadruplex Forming Sequence Containing LncRNA,12,GC11M126340,10.8,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1755,DLGAP4-AS1,DLGAP4-AS1,DLGAP4 Antisense RNA 1,13,GC20M036507,10.78,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1756,PAWR,PAWR,Pro-Apoptotic WT1 Regulator,40,GC12M079574,10.77,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1757,CNC2,CNC2,"Carney Complex Type 2, Multiple Neoplasia And Lentiginosis",4,GC02U990267,10.77,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1758,XDH,XDH,Xanthine Dehydrogenase,47,GC02M031294,10.76,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1759,VCAM1,VCAM1,Vascular Cell Adhesion Molecule 1,45,GC01P100719,10.76,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1760,UVRAG,UVRAG,UV Radiation Resistance Associated,43,GC11P075815,10.75,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1761,CDC6,CDC6,Cell Division Cycle 6,45,GC17P040287,10.75,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1762,C10orf143,C10ORF143,Chromosome 10 Open Reading Frame 143,13,GC10M130020,10.75,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1763,SAG,SAG,S-Antigen Visual Arrestin,44,GC02P233311,10.74,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1764,SOX21-AS1,SOX21-AS1,SOX21 Antisense Divergent Transcript 1,17,GC13P094712,10.72,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1765,RPS15,RPS15,Ribosomal Protein S15,41,GC19P001438,10.72,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1766,ENPP1,ENPP1,Ectonucleotide Pyrophosphatase/Phosphodiesterase 1,47,GC06P131808,10.72,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1767,CLEC7A,CLEC7A,C-Type Lectin Domain Containing 7A,44,GC12M013863,10.72,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1768,FANCI,FANCI,FA Complementation Group I,41,GC15P089243,10.68,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1769,ELOC,ELOC,Elongin C,33,GC08M073939,10.68,False,,,,,
