compartment,donor_id,tumor_score,normal_score,tumor_minus_normal
endothelial,C137,0.12010130556047488,0.06604480368058468,0.054056501879890195
endothelial,C138,-0.1580682459495417,0.0050165971965451875,-0.16308484314608687
endothelial,C139,0.04839153828795214,0.026447816166383212,0.021943722121568927
endothelial,C140,0.05905063714871168,-0.11137454404988657,0.17042518119859826
endothelial,C142,0.06389539551462516,0.04715748291713704,0.016737912597488115
endothelial,C143,0.044176687820061726,0.02955591756158439,0.014620770258477335
endothelial,C152,0.08727550294553736,0.07848683102972533,0.008788671915812035
endothelial,C155,0.2372660485196628,0.07322090168006208,0.1640451468396007
endothelial,C157,0.27631806344288967,0.09534139850395254,0.18097666493893713
endothelial,C162,0.1644995708177318,0.07520433412704178,0.08929523669069003
endothelial,C165,0.2224168241170621,0.15595609331109841,0.06646073080596368
endothelial,C170,0.20828552197242892,-0.0044288091234684175,0.21271433109589732
