pathway,NES,raw_p,n_genes,direction,method,dataset_id,tissue,contrast_id,source,FDR
REACTOME_KSRP_KHSRP_BINDS_AND_DESTABILIZES_MRNA,1.48520665703471,0.13748908911083446,17,up,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Reactome,0.5023455162271493
REACTOME_REGULATION_OF_GENE_EXPRESSION_BY_HYPOXIA_INDUCIBLE_FACTOR,-1.4840930554920686,0.13778423529896502,10,down,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Reactome,0.5023455162271493
REACTOME_DENGUE_VIRUS_HOST_INTERACTIONS,-1.481656964687186,0.1384315934516744,212,down,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Reactome,0.5034502229511144
REACTOME_RHO_GTPASES_ACTIVATE_ROCKS,-1.4784250461128732,0.13929404563038394,18,down,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Reactome,0.5048891035940108
REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS,1.4768561024818088,0.13971421410494475,28,up,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Reactome,0.5048891035940108
REACTOME_NUCLEAR_EVENTS_KINASE_AND_TRANSCRIPTION_FACTOR_ACTIVATION,-1.476300423290172,0.13986326057152831,57,down,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Reactome,0.5048891035940108
REACTOME_TRANSCRIPTION_OF_E2F_TARGETS_UNDER_NEGATIVE_CONTROL_BY_DREAM_COMPLEX,-1.4699766347293957,0.14156808225135503,19,down,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Reactome,0.5097845720479829
REACTOME_KEAP1_NFE2L2_PATHWAY,-1.4673394433868527,0.1422837388987421,106,down,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Reactome,0.5102595035051127
REACTOME_RESPONSE_OF_EIF2AK1_HRI_TO_HEME_DEFICIENCY,-1.466919331775895,0.142398000978171,13,down,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Reactome,0.5102595035051127
REACTOME_RNA_POLYMERASE_III_TRANSCRIPTION_INITIATION_FROM_TYPE_1_PROMOTER,1.461542108719023,0.14386672836854383,26,up,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Reactome,0.5142619972489268
REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS,1.4601179738141312,0.14425765361748136,25,up,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Reactome,0.5144016819237994
REACTOME_HOST_INTERACTIONS_OF_HIV_FACTORS,-1.4561788860512388,0.14534317468453517,108,down,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Reactome,0.5158648963422403
REACTOME_AFLATOXIN_ACTIVATION_AND_DETOXIFICATION,-1.4544401923938055,0.145824303575764,11,down,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Reactome,0.5158648963422403
REACTOME_REGULATION_OF_ENDOGENOUS_RETROELEMENTS_BY_KRAB_ZFP_PROTEINS,-1.4532815847431126,0.1461455881421378,25,down,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Reactome,0.5158648963422403
REACTOME_TRAF3_DEPENDENT_IRF_ACTIVATION_PATHWAY,1.452635629382073,0.14632494809752508,11,up,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Reactome,0.5158648963422403
REACTOME_SPHINGOLIPID_METABOLISM,1.4511675298778146,0.14673321602238543,88,up,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Reactome,0.5158648963422403
REACTOME_ZYGOTIC_GENOME_ACTIVATION_ZGA,-1.450981230478556,0.14678508678411215,9,down,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Reactome,0.5158648963422403
REACTOME_ACTIVATION_OF_SMO,1.4492061906502027,0.14728000921627432,16,up,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Reactome,0.5163630059333167
REACTOME_DEFECTIVE_GALNT3_CAUSES_HFTC,-1.4435462807115786,0.1488666450986833,5,down,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Reactome,0.5206771175461123
