pathway,NES,raw_p,n_genes,direction,method,dataset_id,tissue,contrast_id,source,FDR
REACTOME_INTERLEUKIN_3_INTERLEUKIN_5_AND_GM_CSF_SIGNALING,-1.2010158560973838,0.2297450507090949,42,down,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Reactome,0.3982519313134563
REACTOME_SENSORY_PERCEPTION_OF_TASTE,-1.200597406239455,0.22990740768027162,18,down,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Reactome,0.3982519313134563
REACTOME_CASPASE_ACTIVATION_VIA_DEATH_RECEPTORS_IN_THE_PRESENCE_OF_LIGAND,1.1980708938504416,0.23088941885767256,12,up,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Reactome,0.3994796809111447
REACTOME_REGULATION_OF_ENDOGENOUS_RETROELEMENTS_BY_THE_HUMAN_SILENCING_HUB_HUSH_COMPLEX,-1.1973510291061944,0.2311697625217488,12,down,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Reactome,0.3994919536723366
REACTOME_SHC1_EVENTS_IN_ERBB2_SIGNALING,-1.1907736466815748,0.23374245714164554,20,down,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Reactome,0.40346100630588644
REACTOME_P75NTR_SIGNALS_VIA_NF_KB,1.189221317720188,0.23435258791897295,15,up,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Reactome,0.404037126813135
REACTOME_INHIBITION_OF_REPLICATION_INITIATION_OF_DAMAGED_DNA_BY_RB1_E2F1,-1.1873449091611599,0.23509160070072443,12,down,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Reactome,0.40473352696670567
REACTOME_MET_ACTIVATES_RAP1_AND_RAC1,-1.1867906948819826,0.2353101900969219,11,down,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Reactome,0.40473352696670567
REACTOME_RHOH_GTPASE_CYCLE,1.1826965982541187,0.2369294128700955,36,up,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Reactome,0.4066229939456282
REACTOME_DEPOSITION_OF_NEW_CENPA_CONTAINING_NUCLEOSOMES_AT_THE_CENTROMERE,-1.18260690863144,0.23696497321592014,28,down,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Reactome,0.4066229939456282
REACTOME_RHO_GTPASES_ACTIVATE_ROCKS,1.180373847932415,0.23785155857341223,18,up,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Reactome,0.40766586006369127
REACTOME_REGULATION_OF_GENE_EXPRESSION_BY_HYPOXIA_INDUCIBLE_FACTOR,-1.1696839380614021,0.2421281842448959,10,down,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Reactome,0.41429454083791994
REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES,-1.1692925217701835,0.24228579508647163,59,down,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Reactome,0.41429454083791994
REACTOME_RESPIRATORY_SYNCYTIAL_VIRUS_RSV_GENOME_REPLICATION_TRANSCRIPTION_AND_TRANSLATION,1.167713849660921,0.24292220837260703,15,up,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Reactome,0.41489751009433584
REACTOME_INTERLEUKIN_17_SIGNALING,-1.1651760331913872,0.24394774487957138,64,down,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Reactome,0.4161628973324777
REACTOME_G_ALPHA_I_SIGNALLING_EVENTS,-1.162174158484214,0.2451647291777811,194,down,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Reactome,0.41775155484605586
REACTOME_RAF_ACTIVATION,-1.1591875715229991,0.24637973636485577,31,down,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Reactome,0.4193331485045625
REACTOME_INACTIVATION_OF_CSF3_G_CSF_SIGNALING,1.1574052260475003,0.24710683989709503,22,up,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Reactome,0.42008162782506153
REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION_BY_GROWTH_FACTOR_RECEPTORS_AND_SECOND_MESSENGERS,-1.1561192296066254,0.24763239149935223,413,down,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Reactome,0.42048612819053766
REACTOME_TRAFFICKING_OF_GLUR2_CONTAINING_AMPA_RECEPTORS,-1.1547246944745506,0.24820318364164673,17,down,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Reactome,0.42096642051518274
REACTOME_METAL_ION_SLC_TRANSPORTERS,-1.152369139688462,0.24916941667020542,38,down,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Reactome,0.42168827821803834
REACTOME_RIBAVIRIN_ADME,1.1522809116098363,0.2492056582629173,11,up,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Reactome,0.42168827821803834
REACTOME_REMOVAL_OF_AMINOTERMINAL_PROPEPTIDES_FROM_GAMMA_CARBOXYLATED_PROTEINS,1.1500377522196155,0.2501283225093449,6,up,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Reactome,0.42276023989440725
REACTOME_SIGNALING_BY_NODAL,-1.1429579646118067,0.2530560442064239,16,down,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Reactome,0.4272147074247018
REACTOME_NEGATIVE_REGULATION_OF_TCF_DEPENDENT_SIGNALING_BY_WNT_LIGAND_ANTAGONISTS,-1.1365662857770695,0.25571964068107955,10,down,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Reactome,0.4312135117367224
REACTOME_RIP_MEDIATED_NFKB_ACTIVATION_VIA_ZBP1,1.1331291831367427,0.25716000770614345,17,up,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Reactome,0.43314277795666095
REACTOME_NF_KB_IS_ACTIVATED_AND_SIGNALS_SURVIVAL,1.1309794996866123,0.25806372001144784,12,up,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Reactome,0.4341647395359456
REACTOME_DISSOLUTION_OF_FIBRIN_CLOT,1.1276203257421586,0.25948029888998525,11,up,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Reactome,0.43604620342202116
REACTOME_SIGNALING_BY_RETINOIC_ACID,-1.124587633183386,0.2607638166032653,31,down,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Reactome,0.43769999985530866
REACTOME_ACTIVATION_OF_PPARGC1A_PGC_1ALPHA_BY_PHOSPHORYLATION,1.12320046687098,0.2613523643590605,9,up,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Reactome,0.43818481272126886
