gene_a,gene_b,pearson_r,abs_r,p_value,BH_FDR
CXCR4,STAT3,0.4868511997822,0.4868511997822,5.205376983529052e-24,6.336883552581308e-23
DUSP1,PTGS1,0.4868122045650217,0.4868122045650217,5.254976604579622e-24,6.336883552581308e-23
DUSP1,PTGS2,0.484286934001596,0.484286934001596,9.686443689228584e-24,1.1511425833576e-22
PTGS1,PTGS2,0.483733657826001,0.483733657826001,1.1067793739079659e-23,1.2965129808636172e-22
MMP9,PGR,0.4795746733824124,0.4795746733824124,2.991704530194977e-23,3.4552080489575787e-22
DUSP1,ESR1,0.47941820297837107,0.47941820297837107,3.10492612162664e-23,3.5361658607414513e-22
ESR1,PTGER2,0.472366717015473,0.472366717015473,1.623828831961042e-22,1.8240269071343215e-21
BECN1,SIRT1,0.47032338862784395,0.47032338862784395,2.6040386572803496e-22,2.8855563499593063e-21
CXCR4,PTGS2,0.46971472818077775,0.46971472818077775,2.995562818575257e-22,3.275148681642281e-21
PTGS2,SELE,0.4681305982661364,0.4681305982661364,4.307557079364414e-22,4.64762737510371e-21
PTGES2,RELA,0.46751832953483313,0.46751832953483313,4.954307791087467e-22,5.27601608921003e-21
RXRA,STAT3,0.4667061016249784,0.4667061016249784,5.96193627053036e-22,6.26767659209602e-21
MMP9,SELE,0.46257185976370563,0.46257185976370563,1.518221554771138e-21,1.5758755378637127e-20
MMP9,TIMP1,0.4582999652542936,0.4582999652542936,3.935884825070062e-21,4.0342819456968136e-20
CXCR4,TIMP1,0.45630786330501827,0.45630786330501827,6.109232448591506e-21,6.184655071413624e-20
BECN1,RXRA,0.44912992842885435,0.44912992842885435,2.908725866330339e-20,2.908725866330339e-19
BECN1,PPARA,0.4472922972546988,0.4472922972546988,4.31165348734102e-20,4.2597058549634175e-19
DUSP1,STAT3,0.4449058048818196,0.4449058048818196,7.163091731975687e-20,6.992541928833409e-19
