gene_a,gene_b,pearson_r,abs_r,p_value,BH_FDR
ATG5,HPGD,0.2363593932546236,0.2363593932546236,3.185470922778465e-06,1.0749325747647496e-05
ATG5,SQSTM1,0.23507388823013722,0.23507388823013722,3.614318252325614e-06,1.2146479372569687e-05
PTGER2,TIMP1,0.23191798989039275,0.23191798989039275,4.9133060656218555e-06,1.644453458697927e-05
F3,TIMP2,0.23157773206136523,0.23157773206136523,5.077378466226651e-06,1.692459488742217e-05
HPGD,PTGS2,0.2311756823199612,0.2311756823199612,5.277984206145244e-06,1.7522052830117816e-05
DKK1,RELA,0.23098311185819903,0.23098311185819903,5.376724683287512e-06,1.7777880001192578e-05
PTGER2,SELE,0.2298529306495783,0.2298529306495783,5.992686426265509e-06,1.9734951283284005e-05
HPGD,PPARD,0.22916595744339952,0.22916595744339952,6.3993667155360056e-06,2.0989922826958098e-05
HSPA1A,RELA,0.2259592180797946,0.2259592180797946,8.671323027423563e-06,2.832862502982997e-05
BECN1,HPGD,0.22565343425855192,0.22565343425855192,8.924173419721622e-06,2.9038977000681467e-05
CYP1A2,PTGES2,-0.22560148835354718,0.22560148835354718,8.967818429777457e-06,2.9065656570820214e-05
F3,SIRT1,0.22492860589772234,0.22492860589772234,9.551855168372661e-06,3.0836697787659774e-05
CYP1A2,ESR1,0.22410049796764303,0.22410049796764303,1.0320361982396551e-05,3.318704637476538e-05
PTGER2,RXRA,0.22376570319548666,0.22376570319548666,1.064746043123654e-05,3.4105146693804544e-05
DKK1,MMP2,0.22363413672048751,0.22363413672048751,1.0778681645140613e-05,3.427913873747206e-05
NR3C1,PPARD,0.22362745415020097,0.22362745415020097,1.0785387553985112e-05,3.427913873747206e-05
CA9,PTGES2,0.22320344549957213,0.22320344549957213,1.1219084480114736e-05,3.551988136561422e-05
PGR,PPARA,0.22277311672174122,0.22277311672174122,1.1676170836040806e-05,3.682484648289792e-05
ESR1,NEAT1,0.2221077739410791,0.2221077739410791,1.241789218926536e-05,3.9014067414550175e-05
ATG5,IL1A,0.22202766323260728,0.22202766323260728,1.251016176059614e-05,3.9153941388125326e-05
IL1A,PTGER2,0.2207064771052637,0.2207064771052637,1.4129128418603301e-05,4.4052795829865804e-05
NR1I2,PTGS2,-0.22019140764964532,0.22019140764964532,1.4812669782400603e-05,4.6009050081698845e-05
ATG5,NR1I2,0.21837320621543468,0.21837320621543468,1.7485322689887143e-05,5.4105526813990405e-05
CCL20,NR1I2,0.2179755482246721,0.2179755482246721,1.812796318532474e-05,5.5818322265641744e-05
CA9,PPARD,0.2179469761319407,0.2179469761319407,1.8174990298690665e-05,5.5818322265641744e-05
