rank_by_adjusted_OLS_FDR,gene_symbol,male_n,female_n,male_median,female_median,median_delta_male_minus_female,mann_whitney_U,mann_whitney_p,adjusted_n,adjusted_beta_male_minus_female,adjusted_se,adjusted_ci_low,adjusted_ci_high,adjusted_p_value,adjusted_status,BH_FDR_mann_whitney_81_genes,BH_FDR_adjusted_OLS_81_genes,direction
51,CYP11A1,205,172,-3.816,-3.626,-0.18999999999999995,16569.0,0.31345544568398975,377,-0.13622540750710294,0.2553847296628006,-0.6367702798476902,0.36431946483348426,0.5937480654253247,ok,0.8851270581970455,0.9230319463189456,lower_in_male
52,PTX3,205,172,-2.053,-1.9289999999999998,-0.12400000000000011,16976.5,0.5354472327364843,377,-0.08754745027665614,0.1647842779389351,-0.41051870025540715,0.23542379970209484,0.5952211504221683,ok,0.8851270581970455,0.9230319463189456,lower_in_male
53,SCGN,205,172,-2.315,-2.466,0.15100000000000025,16815.5,0.43950259652108237,377,-0.1701724315836697,0.32806508128948564,-0.8131681754962666,0.47282331232892727,0.6039591747519026,ok,0.8851270581970455,0.9230319463189456,lower_in_male
54,RPS2,205,172,11.92,11.9,0.019999999999999574,17612.5,0.987129392254439,377,0.030045760430685076,0.06020352452359622,-0.08795097937793744,0.1480425002393076,0.6177302180292422,ok,0.987129392254439,0.9265953270438634,higher_in_male
55,ESR1,205,172,-3.458,-3.308,-0.15000000000000036,17499.5,0.9017465674898066,377,0.08650087184088537,0.19569086628187501,-0.2970461781750333,0.470047921856804,0.6584688349232004,ok,0.9734206085768067,0.9669030969132149,higher_in_male
56,SIRT2,205,172,4.701,4.7705,-0.06950000000000056,16593.5,0.325595213862621,377,-0.022486092418125145,0.059584464016558654,-0.1392694959287029,0.09429731109245262,0.7058898885488372,ok,0.8851270581970455,0.9669030969132149,lower_in_male
57,ADAMTS1,205,172,2.161,2.141,0.020000000000000018,17435.5,0.8539505402921351,377,-0.05015379093764043,0.136912791799205,-0.3184979318869131,0.21819035001163223,0.7141268684547847,ok,0.9734206085768067,0.9669030969132149,lower_in_male
58,PTGES2,205,172,6.416,6.3835,0.03250000000000064,17382.5,0.8146978952724051,377,-0.022441976970240807,0.06219137453546781,-0.14433483120879914,0.09945087726831753,0.7182089446556571,ok,0.9734206085768067,0.9669030969132149,lower_in_male
59,LUM,205,172,7.928,7.781499999999999,0.14650000000000052,17987.0,0.735159723841653,377,0.05754882608045438,0.16638312742328365,-0.2685561113043202,0.38365376346522895,0.7294318609718553,ok,0.9734206085768067,0.9669030969132149,higher_in_male
60,PPARD,205,172,4.084,4.0595,0.024499999999999744,17068.5,0.5945091145105663,377,-0.022961028861971565,0.07327337935689986,-0.16657421342703596,0.12065215570309282,0.7540063128453232,ok,0.9260622745260745,0.9669030969132149,lower_in_male
61,MMP2,205,172,6.405,6.391500000000001,0.013499999999999623,18069.0,0.6773537842271372,377,0.05189651562733622,0.17198759405031153,-0.28519297449896963,0.38898600575364206,0.7628459333971946,ok,0.9734206085768067,0.9669030969132149,higher_in_male
62,RXRA,205,172,4.198,4.263,-0.0649999999999995,16766.5,0.41286005154403815,377,-0.020410500972035547,0.071691002213555,-0.16092228332618463,0.12010128138211353,0.7758732142888753,ok,0.8851270581970455,0.9669030969132149,lower_in_male
63,NR1I2,205,172,4.458,4.452999999999999,0.005000000000000782,17410.5,0.8353841238488205,377,0.04853684761477438,0.17217738501025145,-0.28892462595760504,0.3859983211871538,0.7780199990102018,ok,0.9734206085768067,0.9669030969132149,higher_in_male
64,MMP9,205,172,4.225,4.249499999999999,-0.024499999999999744,17546.5,0.9372269399687435,377,-0.05341456557499699,0.1915049846162308,-0.4287574382827065,0.3219283071327125,0.7803062385855752,ok,0.9734206085768067,0.9669030969132149,lower_in_male
65,PPARG,205,172,5.375,5.295,0.08000000000000007,17504.0,0.9052099933461069,377,-0.024858157619261856,0.0927429911456099,-0.20663108008317438,0.15691476484465067,0.788674121008435,ok,0.9734206085768067,0.9669030969132149,lower_in_male
66,GSTA2,205,172,-4.293,-4.871499999999999,0.5784999999999991,18458.5,0.42831334356214623,377,0.07577336623298979,0.3009787569851555,-0.5141341575695483,0.6656808900355279,0.801229262407799,ok,0.8851270581970455,0.9669030969132149,higher_in_male
67,PTGFR,205,172,-1.685,-1.3735,-0.3115000000000001,17224.0,0.7003829809933869,377,-0.04425054957379963,0.19017973825863468,-0.4169959871499778,0.3284948880023785,0.8160118277341827,ok,0.9734206085768067,0.9669030969132149,lower_in_male
68,PPARA,205,172,3.032,3.1100000000000003,-0.07800000000000029,16760.0,0.40934935517590554,377,-0.015427889935696444,0.0665857701894869,-0.14593360138995154,0.11507782151855867,0.8167714165435656,ok,0.8851270581970455,0.9669030969132149,lower_in_male
69,STAR,205,172,-5.012,-5.012,0.0,17793.5,0.8763634344257999,377,0.04549527441304116,0.23667248717900835,-0.4183742765893329,0.5093648254154152,0.8475629668755802,ok,0.9734206085768067,0.9669030969132149,higher_in_male
70,CXCR4,205,172,4.259,4.1965,0.0625,17909.5,0.7912150248202325,377,0.026343950949603286,0.14116560155999205,-0.2503355439639124,0.30302344586311897,0.8519606597543812,ok,0.9734206085768067,0.9669030969132149,higher_in_male
71,SUSD2,205,172,0.1776,0.2702,-0.09259999999999999,17512.5,0.9116013790080963,377,-0.024180777628233906,0.147419239797416,-0.3131171782594431,0.2647556230029753,0.8697096645593246,ok,0.9734206085768067,0.9669030969132149,lower_in_male
72,TIMP2,205,172,5.952,6.0545,-0.10250000000000004,17393.5,0.8228102948944709,377,-0.023070435172723787,0.14291986737227025,-0.3031882278976146,0.25704735755216707,0.8717609062594964,ok,0.9734206085768067,0.9669030969132149,lower_in_male
73,HSD3B2,205,172,-5.012,-5.012,0.0,17573.5,0.9568056422036503,377,-0.051661993420068164,0.3740535856599301,-0.7847935496015992,0.6814695627614629,0.8901504133446367,ok,0.9734206085768067,0.9669030969132149,lower_in_male
74,TIMP1,205,172,8.652,8.66,-0.008000000000000895,17533.0,0.927043306709914,377,0.012961641991923165,0.09655541814812271,-0.17628350009060245,0.2022067840744488,0.8932124473611723,ok,0.9734206085768067,0.9669030969132149,higher_in_male
75,NR3C1,205,172,1.252,1.1480000000000001,0.10399999999999987,17573.5,0.9576230109790272,377,0.016673283983849208,0.13383967994931856,-0.24564766841918279,0.2789942363868812,0.9008588035881224,ok,0.9734206085768067,0.9669030969132149,higher_in_male
76,CYP2A6,205,172,-9.966,-9.966,0.0,17805.5,0.8568389798412711,377,0.03701716763870233,0.3176112567107136,-0.5854894565988019,0.6595237918762066,0.9072177205605473,ok,0.9734206085768067,0.9669030969132149,higher_in_male
77,CA9,205,172,4.176,4.2375,-0.061499999999999666,17484.0,0.8901932166608284,377,0.022806991176909826,0.26974016354511954,-0.5058740145554684,0.5514879969092882,0.9326177940294986,ok,0.9734206085768067,0.9772739547377635,higher_in_male
78,CADM3,205,172,-2.635,-2.388,-0.2469999999999999,17267.5,0.731104626085128,377,0.01467854792881762,0.2953532822196274,-0.5642032479373464,0.5935603437949817,0.9603628330372475,ok,0.9734206085768067,0.9772739547377635,higher_in_male
79,PTGER2,205,172,0.688,0.7144999999999999,-0.026499999999999968,17135.5,0.6392534953678415,377,-0.007703282862269949,0.1684039206566075,-0.3377689022045615,0.3223623364800216,0.9635151742972139,ok,0.9539710344562473,0.9772739547377635,lower_in_male
80,HPGD,205,172,3.539,3.4355,0.10349999999999993,17911.5,0.7897534107085896,377,0.007277979662030504,0.1668569687150714,-0.319755669589036,0.33431162891309696,0.9652088441854454,ok,0.9734206085768067,0.9772739547377635,higher_in_male
81,RGS2,205,172,3.706,3.5385,0.16749999999999998,17887.5,0.807340734575714,377,0.0017978540451620284,0.13691667123073412,-0.2665538904501882,0.27014959854051224,0.9895232717068105,ok,0.9734206085768067,0.9895232717068105,higher_in_male
