test_id,variable,cycle,source_data_file,source_weight_variable,exposure_rows,exposure_nonmissing,universal_outcome_covariate_rows,merge_rows,crc_vs_cancer_free_rows,complete_case_rows,complete_case_crc_cases
NHANES_URXUCD,URXUCD,2015-2016,UM_I.xpt,WTSA2YR,3279,3061,9575,3279,1695,1455,11
NHANES_URXUCD,URXUCD,2017-2018,UM_J.xpt,WTSA2YR,2979,2808,8897,2979,1579,1310,9
NHANES_URXUCO,URXUCO,1999-2000,LAB06HM.xpt,WTSHM2YR,2547,2465,9493,2547,1352,1107,7
NHANES_URXUCO,URXUCO,2001-2002,L06HM_B.xpt,WTSHM2YR,2804,2690,10470,2804,1483,1267,7
NHANES_URXUCO,URXUCO,2003-2004,L06HM_C.xpt,WTSA2YR,2673,2558,9645,2673,1464,1312,11
NHANES_URXUCO,URXUCO,2005-2006,UHM_D.xpt,WTSA2YR,2692,2576,9822,2692,1460,1317,11
NHANES_URXUCO,URXUCO,2007-2008,UHM_E.xpt,WTSA2YR,2720,2627,9666,2720,1755,1530,12
NHANES_URXUCO,URXUCO,2009-2010,UHM_F.xpt,WTSA2YR,2941,2848,10109,2941,1860,1623,13
NHANES_URXUCO,URXUCO,2011-2012,UHM_G.xpt,WTSA2YR,2594,2504,9364,2594,1636,1419,10
NHANES_URXUCO,URXUCO,2013-2014,UM_H.xpt,WTSA2YR,2755,2664,9770,2755,1691,1525,10
NHANES_URXUCO,URXUCO,2015-2016,UM_I.xpt,WTSA2YR,3279,3061,9575,3279,1695,1455,11
NHANES_URXUCO,URXUCO,2017-2018,UM_J.xpt,WTSA2YR,2979,2808,8897,2979,1579,1310,9
NHANES_URXUCS,URXUCS,1999-2000,LAB06HM.xpt,WTSHM2YR,2547,2464,9493,2547,1352,1107,7
NHANES_URXUCS,URXUCS,2001-2002,L06HM_B.xpt,WTSHM2YR,2804,2690,10470,2804,1483,1267,7
NHANES_URXUCS,URXUCS,2003-2004,L06HM_C.xpt,WTSA2YR,2673,2558,9645,2673,1464,1312,11
NHANES_URXUCS,URXUCS,2005-2006,UHM_D.xpt,WTSA2YR,2692,2576,9822,2692,1460,1317,11
NHANES_URXUCS,URXUCS,2007-2008,UHM_E.xpt,WTSA2YR,2720,2627,9666,2720,1755,1530,12
NHANES_URXUCS,URXUCS,2009-2010,UHM_F.xpt,WTSA2YR,2941,2848,10109,2941,1860,1623,13
NHANES_URXUCS,URXUCS,2011-2012,UHM_G.xpt,WTSA2YR,2594,2503,9364,2594,1636,1419,10
NHANES_URXUCS,URXUCS,2013-2014,UM_H.xpt,WTSA2YR,2755,2664,9770,2755,1691,1525,10
NHANES_URXUCS,URXUCS,2015-2016,UM_I.xpt,WTSA2YR,3279,3061,9575,3279,1695,1455,11
NHANES_URXUCS,URXUCS,2017-2018,UM_J.xpt,WTSA2YR,2979,2808,8897,2979,1579,1310,9
NHANES_URXUMO,URXUMO,1999-2000,LAB06HM.xpt,WTSHM2YR,2547,2257,9493,2547,1352,1018,6
NHANES_URXUMO,URXUMO,2001-2002,L06HM_B.xpt,WTSHM2YR,2804,2690,10470,2804,1483,1267,7
NHANES_URXUMO,URXUMO,2003-2004,L06HM_C.xpt,WTSA2YR,2673,2558,9645,2673,1464,1312,11
NHANES_URXUMO,URXUMO,2005-2006,UHM_D.xpt,WTSA2YR,2692,2576,9822,2692,1460,1317,11
NHANES_URXUMO,URXUMO,2007-2008,UHM_E.xpt,WTSA2YR,2720,2627,9666,2720,1755,1530,12
NHANES_URXUMO,URXUMO,2009-2010,UHM_F.xpt,WTSA2YR,2941,2848,10109,2941,1860,1623,13
NHANES_URXUMO,URXUMO,2011-2012,UHM_G.xpt,WTSA2YR,2594,2504,9364,2594,1636,1419,10
NHANES_URXUMO,URXUMO,2013-2014,UM_H.xpt,WTSA2YR,2755,2664,9770,2755,1691,1525,10
NHANES_URXUMO,URXUMO,2015-2016,UM_I.xpt,WTSA2YR,3279,3060,9575,3279,1695,1454,11
NHANES_URXUMO,URXUMO,2017-2018,UM_J.xpt,WTSA2YR,2979,2808,8897,2979,1579,1310,9
NHANES_URXUPB,URXUPB,1999-2000,LAB06HM.xpt,WTSHM2YR,2547,2465,9493,2547,1352,1107,7
NHANES_URXUPB,URXUPB,2001-2002,L06HM_B.xpt,WTSHM2YR,2804,2690,10470,2804,1483,1267,7
NHANES_URXUPB,URXUPB,2003-2004,L06HM_C.xpt,WTSA2YR,2673,2558,9645,2673,1464,1312,11
