chemical_id,canonical_name,CAS,PubChemCID,DTXSID,InChIKey,chemical_class,classification_rule_prefixes,eligible_as_environmental_exposure,drug_like_exclusion,drugcentral_match,pah_formula,pah_structure_valid,classification_exclusion_reason
C015844,direct black 3,,,,,,,False,False,False,,False,
C035549,direct blue 15,2429-74-5,,DTXSID7020186,OLSOUGWNONTDCK-UHFFFAOYSA-J,,,False,False,False,,False,
C000726501,direct blue 297,,,,,,,False,False,False,,False,
C017261,direct blue 6,2602-46-2,,,,,,False,False,False,,False,
C408744,Direct Blue 71,,,,,,,False,False,False,,False,
C015845,direct Bordeaux R,2302-97-8,,,,,,False,False,False,,False,
C000611168,direct brown 1,,,,,,,False,False,False,,False,
C017262,direct brown 95,16071-86-6,,,,,,False,False,False,,False,
C015846,direct brown KX,2429-82-5,,,,,,False,False,False,,False,
C495660,Direct Fast Scarlet 4BS,,,,,,,False,False,False,,False,
C587637,Direct Green 6,,,,,,,False,False,False,,False,
C029931,Direction compound,80106-40-7,,,,,,False,False,False,,False,
C030888,Direct-On II,80448-82-4,,,,,,False,False,False,,False,
C493851,Direct Orange 39,,,,,,,False,False,False,,False,
C501278,Direct Red 12B,,,,,,,False,False,False,,False,
C502126,Direct Red 254,,,,,,,False,False,False,,False,
C542892,Direct Red 5B,,,,,,,False,False,False,,False,
