time_ps,core_rmsd_vs_40ns_after_protein_fit_A,core_internal_rmsd_vs_40ns_A,branch1_rmsd_vs_40ns_after_core_fit_A,branch2_rmsd_vs_40ns_after_core_fit_A,com_drift_vs_40ns_A,com_displacement_vs_minimized_A,pair_retention_vs_40ns,pocket_residue_fraction_vs_40ns,nearest_distance_to_40ns_pocket_A,pair_retention_vs_minimized,pocket_residue_fraction_vs_minimized,nearest_distance_to_minimized_pocket_A
6.332000018878260744e+04,8.213615750451381814e-01,5.016873514324088346e-02,7.225191586621637629e-01,1.457049940482935346e+00,5.094340695461095914e-01,5.723093091765993901e-01,4.285714285714285476e-01,8.333333333333333703e-01,3.529587575623610807e+00,0.000000000000000000e+00,1.666666666666666574e-01,3.642691709009772794e+00
6.333000018881242431e+04,1.239439960760920778e+00,2.097446879452717280e-02,1.306667243433362824e+00,1.289985969243092390e+00,8.066593671035868773e-01,8.011306710741760151e-01,5.238095238095238360e-01,1.000000000000000000e+00,3.518238337038020802e+00,4.166666666666666435e-02,3.333333333333333148e-01,3.873137481115732417e+00
6.334000018884223391e+04,1.200500023300711261e+00,6.683158968764943419e-02,7.257367819702620348e-01,1.251554903200170932e+00,6.061869870328501220e-01,6.943493298489386012e-01,3.333333333333333148e-01,1.000000000000000000e+00,3.925819873762844470e+00,4.166666666666666435e-02,3.333333333333333148e-01,3.925819873762844470e+00
6.335000018887205078e+04,1.130526844929629515e+00,7.963188942645355040e-02,9.219854941192541231e-01,2.278785722787473045e+00,8.513047504979889268e-01,7.912986902625729346e-01,5.714285714285713969e-01,1.000000000000000000e+00,3.660187412593615797e+00,4.166666666666666435e-02,3.333333333333333148e-01,3.593644444406751237e+00
6.336000018890186766e+04,1.305717543454867346e+00,4.969207556536818504e-02,9.747502967958693310e-01,1.213456294584158046e+00,1.288184568720963430e+00,1.165854356115572310e+00,5.714285714285713969e-01,1.000000000000000000e+00,3.773698397602313737e+00,0.000000000000000000e+00,1.666666666666666574e-01,3.773698397602313737e+00
6.337000018893167726e+04,1.133133908611096086e+00,5.692242835013765906e-02,1.760060215487128987e+00,3.151578903246231800e+00,7.330039507530934362e-01,6.038626224488687910e-01,5.714285714285713969e-01,8.333333333333333703e-01,3.608815055198916433e+00,0.000000000000000000e+00,1.666666666666666574e-01,3.716534153309714483e+00
6.338000018896149413e+04,8.371118932676473445e-01,6.522263188795734967e-02,7.411060689387255485e-01,2.016565411815371966e+00,5.332538896142966500e-01,5.281941833315622059e-01,4.285714285714285476e-01,8.333333333333333703e-01,3.463159101331873213e+00,4.166666666666666435e-02,3.333333333333333148e-01,3.463159101331873213e+00
6.339000018899130373e+04,7.865265617271768317e-01,6.452140542953985203e-02,7.203977475161228439e-01,1.380174473088304321e+00,4.234048190036893700e-01,3.242872931881070064e-01,4.285714285714285476e-01,1.000000000000000000e+00,3.754686690985093112e+00,0.000000000000000000e+00,1.666666666666666574e-01,3.279200740024017513e+00
6.340000018902112060e+04,1.344722205379837332e+00,6.211057089890862498e-02,1.424462476845091974e+00,1.573038432250813745e+00,6.001837088153723077e-01,3.892403304332288094e-01,3.809523809523809312e-01,8.333333333333333703e-01,3.706275913732548055e+00,4.166666666666666435e-02,3.333333333333333148e-01,3.906517955878238357e+00
6.341000018905093748e+04,1.249741689265120526e+00,4.465474065116717406e-02,8.552579167947057526e-01,1.967088751874105812e+00,4.390154108236167807e-01,3.381751764289580575e-01,4.285714285714285476e-01,6.666666666666666297e-01,3.571604157751832265e+00,4.166666666666666435e-02,3.333333333333333148e-01,3.571604157751832265e+00
6.342000018908074708e+04,8.459477020542421899e-01,5.423983849385818901e-02,8.976379681081131379e-01,1.389998544168036254e+00,3.660980586854590269e-01,4.045114283556001111e-01,5.238095238095238360e-01,1.000000000000000000e+00,3.822083343006211553e+00,0.000000000000000000e+00,1.666666666666666574e-01,3.822083343006211553e+00
6.343000018911056395e+04,6.369476011990597986e-01,4.356774626000566031e-02,6.388022693785566641e-01,1.562730842799064268e+00,5.249580583010584611e-01,2.772748453305858840e-01,7.142857142857143016e-01,1.000000000000000000e+00,3.780204308981519379e+00,4.166666666666666435e-02,3.333333333333333148e-01,3.780204308981519379e+00
6.344000018914038083e+04,1.405162738309648551e+00,6.793611896736460876e-02,6.063380807699242370e-01,1.439251374367705338e+00,3.060191924148341625e-01,1.743957850496792861e-01,4.285714285714285476e-01,6.666666666666666297e-01,3.464218575291439173e+00,8.333333333333332871e-02,3.333333333333333148e-01,3.325370828745956242e+00
