time_ps,protein_ca_rmsd_A,ligand_rmsd_A,ligand_com_displacement_A
2.170000006469650543e+03,1.323423312371334815e+00,3.676478826377654663e+00,1.832440996783093690e+00
2.180000006499464234e+03,1.284482662817142629e+00,3.746938050323393110e+00,1.984516297870525525e+00
2.190000006529278380e+03,1.222644926427514322e+00,3.890685128571000018e+00,1.924542760245325557e+00
2.200000006559092526e+03,1.321887117267017686e+00,3.819756739808371382e+00,1.944609444213350136e+00
2.210000006588906672e+03,1.267729692159808019e+00,3.596069011472720511e+00,1.879047905531873175e+00
2.220000006618720818e+03,1.334188892555707939e+00,3.867931045415901714e+00,2.163827932910623808e+00
2.230000006648534509e+03,1.354086266670419869e+00,3.706057473889594611e+00,1.643806765732403141e+00
2.240000006678348655e+03,1.362822866433203384e+00,3.810973730699223960e+00,2.169989376678963300e+00
2.250000006708162800e+03,1.393022003418766586e+00,3.710549795372538373e+00,1.985173066289815269e+00
2.260000006737976946e+03,1.286715794144133618e+00,3.920990865204527775e+00,1.932709838042643735e+00
2.270000006767791092e+03,1.306978029399898489e+00,3.760344519261759721e+00,1.990881116684046992e+00
2.280000006797604783e+03,1.379075152309967134e+00,3.769448778203661643e+00,1.925707304322478830e+00
2.290000006827418929e+03,1.270675624448372343e+00,3.909788631507379542e+00,2.023975706295602528e+00
2.300000006857233075e+03,1.405775459117035497e+00,3.937708136385197122e+00,2.049707262742508362e+00
2.310000006887047221e+03,1.408933838319433418e+00,3.815157822388337117e+00,1.812287765750104418e+00
2.320000006916861366e+03,1.419531217985329219e+00,3.325421338771321178e+00,1.336265566720048037e+00
2.330000006946675057e+03,1.365932179722813444e+00,3.920244333948531334e+00,2.185711045218346360e+00
2.340000006976489203e+03,1.403632600799216368e+00,3.743473652838562593e+00,1.786154542835060255e+00
2.350000007006303349e+03,1.378907941920360924e+00,3.740105016240187652e+00,1.629885119934505910e+00
2.360000007036117495e+03,1.433021593302739705e+00,3.792998782749022357e+00,1.613825794475670872e+00
2.370000007065931641e+03,1.362391006982683894e+00,3.989944274847864403e+00,2.041689108950767828e+00
2.380000007095745787e+03,1.362318495808375385e+00,3.989609990660697214e+00,2.026812649837342217e+00
2.390000007125559478e+03,1.372741559180943094e+00,3.836144101811841178e+00,1.955532276498134436e+00
2.400000007155373623e+03,1.327734431900143841e+00,4.187125171189357786e+00,2.365449858452985499e+00
2.410000007185187769e+03,1.306502817925497384e+00,3.926807805216788072e+00,2.080653515147050658e+00
2.420000007215001915e+03,1.319125718375339540e+00,3.561055889636810967e+00,1.785224163347339355e+00
2.430000007244816061e+03,1.410045542034093824e+00,3.664268786715694226e+00,2.185981628281361999e+00
2.440000007274629752e+03,1.432332614281170091e+00,3.975066710750871923e+00,2.201466483092128446e+00
2.450000007304443898e+03,1.358842788229287279e+00,3.801334508410171065e+00,1.770858389574456959e+00
2.460000007334258044e+03,1.300804561312056462e+00,3.934314615157461947e+00,2.068204728058000264e+00
2.470000007364072189e+03,1.321308209007411527e+00,3.642179841177681343e+00,1.810919032992577726e+00
2.480000007393886335e+03,1.318577538172106989e+00,3.653361740267116353e+00,1.670817309909599535e+00
2.490000007423700026e+03,1.371785746494432967e+00,3.671965416948126837e+00,1.946043102179913387e+00
2.500000007453514172e+03,1.449520631781629154e+00,3.787665634253910785e+00,1.945409892924918394e+00
2.510000007483328318e+03,1.416299761703043281e+00,3.828735931617010202e+00,2.169985150853990241e+00
2.520000007513142464e+03,1.349903036653486543e+00,3.832738006383293428e+00,1.858902955820265435e+00
2.530000007542956610e+03,1.345648766838127175e+00,3.628922968322096931e+00,1.836926738730694897e+00
2.540000007572770301e+03,1.420586842420880513e+00,3.914745082244923680e+00,1.971695101104358416e+00
2.550000007602584446e+03,1.547812788314721688e+00,4.334229740783761109e+00,2.537529221788390910e+00
2.560000007632398592e+03,1.391615624113396343e+00,4.335902662532769014e+00,2.310518163409245762e+00
2.570000007662212738e+03,1.436322009670409461e+00,3.833200916353321830e+00,1.961876974166230969e+00
2.580000007692026884e+03,1.446355872980894075e+00,3.725139177891184872e+00,2.104687026653990323e+00
2.590000007721840575e+03,1.446405817901692314e+00,3.661922796475575392e+00,1.792163463472502771e+00
2.600000007751654721e+03,1.465497050062604556e+00,3.942474071366396604e+00,2.067944002046099961e+00
2.610000007781468867e+03,1.540214937815903795e+00,3.559734843417392991e+00,1.680552242717994860e+00
2.620000007811283012e+03,1.525358894766322138e+00,3.877678304389822195e+00,1.837092744866485994e+00
2.630000007841097158e+03,1.415178041305027667e+00,3.677397869515392159e+00,2.152220368452754329e+00
2.640000007870910849e+03,1.358414114100316983e+00,3.717278948334083566e+00,2.033805642949015446e+00
2.650000007900724995e+03,1.517901773398085741e+00,3.986295355238073768e+00,2.358575469041948036e+00
2.660000007930539141e+03,1.521834176283397122e+00,3.844209972144340792e+00,2.116282192394902228e+00
2.670000007960353287e+03,1.567984568313857796e+00,3.700687164486101910e+00,2.072677141633792353e+00
2.680000007990167433e+03,1.422018337158387880e+00,4.365311968301673673e+00,2.556209541782012540e+00
2.690000008019981124e+03,1.300737788948697071e+00,4.062651000986530647e+00,1.863296525959508676e+00
2.700000008049795269e+03,1.454151395930145751e+00,4.175787253832099033e+00,2.296047542148147436e+00
2.710000008079609415e+03,1.399478079859687973e+00,3.799776298986793144e+00,1.921883622976696460e+00
2.720000008109423561e+03,1.406135384299413760e+00,3.908698561115617309e+00,2.267957225751914940e+00
2.730000008139237707e+03,1.380761229534362533e+00,3.795948247574022272e+00,1.822536425981778674e+00
2.740000008169051398e+03,1.343962645859398508e+00,3.738877364038245776e+00,1.879349700633385467e+00
2.750000008198865544e+03,1.278485720491044697e+00,3.819677319208248711e+00,1.985905124394626853e+00
2.760000008228679690e+03,1.315362391475703996e+00,3.889577566322921509e+00,2.013797655362104422e+00
2.770000008258493835e+03,1.341345725816636580e+00,3.726867856214935770e+00,1.804620192955570523e+00
2.780000008288307981e+03,1.439635882562704250e+00,3.693066014081648696e+00,2.050394730466180260e+00
2.790000008318122127e+03,1.301937548345339035e+00,3.829157854863147747e+00,1.803353887780286158e+00
2.800000008347935818e+03,1.280835389358810028e+00,3.678937060818400440e+00,1.859291065415558108e+00
2.810000008377749964e+03,1.348035092588014905e+00,3.685214681563485861e+00,1.663877677449582260e+00
2.820000008407564110e+03,1.455470310935756739e+00,3.703005481565714962e+00,1.904303335647593798e+00
2.830000008437378256e+03,1.431634828913267654e+00,3.523395187044823906e+00,1.780767635580439601e+00
2.840000008467192401e+03,1.388751096917980155e+00,3.791141691376124889e+00,1.753174388231835357e+00
2.850000008497006093e+03,1.355391240974942679e+00,3.613456487721012245e+00,1.754151255601599901e+00
2.860000008526820238e+03,1.383454768375518285e+00,3.734850688920569262e+00,1.950248858369082461e+00
