condition,sender_subtype,receiver_state,receiver_group,ligand,receptor,pathway,category,sender_cells,receiver_cells,ligand_mean,ligand_detection_fraction,receptor_mean,receptor_detection_fraction,communication_score,ligand_components_present,receptor_components_present
normal,C1QC_like_TAM,normal_epithelial,normal_epithelial,JAG1,NOTCH1,Notch,Cell-Cell Contact,153,1144,0.013312171213328837,0.013071895424836605,0.09633196145296098,0.17744755244755248,0.0017247014880576988,1,1
normal,C1QC_like_TAM,normal_epithelial,normal_epithelial,JAG2,NOTCH2,Notch,Cell-Cell Contact,153,1144,1.000000000000001e-12,1.000000000000001e-12,0.08851645141839982,0.1381118881118881,1.105675098496816e-13,1,1
normal,C1QC_like_TAM,normal_epithelial,normal_epithelial,DLL1,NOTCH1,Notch,Cell-Cell Contact,153,1144,1.000000000000001e-12,1.000000000000001e-12,0.09633196145296098,0.17744755244755248,1.307435305561997e-13,1,1
normal,C1QC_like_TAM,normal_epithelial,normal_epithelial,DLL4,NOTCH1,Notch,Cell-Cell Contact,153,1144,1.000000000000001e-12,1.000000000000001e-12,0.09633196145296098,0.17744755244755248,1.307435305561997e-13,1,1
normal,FCN1_inflammatory_monocyte_like,normal_epithelial,normal_epithelial,SPP1,CD44,SPP1,Secreted Signaling,255,1144,0.026661384850740433,0.0196078431372549,0.1457950472831726,0.21590909090909094,0.00405660866351877,1,1
normal,FCN1_inflammatory_monocyte_like,normal_epithelial,normal_epithelial,SPP1,ITGAV+ITGB1,SPP1,ECM-Receptor,255,1144,0.026661384850740433,0.0196078431372549,0.17139138074857407,0.2212488394343549,0.004452370056021729,1,2
normal,FCN1_inflammatory_monocyte_like,normal_epithelial,normal_epithelial,SPP1,ITGAV+ITGB5,SPP1,ECM-Receptor,255,1144,0.026661384850740433,0.0196078431372549,0.06602553135923608,0.10906625147190367,0.0019402487391628673,1,2
normal,FCN1_inflammatory_monocyte_like,normal_epithelial,normal_epithelial,CXCL12,CXCR4,CXCL,Secreted Signaling,255,1144,0.039177406579256065,0.03921568627450981,0.031117351725697517,0.04895104895104895,0.001529783834368837,1,1
normal,FCN1_inflammatory_monocyte_like,normal_epithelial,normal_epithelial,CXCL9,CXCR3,CXCL,Secreted Signaling,255,1144,0.037265177816152566,0.015686274509803914,0.008176942355930807,0.02185314685314685,0.00032319450228005973,1,1
normal,FCN1_inflammatory_monocyte_like,normal_epithelial,normal_epithelial,CXCL10,CXCR3,CXCL,Secreted Signaling,255,1144,0.21261775493621826,0.10196078431372549,0.008176942355930807,0.02185314685314685,0.001968198098921276,1,1
normal,FCN1_inflammatory_monocyte_like,normal_epithelial,normal_epithelial,CXCL11,CXCR3,CXCL,Secreted Signaling,255,1144,0.02918635308742523,0.0196078431372549,0.008176942355930807,0.02185314685314685,0.00031978441060870414,1,1
normal,FCN1_inflammatory_monocyte_like,normal_epithelial,normal_epithelial,CXCL8,CXCR1,CXCL,Secreted Signaling,255,1144,1.3427746295928955,0.5372549019607843,1.000000000000001e-12,1.000000000000001e-12,8.493599072109308e-13,1,1
normal,FCN1_inflammatory_monocyte_like,normal_epithelial,normal_epithelial,CXCL8,CXCR2,CXCL,Secreted Signaling,255,1144,1.3427746295928955,0.5372549019607843,1.000000000000001e-12,1.000000000000001e-12,8.493599072109308e-13,1,1
normal,FCN1_inflammatory_monocyte_like,normal_epithelial,normal_epithelial,CXCL1,CXCR2,CXCL,Secreted Signaling,255,1144,0.01272046100348234,0.01176470588235294,1.000000000000001e-12,1.000000000000001e-12,1.2233253140269361e-14,1,1
normal,FCN1_inflammatory_monocyte_like,normal_epithelial,normal_epithelial,CXCL2,CXCR2,CXCL,Secreted Signaling,255,1144,0.9368321895599365,0.41568627450980394,1.000000000000001e-12,1.000000000000001e-12,6.240418917981654e-13,1,1
normal,FCN1_inflammatory_monocyte_like,normal_epithelial,normal_epithelial,CCL2,CCR2,CCL,Secreted Signaling,255,1144,0.04606451094150544,0.03529411764705883,0.00020421836234163477,0.0008741258741258741,1.7036045025393554e-05,1,1
normal,FCN1_inflammatory_monocyte_like,normal_epithelial,normal_epithelial,CCL3,CCR1,CCL,Secreted Signaling,255,1144,0.7090832591056824,0.3372549019607843,0.0012822411954402926,0.0017482517482517485,0.0007321745010148898,1,1
normal,FCN1_inflammatory_monocyte_like,normal_epithelial,normal_epithelial,CCL3,CCR5,CCL,Secreted Signaling,255,1144,0.7090832591056824,0.3372549019607843,0.0016504067461937666,0.0034965034965034974,0.001174735870210751,1,1
normal,FCN1_inflammatory_monocyte_like,normal_epithelial,normal_epithelial,CCL4,CCR5,CCL,Secreted Signaling,255,1144,0.5166045427322388,0.2823529411764706,0.0016504067461937666,0.0034965034965034974,0.0009174612849157501,1,1
normal,FCN1_inflammatory_monocyte_like,normal_epithelial,normal_epithelial,CCL5,CCR5,CCL,Secreted Signaling,255,1144,0.023377696052193638,0.02352941176470588,0.0016504067461937666,0.0034965034965034974,5.634026266756526e-05,1,1
normal,FCN1_inflammatory_monocyte_like,normal_epithelial,normal_epithelial,CCL20,CCR6,CCL,Secreted Signaling,255,1144,0.11968749016523361,0.06274509803921567,0.0030683069489896293,0.0034965034965034974,0.0002838446195691973,1,1
normal,FCN1_inflammatory_monocyte_like,normal_epithelial,normal_epithelial,VEGFA,FLT1,VEGF,Secreted Signaling,255,1144,0.1763077080249786,0.1411764705882353,0.00032632931834086787,0.0008741258741258741,8.426201582653733e-05,1,1
normal,FCN1_inflammatory_monocyte_like,normal_epithelial,normal_epithelial,VEGFA,KDR,VEGF,Secreted Signaling,255,1144,0.1763077080249786,0.1411764705882353,0.0008356134640052912,0.0017482517482517485,0.00019068718612843237,1,1
