gene_symbol,gene_id,exact_2NAP_human_support,exact_2NAP_experimental_support,parent_naphthalene_support,number_of_sources,number_of_independent_references,number_of_species,number_of_tissues_or_cells,perturbation_direction_consistency,CTD_support,toxicogenomic_support,bioassay_target_support,direct_target_or_binding_support,exposure_metabolism_flag,direct_target_binding_flag,transcriptomic_response_flag,evidence_rows
RAD54L,8438,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
RAET1B,19369,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
RAF1,5894,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
RAN,5901,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
RANGAP1,5905,False,False,True,1,1,1,0,consistent:decreases,True,False,False,False,False,False,False,1
RAPGEF3,10411,False,False,True,1,4,1,0,consistent:inactive,False,True,True,True,False,True,False,6
RAPGEF4,11069,False,False,True,1,4,1,0,consistent:inactive,False,True,True,True,False,True,False,6
RARA,5914,True,False,True,1,3,1,0,mixed,False,True,True,True,False,True,False,12
RBBP8,5932,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
RCN3,57333,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
RDX,5962,False,False,True,1,1,1,0,consistent:affects;decreases,True,False,False,False,False,False,False,1
REG3A,5068,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
REG3B,18489,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
RGS12,6002,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
RGS16,6004,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
RGS4,5999,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
RHAG,6005,False,False,True,1,1,1,0,consistent:decreases,True,False,False,False,False,False,False,1
RHOC,389,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
RIN1,9610,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
RIPK2,8767,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
RNF220,55182,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
RORC,6097,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
RPLP0,6175,False,False,True,1,1,1,0,consistent:affects,True,False,False,False,True,False,False,1
RPS27A,6233,False,False,True,1,1,1,0,consistent:decreases,True,False,False,False,False,False,False,1
RPSA,3921,False,False,True,1,1,1,0,consistent:affects,True,False,False,False,True,False,False,1
RRAS2,22800,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
RTT109,3639678,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
RXFP1,59350,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
RXRA,6256,True,False,True,1,4,1,0,mixed,False,True,True,True,False,True,False,12
RdRp,2943075,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
Rorc,19885,False,True,True,1,4,1,0,mixed,False,True,True,True,False,True,False,12
Rv3671c,885176,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
S,43740568,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
S100A14,57402,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
S100A4,6275,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
S100A6,6277,False,False,True,1,1,1,0,consistent:affects,True,False,False,False,False,False,False,1
S100A8,6279,False,False,True,1,3,1,0,mixed,True,False,False,False,False,False,False,4
S100A9,6280,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
SAA2,6289,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
SAA3,20210,False,False,True,1,3,1,0,mixed,True,False,False,False,False,False,False,5
SACK1D,81610,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
SARS-CoV-2,,False,True,False,1,3,1,0,not_assessable,False,True,False,True,False,True,False,5
SCGB1A1,7356,False,False,True,1,4,2,0,mixed,True,False,False,False,False,False,False,4
SCGB3A1,92304,False,False,True,1,1,1,0,consistent:decreases,True,False,False,False,False,False,False,1
SCGB3A2,117156,False,False,True,1,1,1,0,consistent:decreases,True,False,False,False,False,False,False,1
SDCBP2,27111,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
SDF2L1,23753,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
SDHA,6389,False,False,True,1,1,1,0,consistent:decreases,True,False,False,False,False,False,False,1
SEC14L3,266629,False,False,True,1,1,1,0,consistent:affects;decreases,True,False,False,False,False,False,False,1
SELENBP1,8991,False,False,True,1,1,1,0,consistent:affects;decreases,True,False,False,False,False,False,False,1
SELENBP2,20342,False,False,True,1,1,1,0,consistent:affects,True,False,False,False,True,False,False,1
SEMA7A,8482,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
SENP6,26054,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
SENP7,57337,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
SENP8,123228,False,False,True,1,2,1,0,consistent:inactive,False,True,True,True,False,True,False,2
SERPINA1,5265,False,False,True,1,2,2,0,consistent:affects,True,False,False,False,True,False,False,2
SERPINA1B,20701,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
SERPINA3M,20717,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
SERPINE1,5054,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
SFN,2810,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
SFRP1,6422,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
SGK1,6446,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
SIAE,54414,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
SIX1,6495,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
SLC10A3,8273,False,False,True,1,1,1,0,consistent:affects,True,False,False,False,False,False,False,1
SLC22A2,6582,False,False,True,1,1,1,0,consistent:decreases,True,False,False,False,False,False,False,1
SLC22A4,6583,False,False,True,1,1,1,0,mixed,True,False,False,False,False,False,False,2
SLC40A1,30061,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
SLC45A3,85414,False,False,True,1,1,1,0,consistent:decreases,True,False,False,False,False,False,False,1
SLC4A7,9497,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
SLC68A1,79847,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
SLC7A11,23657,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
SLC9A3,6550,False,False,True,1,1,1,0,consistent:decreases,True,False,False,False,False,False,False,1
SLPI,6590,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
SMAD2,4087,True,False,True,1,4,1,0,consistent:inactive,False,True,True,True,False,True,False,16
SMAD3,4088,True,False,True,1,5,1,0,consistent:inactive,False,True,True,True,False,True,False,17
SMARCA2,6595,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
SMN2,6607,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
SMPD1,6609,False,False,True,1,2,1,0,mixed,False,True,True,True,False,True,False,2
SNCA,6622,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
SNTA1,6640,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
SNUPN,10073,False,False,True,1,2,1,0,consistent:inactive,False,True,True,True,False,True,False,2
SON,6651,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
SOX17,64321,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
SOX2,6657,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
SPHK1,8877,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
SPINK5,11005,False,False,True,1,1,1,0,consistent:decreases,True,False,False,False,False,False,False,1
SPON2,10417,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
SPRR1A,6698,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
SRXN1,140809,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
SSU-1,190959,False,True,False,1,1,1,0,consistent:increases,True,False,False,False,True,False,False,1
STAT5B,6777,False,False,True,1,1,1,0,consistent:decreases,True,False,False,False,False,True,False,1
STE,P49888,True,False,False,1,6,1,0,not_assessable,False,True,False,True,True,True,False,6
STFA3,20863,False,False,True,1,1,1,0,consistent:affects,True,False,False,False,False,False,False,1
STK33,65975,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
STP,P50225,True,False,False,1,4,1,0,not_assessable,False,True,False,True,True,True,False,4
STP2,P50226,True,False,False,1,1,1,0,not_assessable,False,True,False,True,False,True,False,1
SULT1A1,6817,False,True,True,1,2,2,0,mixed,True,False,False,False,False,True,False,2
SULT1E1,6783,True,False,False,1,1,1,0,consistent:unspecified,False,True,True,True,False,True,False,1
SULT4A1,25830,True,True,False,2,2,2,0,consistent:increases,True,True,False,True,True,True,False,3
SUMO1,7341,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
SVAL2,84543,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
SYNPO,11346,False,False,True,1,1,1,0,consistent:affects,True,False,False,False,False,False,False,1
SYNPO2L,79933,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
SYP,6855,False,False,True,1,1,2,0,mixed,True,False,False,False,False,False,False,2
Saccharomyces cerevisiae,,False,False,True,1,1,1,0,not_assessable,False,True,False,True,False,True,False,1
Scarb1,20778,False,False,True,1,2,1,0,consistent:inactive,False,True,True,True,False,True,False,2
Smarca4,20586,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
St1a1,P17988,False,True,False,1,3,1,0,not_assessable,False,True,False,True,False,True,False,3
Staphylococcus aureus,,False,True,False,1,2,1,0,not_assessable,False,True,False,True,False,True,False,2
Sult1a1,83783,False,True,False,1,3,1,0,mixed,False,True,True,True,False,True,False,3
Synonyms=UGT2B8,P54855,True,False,False,1,1,1,0,not_assessable,False,True,False,True,False,True,False,1
TAAR1,134864,False,False,True,1,2,1,0,consistent:inactive,False,True,True,True,False,True,False,2
TARDBP,23435,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
TCF19,6941,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
TCF23,150921,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
TCF7,6932,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
TCP1,6950,False,False,True,1,1,1,0,consistent:affects;decreases,True,False,False,False,False,False,False,1
TDP2,51567,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
TEX19.1,73679,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
TFF1,7031,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,2
TFF2,7032,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
TGM1,7051,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
TGM2,7052,False,False,True,1,2,2,0,mixed,True,False,False,False,True,False,False,2
THRB,7068,True,False,True,2,6,2,0,mixed,True,True,True,True,False,True,False,10
THRSP,7069,False,False,True,1,1,1,0,consistent:decreases,True,False,False,False,False,False,False,1
TIM10,856395,False,False,True,1,2,1,0,consistent:inactive,False,True,True,True,False,True,False,2
TIM23,855751,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
TIMP1,7076,False,False,True,1,2,2,0,consistent:increases,True,False,False,False,False,False,False,2
TIMP3,7078,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
TINAGL1,64129,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
TK1,7083,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
TLR9,54106,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
TMEFF1,8577,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
TMEM221,100130519,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
TMEM242,729515,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
TMEM37,140738,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
TNC,3371,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,2
TNF,7124,False,False,True,2,3,2,0,mixed,True,True,True,True,False,True,False,3
TNFAIP6,7130,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
TNFRSF10B,8795,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
TNFRSF12A,51330,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
TNNC1,7134,False,False,True,1,2,1,0,consistent:inactive,False,True,True,True,False,True,False,2
TNNI3,7137,False,False,True,1,2,1,0,consistent:inactive,False,True,True,True,False,True,False,2
TNNT1,7138,False,False,True,1,1,1,0,consistent:decreases,True,False,False,False,False,False,False,1
TNNT2,7139,False,False,True,1,2,1,0,consistent:inactive,False,True,True,True,False,True,False,2
TOR2A,27433,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
TP53,7157,True,False,True,2,13,1,0,mixed,True,True,True,True,False,True,False,56
TPM1,7168,False,False,True,2,4,3,0,mixed,True,True,True,True,True,True,False,4
TRA,6955,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
TRAF7,84231,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
TRF,22041,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
TRHR,7201,True,False,True,1,6,1,0,consistent:inactive,False,True,True,True,False,True,False,18
TRIM23,373,False,False,True,1,1,1,0,consistent:affects,True,False,False,False,False,False,False,1
TRIM54,57159,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
TRMT2A,27037,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
TRP53,22059,False,False,True,1,1,1,0,consistent:affects,True,False,False,False,False,False,False,1
TRPA1,8989,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
TRPV1,7442,False,False,True,1,2,1,0,consistent:inactive,False,True,True,True,False,True,False,2
TSC22D1,8848,False,False,True,1,1,1,0,consistent:affects,True,False,False,False,False,False,False,1
TSG101,7251,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
TSHB,7252,False,False,True,1,1,1,0,consistent:affects;decreases,True,False,False,False,False,False,False,1
TSHR,7253,True,False,True,1,7,1,0,mixed,False,True,True,True,False,True,False,22
TTC39B,158219,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
TTR,7276,False,False,True,1,1,1,0,consistent:affects,True,False,False,False,True,False,False,1
TUBA1A,7846,False,False,True,1,2,2,0,mixed,True,False,False,False,True,False,False,2
TUBB,203068,False,False,True,1,1,1,0,consistent:affects,True,False,False,False,True,False,False,1
TUBB4A,10382,False,False,True,1,1,1,0,consistent:affects,True,False,False,False,False,False,False,1
TUBB6,84617,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
TXNRD1,7296,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
Tb10.70.6470,3662741,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
Tb927.3.3270,3656265,False,False,True,1,2,1,0,consistent:inactive,False,True,True,True,False,True,False,2
Thrb,24831,False,True,True,1,3,1,0,mixed,False,True,True,True,False,True,False,15
Trichophyton mentagrophytes,,False,False,True,1,1,1,0,not_assessable,False,True,False,True,False,True,False,1
Trichophyton rubrum,,False,False,True,1,1,1,0,not_assessable,False,True,False,True,False,True,False,1
Trxr1,O89049,False,False,True,1,1,1,0,not_assessable,False,True,False,True,False,True,False,1
Txnrd1,58819,False,False,True,1,2,1,0,consistent:inactive,False,True,True,True,False,True,False,2
UBD,10537,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
UBE2M,9040,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
UBE2N,7334,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
UBL4A,8266,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
UCHL1,7345,False,False,True,1,2,1,0,consistent:increases,True,False,False,False,False,False,False,2
UCHL5,51377,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
UGT1A1,54658,True,False,False,1,1,1,0,consistent:unspecified,False,True,True,True,False,True,False,1
UGT1A10,54575,True,False,False,1,1,1,0,consistent:unspecified,False,True,True,True,False,True,False,1
UGT1A4,54657,True,False,False,1,1,1,0,consistent:unspecified,False,True,True,True,False,True,False,1
UGT1A6,54578,True,False,False,1,1,1,0,consistent:unspecified,False,True,True,True,False,True,False,1
UGT1A7,54577,True,True,False,2,2,2,0,mixed,True,True,True,True,True,True,False,2
UGT1A9,54600,True,False,False,1,1,1,0,consistent:unspecified,False,True,True,True,False,True,False,1
UGT2B1,71773,False,True,False,1,1,1,0,consistent:increases,True,False,False,False,True,False,False,1
UGT2B15,7366,True,True,False,2,3,2,0,mixed,True,True,True,True,True,True,False,3
UHRF1,29128,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
UL50,3077439,False,True,False,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
UL53,3077575,False,True,False,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
USP1,7398,False,False,True,1,2,1,0,consistent:inactive,False,True,True,True,False,True,False,2
USP2,9099,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
Unchecked,,False,True,True,1,4,0,0,not_assessable,False,True,False,True,False,True,False,4
VAT1,10493,False,False,True,1,1,1,0,consistent:affects;decreases,True,False,False,False,False,False,False,1
VCL,7414,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
VCP,7415,False,False,True,1,1,1,0,consistent:affects,True,False,False,False,True,False,False,1
VDR,7421,True,False,True,1,7,1,0,consistent:inactive,False,True,True,True,False,True,False,22
VMA11,855842,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
WDR1,9948,False,False,True,1,1,1,0,consistent:decreases,True,False,False,False,False,False,False,1
WRN,7486,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
YAP1,10413,True,False,False,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
ZC3H3,23144,False,False,True,1,1,1,0,consistent:affects,True,False,False,False,False,False,False,1
ZFP35,22694,False,False,True,1,1,1,0,consistent:affects,True,False,False,False,False,False,False,1
ZFP414,328801,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
Zone of skin,,True,False,False,1,2,1,0,not_assessable,False,True,False,True,False,True,False,2
ced-3,P42573,False,False,True,1,1,1,0,not_assessable,False,True,False,True,False,True,False,1
daf-12,181263,False,False,True,1,3,1,0,consistent:inactive,False,True,True,True,False,True,False,3
env,155971,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
fba,886474,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
ffp,Q9F4F7,False,False,True,1,1,1,0,not_assessable,False,True,False,True,False,True,False,1
gld-1,172532,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
glf,886142,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
lon,945085,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
mazF,947252,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
norA,P0A0J7,False,True,False,1,1,1,0,not_assessable,False,True,False,True,False,True,False,1
radA,41713747,False,True,False,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
recB,947286,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
recC,947294,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
recD,947287,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
rep,P0DTD1,False,True,False,1,1,1,0,not_assessable,False,True,False,True,False,True,False,1
skn-1,177343,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
tsaE,948684,False,False,True,1,1,2,0,consistent:inactive,False,True,True,True,False,True,False,2
vif,155459,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
vpr,155807,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
