pathway,n_datasets,n_significant_datasets,median_NES,min_FDR,direction,strict_supported
REACTOME_ANTIMICROBIAL_PEPTIDES,2,0,0.3117723499339287,0.4886709478147649,up,False
REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION,2,0,0.6337569297316081,0.2309909945865432,up,False
REACTOME_APC_CDC20_MEDIATED_DEGRADATION_OF_NEK2A,2,0,-0.6771871660376912,0.1148832937728298,down,False
REACTOME_APC_C_CDC20_MEDIATED_DEGRADATION_OF_CYCLIN_B,2,0,-0.6853420675437565,0.0865214642189968,down,False
REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1,2,1,0.2327753260177628,6.402020244170903e-09,up,False
REACTOME_APC_C_MEDIATED_DEGRADATION_OF_CELL_CYCLE_PROTEINS,2,1,0.0034258064642763,7.9501447488254e-06,up,False
REACTOME_APOPTOSIS,2,1,-0.8207706616507658,0.0006151174356417,down,False
REACTOME_APOPTOSIS_INDUCED_DNA_FRAGMENTATION,2,0,-1.4288617455414976,0.3141296246146656,down,False
REACTOME_APOPTOTIC_CLEAVAGE_OF_CELLULAR_PROTEINS,2,0,0.1138641545406727,0.2561801931037148,up,False
REACTOME_APOPTOTIC_CLEAVAGE_OF_CELL_ADHESION_PROTEINS,2,0,-0.1564403836416568,0.4474385429209313,down,False
REACTOME_APOPTOTIC_EXECUTION_PHASE,2,0,-0.1369703810745189,0.3380371215963488,down,False
REACTOME_APOPTOTIC_FACTOR_MEDIATED_RESPONSE,2,0,0.2375851273101932,0.524549907516527,up,False
REACTOME_AQUAPORIN_MEDIATED_TRANSPORT,2,0,0.0154894104832453,0.2217315196720506,up,False
REACTOME_ARACHIDONATE_METABOLISM,2,0,1.4764328949977223,0.0905873142215585,up,False
REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION,2,1,0.0594437393411217,1.6946058293937005e-07,up,False
REACTOME_ASPARTATE_AND_ASPARAGINE_METABOLISM,2,0,-0.1245944222995466,0.1405747334914905,down,False
REACTOME_ASPIRIN_ADME,2,1,0.8727910840577988,0.0349358510204444,up,False
REACTOME_ASSEMBLY_AND_CELL_SURFACE_PRESENTATION_OF_NMDA_RECEPTORS,2,0,-0.4528429670639576,0.0741423414493345,down,False
REACTOME_ASSEMBLY_OF_ACTIVE_LPL_AND_LIPC_LIPASE_COMPLEXES,2,0,-0.2496540528915512,0.4676830282072469,down,False
REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES,2,1,-0.7364639139791126,0.0078539537984723,down,False
REACTOME_ASSEMBLY_OF_THE_HIV_VIRION,2,0,0.4346435719224039,0.0716856098373022,up,False
REACTOME_ASSEMBLY_OF_THE_ORC_COMPLEX_AT_THE_ORIGIN_OF_REPLICATION,2,0,-0.416515700145552,0.203544914926699,down,False
REACTOME_ASSOCIATION_OF_TRIC_CCT_WITH_TARGET_PROTEINS_DURING_BIOSYNTHESIS,2,1,0.2364901992748787,0.040095030242455,up,False
REACTOME_ASYMMETRIC_LOCALIZATION_OF_PCP_PROTEINS,2,1,1.086136824941909,5.462061784779652e-06,up,False
REACTOME_ATF4_ACTIVATES_GENES_IN_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS,2,0,-0.4248906526130039,0.2773723768659952,down,False
REACTOME_ATF6_ATF6_ALPHA_ACTIVATES_CHAPERONES,2,0,-0.620014589332338,0.1983361232281418,down,False
REACTOME_ATF6_ATF6_ALPHA_ACTIVATES_CHAPERONE_GENES,2,0,-1.5321109052174369,0.0671843885311231,down,False
REACTOME_ATP_DEPENDENT_CHROMATIN_REMODELERS,2,0,-0.3075371899674467,0.2211904306004735,down,False
REACTOME_ATTACHMENT_AND_ENTRY,2,0,-0.1676621006405078,0.2045716672490705,down,False
REACTOME_ATTACHMENT_OF_BACTERIA_TO_EPITHELIAL_CELLS,2,1,-0.6667023183986059,0.0008894641273994,down,False
REACTOME_ATTENUATION_PHASE,2,1,-0.2516529125494256,0.0074344222063308,down,False
REACTOME_AUF1_HNRNP_D0_BINDS_AND_DESTABILIZES_MRNA,2,1,1.4423539178636977,4.567889967770176e-10,up,False
REACTOME_AURKA_ACTIVATION_BY_TPX2,2,0,-0.6701297087288925,0.362919912183725,down,False
REACTOME_AUTOPHAGY,2,1,0.5234123931632708,4.955297439727733e-05,up,False
REACTOME_AZATHIOPRINE_ADME,2,0,0.6498878928875242,0.2625906840593821,up,False
REACTOME_BACTERIAL_INFECTION_PATHWAYS,2,0,-0.343597702503786,0.098015532746862,down,False
REACTOME_BASE_EXCISION_REPAIR,2,1,-0.6050600740298161,0.0256050290527237,down,False
REACTOME_BASE_EXCISION_REPAIR_AP_SITE_FORMATION,2,1,-0.4071043387411178,0.0038379314328234,down,False
REACTOME_BASIGIN_INTERACTIONS,2,0,-0.4427412433025577,0.1450177097486413,down,False
REACTOME_BBSOME_MEDIATED_CARGO_TARGETING_TO_CILIUM,2,1,0.6215694732477316,0.0479591378533032,up,False
REACTOME_BETA_CATENIN_INDEPENDENT_WNT_SIGNALING,2,0,0.9198251848351742,0.2138341949991325,up,False
REACTOME_BETA_CATENIN_PHOSPHORYLATION_CASCADE,2,0,0.5093170365520712,0.587979575850412,up,False
REACTOME_BETA_DEFENSINS,2,0,-0.1616314580364249,0.2482590691272667,down,False
REACTOME_BETA_OXIDATION_OF_VERY_LONG_CHAIN_FATTY_ACIDS,2,1,1.5143667224084287,1.5622806573242854e-05,up,False
REACTOME_BICARBONATE_TRANSPORTERS,2,1,-0.1502692465570585,0.0352872670114837,down,False
REACTOME_BILE_ACID_AND_BILE_SALT_METABOLISM,2,1,1.1816147487466713,0.0443621364481558,up,False
REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS,2,1,-0.96441915829792,0.0242438416721776,down,False
REACTOME_BIOLOGICAL_OXIDATIONS,2,2,1.7095015817903356,6.883904336588583e-05,up,True
REACTOME_BIOSYNTHESIS_OF_SPECIALIZED_PRORESOLVING_MEDIATORS_SPMS,2,0,1.3584206618874308,0.1683676405837625,up,False
REACTOME_BIOSYNTHESIS_OF_THE_N_GLYCAN_PRECURSOR_DOLICHOL_LIPID_LINKED_OLIGOSACCHARIDE_LLO_AND_TRANSFER_TO_A_NASCENT_PROTEIN,2,1,0.0354333647003493,0.0047713804168532,up,False
REACTOME_BIOTIN_TRANSPORT_AND_METABOLISM,2,0,-0.4129589876612994,0.3681070814458183,down,False
