database,DRUG_NAME,drug_key,n_trajectory_rows,n_trajectories_n20,n_trajectories_n30,max_crc_n,median_crc_n,any_trajectory_n20,any_trajectory_n30,three_trajectories_n20,three_trajectories_n30,all_four_trajectories_n20,primary_discovery_gate,SYNONYMS,TARGET,TARGET_PATHWAY,prism_name,prism_disease_area,prism_indication,prism_phase,prism_name_count_by_key,clinical_status,clinical_context,approved_nononcology_high_confidence,annotation_source
GDSC1,IOX2,IOX2,6,6,6,39,38.0,True,True,True,True,True,TierB_moderate_candidate,"IOX-2, IOX 2, AK176060",EGLN1,Other,,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
GDSC1,IPA-3,IPA3,6,6,6,31,30.0,True,True,True,True,True,none,IPA 3,PAK1,Cytoskeleton,,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
GDSC1,Idelalisib,IDELALISIB,6,6,6,38,37.0,True,True,True,True,True,TierA_strong_collateral,"CAL-101, Zydelig",PI3Kdelta,PI3K/MTOR signaling,idelalisib,hematologic malignancy,chronic lymphocytic leukemia (CLL),Launched,1.0,approved,approved_oncology,False,GDSC screened_compounds_rel_8.4 + normalized PRISM secondary metadata
GDSC1,Imatinib,IMATINIB,6,0,0,13,13.0,False,False,False,False,False,,"Gleevec, STI-571","ABL, KIT, PDGFR","Other, kinases",imatinib,"hematologic malignancy, oncology","chronic myeloid leukemia (CML), acute lymphoblastic leukemia (ALL), myelodysplastic diseases (MDS), aggressive systemic mastocytosis (ASM), hypereosinophilic syndrome (HES), chronic eosinophilic leukemia (CEL), dermatofibrosarcoma protuberans (DFSP), gastrointestinal stromal tumors (GIST)",Launched,1.0,approved,approved_oncology,False,GDSC screened_compounds_rel_8.4 + normalized PRISM secondary metadata
GDSC1,Ispinesib Mesylate,ISPINESIBMESYLATE,6,6,6,38,37.0,True,True,True,True,True,none,SB-715992,KSP,Mitosis,,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
GDSC1,JAK1_3715,JAK13715,6,6,6,39,38.0,True,True,True,True,True,none,SN1042605297,JAK1,"Other, kinases",,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
GDSC1,JAK3_7406,JAK37406,6,6,6,39,38.0,True,True,True,True,True,none,SN1014281280,JAK3,"Other, kinases",,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
GDSC1,JNJ38877605,JNJ38877605,6,6,6,38,37.0,True,True,True,True,True,none,,MET,RTK signaling,,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
GDSC1,JNK Inhibitor VIII,JNKINHIBITORVIII,6,6,6,37,36.0,True,True,True,True,True,none,,JNK,JNK and p38 signaling,,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
GDSC1,JNK-9L,JNK9L,6,6,6,31,30.0,True,True,True,True,True,none,"KIN001-204, JNK inhibitor 9l","JNK2, JNK3",JNK and p38 signaling,,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
GDSC1,JQ1,JQ1,6,6,6,39,38.0,True,True,True,True,True,TierB_moderate_candidate,"JQ-1, (+)-JQ-1","BRD2, BRD3, BRD4, BRDT",Chromatin other,JQ1-(+),,,Preclinical,1.0,preclinical,preclinical_or_unresolved,False,GDSC screened_compounds_rel_8.4 + normalized PRISM secondary metadata
GDSC1,JQ12,JQ12,6,6,6,31,30.0,True,True,True,True,True,none,,"HDAC1, HDAC2",Chromatin histone acetylation,,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
GDSC1,JW-7-24-1,JW7241,6,6,6,38,37.0,True,True,True,True,True,TierA_strong_collateral,,LCK,"Other, kinases",,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
GDSC1,JW-7-52-1,JW7521,6,0,0,13,13.0,False,False,False,False,False,,,MTOR,PI3K/MTOR signaling,,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
GDSC1,KIN001-042,KIN001042,6,6,6,38,37.0,True,True,True,True,True,TierB_moderate_candidate,,GSK3B,WNT signaling,,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
GDSC1,KIN001-236,KIN001236,6,6,6,38,37.0,True,True,True,True,True,TierB_moderate_candidate,,"HDAC6, HDAC10",Chromatin histone acetylation,,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
GDSC1,KIN001-244,KIN001244,6,6,6,38,37.0,True,True,True,True,True,none,PDK1 inhibitor 7,PDK1,"Other, kinases",,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
GDSC1,KIN001-260,KIN001260,6,6,6,38,37.0,True,True,True,True,True,TierB_moderate_candidate,"Bayer IKKb inhibitor, ACHP",CDC7,DNA replication,,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
GDSC1,KIN001-266,KIN001266,6,6,6,38,37.0,True,True,True,True,True,TierA_strong_collateral,,CDC7,DNA replication,,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
GDSC1,KIN001-270,KIN001270,6,6,6,38,37.0,True,True,True,True,True,TierB_moderate_candidate,"CDK9 inhibitor, CDK9-IN-1",CDK9,Other,,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
GDSC1,KU-55933,KU55933,6,6,6,38,37.0,True,True,True,True,True,none,KU55933,ATM,Genome integrity,,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
GDSC1,KU-60019,KU60019,6,6,6,38,37.0,True,True,True,True,True,none,,ATM,Genome integrity,,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
GDSC1,Kobe2602,KOBE2602,6,6,6,37,36.0,True,True,True,True,True,none,,RAS effector,RTK signaling,,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
GDSC1,LCL161,LCL161,6,6,6,37,36.0,True,True,True,True,True,TierB_moderate_candidate,,"XIAP, cIAP1, cIAP2",Apoptosis regulation,LCL-161,,,Phase 2,1.0,investigational,investigational_nononcology_or_unresolved,False,GDSC screened_compounds_rel_8.4 + normalized PRISM secondary metadata
GDSC1,LDN-193189,LDN193189,6,6,6,37,36.0,True,True,True,True,True,none,,BMP,Other,,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
GDSC1,LFM-A13,LFMA13,6,6,6,31,30.0,True,True,True,True,True,none,DDE-28,BTK,"Other, kinases",,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
GDSC1,LGK974,LGK974,6,6,6,36,35.0,True,True,True,True,True,none,,PORCN,WNT signaling,,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
GDSC1,LIMK1 inhibitor BMS4,LIMK1INHIBITORBMS4,6,6,6,38,37.0,True,True,True,True,True,none,,LIMK1,Cytoskeleton,,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
GDSC1,Lapatinib,LAPATINIB,6,0,0,13,13.0,False,False,False,False,False,,"Tykerb, Tyverb","EGFR, ERBB2",RTK signaling,lapatinib,oncology,breast cancer,Launched,1.0,approved,approved_oncology,False,GDSC screened_compounds_rel_8.4 + normalized PRISM secondary metadata
GDSC1,Lenalidomide,LENALIDOMIDE,6,6,6,38,37.0,True,True,True,True,True,none,"CDC-501, CC-5013, Revlimid",CRBN,Protein stability and degradation,lenalidomide,hematologic malignancy,"multiple myeloma, mantle cell lymphoma (MCL), myelodysplastic diseases (MDS)",Launched,1.0,approved,approved_oncology,False,GDSC screened_compounds_rel_8.4 + normalized PRISM secondary metadata
GDSC1,Lestaurtinib,LESTAURTINIB,6,6,6,38,37.0,True,True,True,True,True,none,"CEP-701, SP-924, SPM-924, A-154475, KT-555","FLT3, JAK2, NTRK1, NTRK2, NTRK3","Other, kinases",lestaurtinib,,,Phase 3,1.0,investigational,investigational_nononcology_or_unresolved,False,GDSC screened_compounds_rel_8.4 + normalized PRISM secondary metadata
GDSC1,Linifanib,LINIFANIB,6,6,6,38,37.0,True,True,True,True,True,TierB_moderate_candidate,"ABT-869, ABT 869","VEGFR1, VEGFR2, VEGFR3, CSF1R, FLT3, KIT",RTK signaling,linifanib,,,Phase 3,1.0,investigational,investigational_nononcology_or_unresolved,False,GDSC screened_compounds_rel_8.4 + normalized PRISM secondary metadata
GDSC1,Linsitinib,LINSITINIB,6,6,6,31,30.0,True,True,True,True,True,none,"OSI-906, ASP-7487",IGF1R,IGF1R signaling,linsitinib,,,Phase 3,1.0,investigational,investigational_nononcology_or_unresolved,False,GDSC screened_compounds_rel_8.4 + normalized PRISM secondary metadata
GDSC1,Luminespib,LUMINESPIB,6,6,6,31,30.0,True,True,True,True,True,none,"AUY922, VER-52296,NVP-AUY922,  AUY",HSP90,Protein stability and degradation,,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
GDSC1,MCT1_6447,MCT16447,6,6,6,39,38.0,True,True,True,True,True,none,SN0177231247,MCT1,Cell cycle,,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
GDSC1,MCT4_1422,MCT41422,6,6,6,38,37.0,True,True,True,True,True,none,SN1043999849,MCT4,Other,,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
GDSC1,MG-132,MG132,6,0,0,13,13.0,False,False,False,False,False,,"LLL cpd, MG 132, MG132","Proteasome, CAPN1",Protein stability and degradation,MG-132,,,Preclinical,1.0,preclinical,preclinical_or_unresolved,False,GDSC screened_compounds_rel_8.4 + normalized PRISM secondary metadata
GDSC1,MIM1,MIM1,6,6,6,36,35.0,True,True,True,True,True,none,,MCL-1,Apoptosis regulation,,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
GDSC1,MK-2206,MK2206,6,6,6,37,36.0,True,True,True,True,True,none,"MK 2206, MK2206","AKT1, AKT2",PI3K/MTOR signaling,MK-2206,,,Phase 2,1.0,investigational,investigational_nononcology_or_unresolved,False,GDSC screened_compounds_rel_8.4 + normalized PRISM secondary metadata
GDSC1,MPS-1-IN-1,MPS1IN1,6,6,6,38,37.0,True,True,True,True,True,none,,MPS1,Mitosis,,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
GDSC1,Masitinib,MASITINIB,6,6,6,38,37.0,True,True,True,True,True,TierA_strong_collateral,"AB1010, Masivet","KIT, PDGFRA, PDGFRB",RTK signaling,masitinib,dermatology,mastocytoma,Launched,1.0,approved,approved_indication_unresolved,False,GDSC screened_compounds_rel_8.4 + normalized PRISM secondary metadata
GDSC1,"MetAP2 Inhibitor, A832234",METAP2INHIBITORA832234,6,6,6,37,36.0,True,True,True,True,True,none,,MetAP2,Other,,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
GDSC1,Methotrexate,METHOTREXATE,6,6,6,38,37.0,True,True,True,True,True,none,"Abitrexate, Amethopterin, Rheumatrex, Trexall, Folex",Antimetabolite,DNA replication,methotrexate,"oncology, hematologic malignancy, dermatology, rheumatology","gestational choriocarcinoma, hydatidiform mole, acute lymphoblastic leukemia (ALL), psoriasis, rheumatoid arthritis",Launched,1.0,approved,approved_mixed_oncology_nononcology,False,GDSC screened_compounds_rel_8.4 + normalized PRISM secondary metadata
