module,tier,drug,n_pairs,n_datasets,n_trajectories,median_rho_state_vs_lnIC50,mean_rho_state_vs_lnIC50,fraction_negative_rho,min_pairwise_p,putative_target,pathway,drug_sensitivity_score,within_module_min_p_BH
COESSENTIALITY::50::biological process:response to wounding,T2_subtype,NSC319726,5,1,5,0.103366524419156,0.06083451872925557,0.2,0.23224698542311667,P53 Mut specific,p53 pathway,-0.020673304883831203,0.26236252858787246
COESSENTIALITY::50::biological process:response to wounding,T2_subtype,AS601245,5,1,5,0.1060483870967742,0.059354838709677414,0.2,0.19129442847272682,"JNK1, JNK2, JNK2",JNK and p38 signaling,-0.02120967741935484,0.22866357263949208
COESSENTIALITY::50::biological process:response to wounding,T2_subtype,Ibrutinib,5,1,5,0.10675422138836774,0.07834896810506567,0.2,0.3193366178437032,BTK,"Other, kinases",-0.021350844277673548,0.3398323427984751
COESSENTIALITY::50::biological process:response to wounding,T2_subtype,VE821,5,1,5,0.053579895685158835,0.03271692745376956,0.4,0.3404771748957349,ATR,Genome integrity,-0.021431958274063537,0.35788398342823674
COESSENTIALITY::50::biological process:response to wounding,T2_subtype,Phenformin,5,1,5,0.054163475216106795,-0.006324543166648414,0.4,0.09640807794548427,Biguanide agent,Other,-0.02166539008644272,0.1423958392643072
COESSENTIALITY::50::biological process:response to wounding,T2_subtype,ICL-SIRT078,5,1,5,0.05535190615835778,-0.001099706744868026,0.4,0.16953293152018675,SIR2,Other,-0.022140762463343112,0.20997572723223132
COESSENTIALITY::50::biological process:response to wounding,T2_subtype,Sapitinib,5,1,5,0.11106941838649158,0.08262664165103191,0.2,0.2911192417756505,"EGFR, ERBB2, ERBB3",EGFR signaling,-0.02221388367729832,0.31560307946551197
COESSENTIALITY::50::biological process:response to wounding,T2_subtype,Epothilone B,5,1,5,0.06048387096774194,0.07104838709677419,0.4,0.1273351173690164,Microtubule stabiliser,Mitosis,-0.024193548387096777,0.1731488103906731
COESSENTIALITY::50::biological process:response to wounding,T2_subtype,IPA-3,5,1,5,0.06129032258064517,-0.08080645161290326,0.4,0.00019096877224171425,PAK1,Cytoskeleton,-0.02451612903225807,0.005742308252431028
COESSENTIALITY::50::biological process:response to wounding,T2_subtype,Apitolisib,5,1,5,0.0613852719115877,0.07902396323448954,0.4,0.19391740476152178,"mTOR, PI3K",PI3K/MTOR signaling,-0.024554108764635083,0.2312611277202371
COESSENTIALITY::50::biological process:response to wounding,T2_subtype,LY2109761,5,1,5,0.06360225140712947,0.05816135084427769,0.4,0.20558334063551642,TGFB1,Other,-0.02544090056285179,0.24125533581428182
COESSENTIALITY::50::biological process:response to wounding,T2_subtype,BMS-754807,10,2,5,0.08887724686800219,0.08673825879077651,0.3,0.1030638550236387,"IGF1R, IR",RTK signaling,-0.026663174060400658,0.15007031581345692
COESSENTIALITY::50::biological process:response to wounding,T2_subtype,AZD8186,10,2,5,0.06892712550607287,-0.04773115220483642,0.4,0.009629740552354117,"PI3Kbeta, PI3Kdelta",PI3K/MTOR signaling,-0.02757085020242915,0.03772724013408909
COESSENTIALITY::50::biological process:response to wounding,T2_subtype,GSK343,5,1,5,0.07054409005628519,0.019549718574108824,0.4,0.16501291209424349,EZH2,Chromatin histone methylation,-0.028217636022514078,0.20636651293537991
COESSENTIALITY::50::biological process:response to wounding,T2_subtype,Ipatasertib,5,1,5,0.08020571178465914,0.06519312835102309,0.4,0.19531217655597025,"AKT1, AKT, AKT3",PI3K/MTOR signaling,-0.03208228471386366,0.23238532118002017
COESSENTIALITY::50::biological process:response to wounding,T2_subtype,UNC0379,5,1,5,0.08365508365508366,0.010141570141570138,0.4,0.29090096872166965,SETD8,Chromatin histone methylation,-0.03346203346203346,0.31560307946551197
COESSENTIALITY::50::biological process:response to wounding,T2_subtype,BEN,5,1,5,0.0951417004048583,0.031862348178137656,0.4,0.11062148317781692,,Unclassified,-0.03805668016194332,0.1566144203841809
COESSENTIALITY::50::biological process:response to wounding,T2_subtype,AZD3759,5,1,5,0.19919028340080971,0.1362753036437247,0.2,0.07600088141361279,EGFR,EGFR signaling,-0.039838056680161944,0.12207641577061554
COESSENTIALITY::50::biological process:response to wounding,T2_subtype,WYE-125132,5,1,5,0.09990152095415253,0.06247948353211512,0.4,0.18750104958129019,mTOR,PI3K/MTOR signaling,-0.03996060838166102,0.2255768503145747
COESSENTIALITY::50::biological process:response to wounding,T2_subtype,HG-5-88-01,5,1,5,0.10161290322580646,0.050161290322580654,0.4,0.32643476522725207,"TAK1, M4K2","Other, kinases",-0.040645161290322585,0.3452417064337604
COESSENTIALITY::50::biological process:response to wounding,T2_subtype,CAY10566,5,1,5,0.10407776197249882,0.0442863916548127,0.4,0.0947183709492799,Stearoyl-CoA desaturase,Other,-0.041631104788999534,0.1407087938379476
COESSENTIALITY::50::biological process:response to wounding,T2_subtype,I-CBP112,5,1,5,0.10622710622710621,0.052625152625152626,0.4,0.21256074097132036,"EP300, CBP",Chromatin histone acetylation,-0.042490842490842486,0.2455195974365363
COESSENTIALITY::50::biological process:response to wounding,T2_subtype,OSU-03012,5,1,5,0.10700778642936595,0.008676307007786438,0.4,0.060774172271622975,PDK1 (PDPK1),Metabolism,-0.04280311457174638,0.106081348190703
COESSENTIALITY::50::biological process:response to wounding,T2_subtype,5-Fluorouracil,10,2,5,0.10967429857031913,0.08279058657749286,0.4,0.04611410876533994,Antimetabolite (DNA & RNA),Other,-0.04386971942812765,0.08810007996486227
