module,collection,full_direction,full_consistency,full_median_nes,full_n_fdr_qval_025,trajectory_loo_GSE77932|HCT116_consistency,trajectory_loo_GSE77932|HCT116_direction,trajectory_loo_GSE77932|DLD1_consistency,trajectory_loo_GSE77932|DLD1_direction,trajectory_loo_GSE42387|HCT116_consistency,trajectory_loo_GSE42387|HCT116_direction,trajectory_loo_GSE42387|HT29_consistency,trajectory_loo_GSE42387|HT29_direction,trajectory_loo_GSE42387|LoVo_consistency,trajectory_loo_GSE42387|LoVo_direction,trajectory_loo_GSE119603|HCT116_consistency,trajectory_loo_GSE119603|HCT116_direction,trajectory_loo_min_consistency,trajectory_loo_all_same_direction,dataset_loo_GSE119603_n,dataset_loo_GSE119603_consistency,dataset_loo_GSE119603_direction,dataset_loo_GSE42387_n,dataset_loo_GSE42387_consistency,dataset_loo_GSE42387_direction,dataset_loo_GSE77932_n,dataset_loo_GSE77932_consistency,dataset_loo_GSE77932_direction,dataset_loo_min_consistency,dataset_loo_all_same_direction,robust_positive_or_negative
COESSENTIALITY::1051::,COESSENTIALITY,positive,0.5,0.021798915806145902,0,0.6,positive,0.6,negative,0.6,positive,0.6,negative,0.6,positive,0.6,negative,0.6,False,5,0.6,negative,3,0.6666666666666666,positive,4,0.5,positive,0.5,False,False
COESSENTIALITY::1052::biological process:endoplasmic reticulum unfolded protein response,COESSENTIALITY,positive,0.5,-0.17038141883505564,0,0.6,positive,0.6,positive,0.6,positive,0.6,negative,0.6,negative,0.6,negative,0.6,False,5,0.6,negative,3,0.6666666666666666,negative,4,0.75,positive,0.6,False,False
COESSENTIALITY::1053::biological process:ion transport,COESSENTIALITY,positive,0.5,0.01071803555973544,0,0.6,negative,0.6,positive,0.6,negative,0.6,positive,0.6,positive,0.6,negative,0.6,False,5,0.6,negative,3,0.6666666666666666,positive,4,0.5,positive,0.5,False,False
COESSENTIALITY::1054::biological process:response to organic substance,COESSENTIALITY,negative,0.6666666666666666,-0.7361926777517515,0,0.6,negative,0.6,negative,0.6,negative,0.8,negative,0.8,negative,0.6,negative,0.6,False,5,0.6,negative,3,1.0,negative,4,0.5,positive,0.5,False,False
COESSENTIALITY::1055::biological process:biomineral tissue development,COESSENTIALITY,positive,0.5,-0.0624833790420119,1,0.6,positive,0.6,negative,0.6,positive,0.6,negative,0.6,negative,0.6,positive,0.6,False,5,0.6,positive,3,0.6666666666666666,negative,4,0.5,positive,0.5,False,False
COESSENTIALITY::1056::,COESSENTIALITY,negative,0.6666666666666666,-1.3607524791593044,2,0.6,negative,0.6,negative,0.6,negative,0.8,negative,0.8,negative,0.6,negative,0.6,False,5,0.6,negative,3,1.0,negative,4,0.5,positive,0.5,False,False
"COESSENTIALITY::1057::biological process:nucleotide-excision repair, preincision complex assembly",COESSENTIALITY,negative,0.6666666666666666,-0.7799766654790079,1,0.6,negative,0.6,negative,0.6,negative,0.8,negative,0.8,negative,0.6,negative,0.6,False,5,0.6,negative,3,1.0,negative,4,0.5,positive,0.5,False,False
"COESSENTIALITY::1058::biological process:nucleotide-excision repair, preincision complex assembly",COESSENTIALITY,positive,0.5,-0.08314575562974869,0,0.6,positive,0.6,positive,0.6,negative,0.6,negative,0.6,negative,0.6,positive,0.6,False,5,0.6,positive,3,1.0,negative,4,0.75,positive,0.6,False,False
COESSENTIALITY::1059::biological process:transcription by RNA polymerase III,COESSENTIALITY,negative,0.6666666666666666,-1.174120144632094,1,0.6,negative,0.6,negative,0.6,negative,0.8,negative,0.8,negative,0.6,negative,0.6,False,5,0.6,negative,3,1.0,negative,4,0.5,positive,0.5,False,False
COESSENTIALITY::105::cellular component:anchored component of membrane,COESSENTIALITY,positive,0.6666666666666666,1.3046362156799172,3,0.6,positive,0.6,positive,0.6,positive,0.8,positive,0.8,positive,0.6,positive,0.6,False,5,0.6,positive,3,1.0,positive,4,0.5,positive,0.5,False,False
COESSENTIALITY::1060::biological process:transcription by RNA polymerase III,COESSENTIALITY,positive,0.5,0.030750651440719312,0,0.6,positive,0.6,negative,0.6,positive,0.6,negative,0.6,negative,0.6,positive,0.6,False,5,0.6,positive,3,0.6666666666666666,negative,4,0.5,positive,0.5,False,False
