platform,DRUG_NAME,drug_key,median_background_rho,global_empirical_q_value,n_backgrounds_available,n_positive_backgrounds,n_positive_nonHCT116_backgrounds,leave_HCT116_out_median_rho,n_models_direction_consistent_ge3of4,signature_robust_flag,strict_database_gate
GDSC1,Bleomycin (50 uM),BLEOMYCIN50UM,-0.0889840245103403,0.0471166040764449,4,1,1,-0.084412955465587,0,False,False
GDSC1,Bosutinib,BOSUTINIB,-0.1369132290184921,0.0002492038905651,4,1,1,-0.1244665718349928,0,False,False
GDSC1,"Brivanib, BMS-540215",BRIVANIBBMS540215,0.0915763942079731,0.0002492038905651,4,2,2,0.2543859649122806,0,True,False
GDSC1,Bryostatin 1,BRYOSTATIN1,-0.0026696329254727,0.0002492038905651,4,2,2,0.0113459399332591,0,False,False
GDSC1,C-75,C75,0.0110004741583688,0.0002492038905651,4,3,3,0.0165955429113323,6,True,True
GDSC1,"CAP-232, TT-232, TLN-232",CAP232TT232TLN232,0.0954413059676217,0.0002492038905651,4,4,3,0.1055341055341055,5,True,True
GDSC1,CAY10566,CAY10566,0.0321919664024927,0.0002492038905651,4,3,3,0.0617760617760617,1,False,False
GDSC1,CAY10603,CAY10603,0.0812816865448444,0.0002492038905651,4,3,3,0.0919867235656709,4,True,True
GDSC1,CCT-018159,CCT018159,-0.0191669402195718,0.0002492038905651,4,2,2,0.0578473210052157,3,True,False
GDSC1,CCT007093,CCT007093,0.2736842105263158,0.0002492038905651,4,3,3,0.3207207207207208,6,True,True
GDSC1,CCT245232,CCT245232,0.0416894627420943,0.0002492038905651,4,2,2,0.0981507823613086,5,True,False
GDSC1,CCT245467,CCT245467,0.0599992705255862,0.0002492038905651,4,2,2,0.1901375059269795,4,True,False
GDSC1,CD532,CD532,-0.0579658605974395,0.0002492038905651,4,2,2,0.0777619724988146,0,False,False
GDSC1,CHIR-99021,CHIR99021,0.1012692854798118,0.0439870646560343,4,3,3,0.1538461538461538,6,True,True
GDSC1,CI-1033,CI1033,-0.0724276908487434,0.0002492038905651,4,1,1,-0.0756282598387861,0,False,False
GDSC1,CI-1040,CI1040,-0.039714150240466,0.0002492038905651,4,1,1,-0.0312944523470839,0,False,False
GDSC1,CP466722,CP466722,-0.0464675201517306,0.0002492038905651,4,1,1,-0.0030820293978188,0,False,False
GDSC1,CP724714,CP724714,0.0912754860123281,0.0002492038905651,4,3,3,0.0948316737790422,5,True,True
GDSC1,CPI-613,CPI613,-0.0577863577863577,0.0002492038905651,4,2,2,0.0545688545688545,0,False,False
GDSC1,CRT0105446,CRT0105446,0.3798008534850639,0.0002492038905651,4,3,3,0.3857278330962541,6,True,True
GDSC1,CRT0105950,CRT0105950,0.0585585585585585,0.0002492038905651,4,3,3,0.0742057847321005,4,True,True
GDSC1,CRT0160829,CRT0160829,0.0687438450596345,0.0002492038905651,4,3,3,0.0817923186344238,6,True,True
GDSC1,CUDC-101,CUDC101,0.0485465222307327,0.0002492038905651,4,3,3,0.0886676149834044,3,True,False
GDSC1,CX-5461,CX5461,-0.023051391472444,0.0002492038905651,4,2,2,0.0934091986723565,3,True,False
GDSC1,Cabozantinib,CABOZANTINIB,0.0870171791224422,0.0002492038905651,4,3,3,0.1642958748221906,4,True,True
GDSC1,Capivasertib,CAPIVASERTIB,0.0043221359010832,0.0002492038905651,4,2,2,0.0256045519203413,1,False,False
GDSC1,Cetuximab,CETUXIMAB,0.0467532467532467,0.0002492038905651,4,2,2,0.1144385026737968,3,True,False
GDSC1,Cisplatin,CISPLATIN,0.0486814749972644,0.0608937036122187,4,3,3,0.0795491848123427,4,True,True
GDSC1,Cytarabine,CYTARABINE,0.1168427826322563,0.0002492038905651,4,3,3,0.1462033462033462,6,True,True
GDSC1,DMOG,DMOG,-0.0509872080088987,0.0002492038905651,4,1,1,-0.0701612903225806,1,False,False
GDSC1,Dabrafenib,DABRAFENIB,0.0573731626363205,0.0002492038905651,4,3,2,0.105737316263632,6,True,True
GDSC1,Dacinostat,DACINOSTAT,-0.0084538375973303,0.0002492038905651,4,2,2,0.0398220244716351,0,False,False
GDSC1,Dactolisib,DACTOLISIB,0.128615457562826,0.0002492038905651,4,3,3,0.1761498340445708,5,True,True
GDSC1,Daporinad,DAPORINAD,0.1175940646528881,0.0002492038905651,4,4,3,0.1377091377091377,4,True,True
GDSC1,Docetaxel,DOCETAXEL,0.1004942189152715,0.0002492038905651,4,3,3,0.172776014881278,4,True,True
GDSC1,Doramapimod,DORAMAPIMOD,0.2433344275449538,0.0002492038905651,4,3,3,0.3025130393551446,5,True,True
GDSC1,Doxorubicin,DOXORUBICIN,-0.0394381223328591,0.063994918058189,4,1,1,-0.0057993215887952,3,True,False
GDSC1,Dyrk1b_0191,DYRK1B0191,-0.0728744939271255,0.0523462874992569,4,1,1,-0.0867709815078236,1,False,False
GDSC1,EHT-1864,EHT1864,0.2546873941610783,0.0002492038905651,4,3,3,0.2795163584637268,6,True,True
GDSC1,ETP-45835,ETP45835,0.1308312360943939,0.0002492038905651,4,2,2,0.3191085822664769,2,True,False
GDSC1,Elesclomol,ELESCLOMOL,0.0529324871430134,0.0002492038905651,4,2,2,0.1592077907867381,0,True,False
GDSC1,Embelin,EMBELIN,0.0821259733036707,0.0002492038905651,4,3,3,0.1283648498331479,3,True,False
GDSC1,Enzastaurin,ENZASTAURIN,0.1005854032169821,0.0002492038905651,4,3,3,0.1392931392931393,3,True,False
GDSC1,EphB4_9721,EPHB49721,0.0552877776561987,0.0615655370554553,4,2,2,0.1382591093117409,0,True,False
GDSC1,Epothilone B,EPOTHILONEB,0.0434719132369299,0.0002492038905651,4,3,3,0.0478309232480533,1,False,False
GDSC1,Etoposide,ETOPOSIDE,0.0901279199110122,0.0002492038905651,4,3,3,0.1141268075639599,6,True,True
GDSC1,FEN1_3940,FEN13940,0.0121895174526753,0.0741618547456152,4,2,2,0.0785425101214574,0,True,False
GDSC1,FGFR_0939,FGFR0939,0.0033920560236349,0.0762699423861451,4,2,2,0.0686070686070686,4,True,False
GDSC1,FGFR_3831,FGFR3831,0.0667140825035561,0.0558781577017929,4,3,3,0.0961812014443593,5,True,True
GDSC1,FH535,FH535,0.021551724137931,0.0002492038905651,4,3,3,0.0241935483870967,2,True,False
GDSC1,FMK,FMK,0.2071885428253615,0.0002492038905651,4,3,3,0.2588709677419355,6,True,True
GDSC1,FR-180204,FR180204,0.1064941459678301,0.0002492038905651,4,3,3,0.1596454754349491,3,True,False
GDSC1,FS106,FS106,0.063354852828537,0.0002492038905651,4,2,2,0.2290184921763868,3,True,False
GDSC1,FS112,FS112,0.2242057847321005,0.0002492038905651,4,3,3,0.2864864864864865,6,True,True
GDSC1,FTI-277,FTI277,0.0084816462736373,0.0002492038905651,4,3,3,0.014516129032258,5,True,True
GDSC1,FTY-720,FTY720,0.0346203346203346,0.0002492038905651,4,3,2,0.0133848133848133,6,True,True
GDSC1,FY012,FY012,-0.0053725790567895,0.0762699423861451,4,2,2,0.0281212386475544,4,True,False
GDSC1,FY026,FY026,0.033794725899989,0.0663639424013931,4,3,2,0.0449392712550607,3,True,False
