gene,effect_size,logFC_low_minus_high,P,n_donor_group_pairs,direction,analysis_level,BH_FDR
SND1,0.31047071530605175,0.15501294850779695,0.008947360423917416,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.03234097986561816
XPNPEP1,-0.20817766913609237,-0.5118513972481573,0.008947360423917416,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.03234097986561816
IL1A,0.0,-0.6366365361656489,0.008967599455194583,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.03238346936658252
NFIC,0.1505975130154278,0.3944624252672325,0.009108481108181287,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.03286112702261623
PCDH7,-0.49819864689207805,-0.697433389151275,0.009171463756728953,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.03305710779927707
XIST,0.0,0.18203287678613095,0.00918142110309248,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.033061777689154706
BMF,-0.4597669589411133,-0.5638218884368137,0.009206650427370634,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.03312138047245401
CCDC60,0.4067300414960968,0.7420122417947115,0.009233309555352946,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.03313659800331252
AIFM1,-0.3196166607740718,-0.39886813275117977,0.009236924358272077,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.03313659800331252
SAMHD1,0.336741298002206,0.5127647872990513,0.009236924358272077,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.03313659800331252
FOXK2,-0.31798176834043757,-0.2713783170053626,0.009257805034452329,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.03314919494981664
TSPYL2,0.5825449584626377,0.5005750192057292,0.009257805034452329,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.03314919494981664
NDUFB5,-0.1278934883342222,-0.14044102029725158,0.009347643484943546,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.03340819773598269
PSME1,-0.10049689658034211,-0.08326672864689066,0.009347643484943546,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.03340819773598269
TNFAIP2,0.6078839952688737,0.6048149437880894,0.009594191207355557,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.03425727580774197
DNMT1,0.28536941888335265,0.3255246601016319,0.009656172245624926,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.03444636398275733
CFB,-0.2521839451187171,-0.6035233893675243,0.009673189332313327,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.03447484937576094
BTG1,-0.20871677917953857,-0.1690525498139129,0.009763392838067375,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.03460247953844306
EIF3D,0.14326508584428232,0.17494369776707117,0.009763392838067375,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.03460247953844306
GOT2,-0.35834002216905425,-0.5049142279179077,0.009763392838067375,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.03460247953844306
NDUFB6,-0.1963726396214982,-0.1041668282890252,0.009763392838067375,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.03460247953844306
P4HA2,-0.23410364252003113,-0.4060520952675309,0.009763392838067375,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.03460247953844306
PPIA,-0.11891190805830121,-0.138510563300183,0.009763392838067375,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.03460247953844306
PTAFR,0.0,-0.46196277088201115,0.009850910466175594,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.03488026460982582
CLEC16A,-0.23268169743573353,-0.5588102594806478,0.009979630698880596,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.035303290433389464
RRP9,0.5204356130807959,0.4706838310038121,0.01004855554067517,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.035514200461812154
ABI1,-0.15798507252495497,-0.24655662494886235,0.01019509580146405,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.035866065137500715
CYFIP1,-0.3002237280483886,-0.1952226256091185,0.01019509580146405,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.035866065137500715
DERA,-0.29172036351722763,-0.25641495033773065,0.01019509580146405,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.035866065137500715
KIF1B,-0.2932811596489029,-0.4438420920270256,0.01019509580146405,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.035866065137500715
RHOG,-0.26750782159266784,-0.28556172454012185,0.01019509580146405,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.035866065137500715
