dataset,DRUG_NAME,n_overlap,n_OXA_R_like,n_OXA_S_like,spearman_r,spearman_p,pearson_r,pearson_p,median_LN_IC50_R,median_LN_IC50_S,delta_R_minus_S,mannwhitney_p,collateral_sensitivity_direction,spearman_p_BH,pearson_p_BH,mannwhitney_p_BH
GDSC2,BPD-00008900,41,20,21,0.24703832752613247,0.11943631862898728,0.3752360201826797,0.015629755881423124,5.3682415,4.863407,0.5048345000000003,0.06987797408686225,no,0.13259868843707975,0.020053271696920234,0.11660618988727933
GDSC2,Bleomycin,45,23,22,0.6707509881422924,4.6172040403153204e-07,0.6924277775341248,1.3683671334355512e-07,3.530689,2.6323119999999998,0.8983770000000004,0.0003196074144909313,no,1.5404433296845032e-05,4.606252963482949e-06,0.004328710186056266
GDSC2,Bleomycin (50 uM),42,20,22,0.37022931691110933,0.015804307420447028,0.33143628210260156,0.03202120276499338,4.0390655,3.1721019999999998,0.8669635000000007,0.1946339510034002,no,0.024705584013572365,0.03820073312315,0.23989281123350964
GDSC2,Bortezomib,44,22,22,0.31994362226920364,0.03424522463311593,0.4760212859341335,0.0010905705309875889,-4.4371515,-4.8382735,0.401122,0.14886094830032753,no,0.04435571952479778,0.0022136954061837627,0.19189657790373976
GDSC2,Bosutinib,45,22,23,0.3628458498023715,0.014298495028847506,0.35338123780732184,0.01725444013993803,3.4208145,2.896073,0.5247415000000002,0.13106015098441565,no,0.02281100125050668,0.021727813509551594,0.17647703498891612
GDSC2,Bromosporine,45,23,22,0.40316205533596833,0.00603259935715828,0.43524742742085004,0.0028071760815400293,2.861214,2.6134199999999996,0.2477940000000003,0.11455371140183743,no,0.011804798742065123,0.004742558348937192,0.1606113891819576
GDSC2,Buparlisib,44,22,22,0.4840028188865398,0.0008723687989310501,0.5943388164135185,2.1026435492647652e-05,1.541368,0.8141130000000001,0.727255,0.01719685962986867,no,0.0027436772061595963,0.0001361712012857181,0.046312334844794835
GDSC2,CCT007093,44,21,23,0.35616631430584916,0.017647832722261978,0.5436832585500823,0.00013666047531232315,5.637806,5.290904,0.34690200000000004,0.21300813350255166,no,0.026816818438297533,0.00045890925043150487,0.25750316583419575
GDSC2,CDK9_5038,45,23,22,0.5194993412384716,0.00025524047288536455,0.4740282915091522,0.0010040563573911713,-0.304215,-2.032452,1.728237,0.0003486775726798748,no,0.001262280156814894,0.0021170800713984387,0.004328710186056266
GDSC2,CDK9_5576,45,23,22,0.6322793148880105,3.176914795376206e-06,0.5994869456374853,1.35184192909802e-05,0.980843,-0.454715,1.435558,0.00022452797354923052,no,5.0830636726019294e-05,9.192525117866536e-05,0.0035924475767876883
GDSC2,CPI-637,42,20,22,0.3293898387488859,0.03316235282216165,0.41536489540078825,0.006229796752553278,4.997539,4.20863,0.7889089999999994,0.09903044299021825,no,0.04357565201752642,0.00907586516787342,0.1458401722664199
GDSC2,CT7033-2,42,20,22,0.5553034600113443,0.00013503519022466627,0.680170431812928,7.239499094559593e-07,2.257301,1.135588,1.121713,0.016167969772808967,no,0.0007536859053743775,8.95065342600095e-06,0.04442108866872767
GDSC2,CZC24832,46,23,23,0.3766265803268578,0.00988356225319251,0.45404259005606246,0.0015271385812023414,5.900971,5.520618,0.3803530000000004,0.16634058119724848,no,0.017657884532372627,0.0028647013385312884,0.21044017714256552
GDSC2,Camptothecin,46,23,23,0.6735121800801727,2.907858900859129e-07,0.6639510464778835,4.900988329608731e-07,-1.280963,-2.833725,1.5527619999999998,0.00020498574269281114,no,1.5404433296845032e-05,8.471514595641697e-06,0.0035924475767876883
GDSC2,Cediranib,44,22,22,0.3795630725863283,0.011049104348192104,0.3336550901462307,0.02687299650323817,2.604645,1.8698755,0.7347695000000001,0.029914702133585026,no,0.01897573433591504,0.03263149575393206,0.07014481879599248
GDSC2,Cisplatin,42,20,22,0.6178591686249089,1.3036349627806014e-05,0.6807803080629239,7.01339658399386e-07,4.6563245,3.2488305000000004,1.4074939999999998,0.003931534297718872,no,0.00015416900429405375,8.95065342600095e-06,0.01701073220542581
GDSC2,Crizotinib,46,23,23,0.544495837187789,9.156833837295616e-05,0.537678353528654,0.00011647447391823698,2.394495,1.652213,0.7422820000000001,0.004002525224806073,no,0.0005534797341654239,0.0004061673962276982,0.01701073220542581
GDSC2,Cyclophosphamide,44,22,22,0.4011275546159267,0.006964401557757723,0.5797635647778312,3.719897636525247e-05,5.742539,5.5327905,0.2097484999999999,0.1423654066125068,no,0.013340262138803526,0.00019457926098747442,0.1870668675503818
GDSC2,Cytarabine,41,20,21,0.6736933797909409,1.3822461834065491e-06,0.702730458443266,3.0222823278758264e-07,3.6620179999999998,0.83869,2.8233279999999996,0.00011952472220414768,no,3.073456977356292e-05,7.4732799380202246e-06,0.0035924475767876883
GDSC2,Dabrafenib,45,22,23,0.2741765480895915,0.06836739894227571,0.3160174832358382,0.03444829713569092,5.083496,4.169607,0.9138890000000002,0.03989125366228944,no,0.07946979706110681,0.040214321119776526,0.08476891403236506
GDSC2,Dacarbazine,45,23,22,0.24071146245059288,0.11120006964345837,0.3717211883502465,0.011929489929294853,5.690643,5.5303675000000005,0.16027549999999913,0.35779011832806207,no,0.12498520224388708,0.015751559518292234,0.4004893505565139
GDSC2,Dactinomycin,46,23,23,0.7071847055195807,3.930568544652326e-08,0.7244298388206718,1.2614760502080768e-08,-2.2576835,-4.456722,2.1990385,2.2346816617992594e-05,no,3.5637154804847757e-06,1.7156074282829846e-06,0.002980903675785583
GDSC2,Dactolisib,44,22,22,0.47061310782241006,0.0012648357629082758,0.5927263492467315,2.2426866124927847e-05,-0.2107925,-1.704183,1.4933905,0.002189999434519952,no,0.0034751043182934447,0.00014186296711582265,0.012156731554886264
GDSC2,Daporinad,27,14,13,0.4023199023199023,0.03748578972701007,0.406553175141716,0.035341817599428386,-3.5463135,-4.256066,0.7097524999999996,0.04402679859151475,no,0.04786917749176873,0.04108108712412188,0.08886516879237708
GDSC2,Dasatinib,45,22,23,-0.07865612648221343,0.6075384541762933,-0.1433830945586973,0.3474001918514572,2.767061,2.634299,0.13276200000000005,0.8826682591529863,no,0.6189155787863362,0.3592884113444728,0.8892065425541195
GDSC2,Dihydrorotenone,45,23,22,0.09591567852437417,0.5308142080162168,0.13391701022695063,0.3804742084459629,0.574877,0.4768435,0.0980335,0.5175576703273834,no,0.5448357153977773,0.39200372991402244,0.5435354684519239
GDSC2,Dinaciclib,46,23,23,0.5792784458834412,2.4646653821377187e-05,0.5706379474821995,3.462456684137717e-05,-1.735333,-3.130665,1.395332,0.0016803153897231508,no,0.0002311686151522274,0.00019220167716029772,0.010854233764089527
GDSC2,Docetaxel,46,23,23,0.6244218316373727,3.5262949820979473e-06,0.6594411986744396,6.229054849736542e-07,-1.834727,-4.604445,2.769718,0.00077580834926157,no,5.328623528503565e-05,8.471514595641697e-06,0.007276547275832657
GDSC2,Doramapimod,45,22,23,0.47549407114624503,0.0009634728989354196,0.5749875110930293,3.608527179524698e-05,5.9127410000000005,5.225648,0.6870930000000008,0.009963134418656566,no,0.0029335465781009174,0.00019457926098747442,0.03411177939635223
GDSC2,EHT-1864,45,22,23,0.29183135704874835,0.05175694226827033,0.43128794501232814,0.003097485448128444,3.8878715,3.649664,0.23820750000000013,0.5780115014696079,no,0.06284771561147111,0.005137622105453251,0.6000730091592875
GDSC2,EPZ004777,46,23,23,0.5606537156953438,5.068598658316592e-05,0.6427183521610584,1.4648880113760491e-06,6.085763,5.501747,0.5840160000000001,0.0034790209063338537,no,0.0003829607875172536,1.6162739337969606e-05,0.01625690867458089
GDSC2,EPZ5676,46,23,23,0.4135060129509713,0.004284538843324863,0.559274482985617,5.337460980793141e-05,6.010026,5.752199,0.2578269999999998,0.11369957401633143,no,0.009127819479056666,0.00025030851496133353,0.1606113891819576
