dataset_id,donor_key,donor_id,group,compartment,n_cells,PPARA,PPARD,PPARG,NR1I2,NR1I3,NR1H2,NR1H3,RELA,STAT3
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C124,C124,normal,endothelial,234,14.0,18.0,18.0,0.0,0.0,204.0,19.0,92.0,325.0
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C124,C124,normal,epithelial,5704,1633.0,2616.0,4466.0,623.0,11.0,2719.0,247.0,1017.0,3594.0
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C124,C124,normal,fibroblast,146,5.0,3.0,4.0,0.0,0.0,62.0,14.0,10.0,110.0
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C124,C124,normal,myeloid,140,5.0,6.0,4.0,0.0,1.0,43.0,11.0,15.0,62.0
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C124,C124,tumor,endothelial,240,29.0,13.0,25.0,0.0,0.0,146.0,10.0,108.0,382.0
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C124,C124,tumor,epithelial,407,101.0,38.0,85.0,23.0,1.0,112.0,18.0,41.0,177.0
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C124,C124,tumor,fibroblast,105,10.0,8.0,3.0,0.0,1.0,58.0,13.0,25.0,138.0
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C124,C124,tumor,myeloid,2000,88.0,97.0,59.0,2.0,7.0,484.0,389.0,160.0,931.0
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C125,C125,normal,endothelial,270,23.0,10.0,30.0,1.0,0.0,130.0,19.0,54.0,254.0
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C125,C125,normal,epithelial,2335,473.0,346.0,1030.0,253.0,0.0,609.0,319.0,235.0,607.0
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C125,C125,normal,fibroblast,83,4.0,3.0,3.0,0.0,0.0,18.0,3.0,10.0,41.0
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C125,C125,normal,myeloid,126,1.0,5.0,3.0,0.0,0.0,14.0,16.0,6.0,32.0
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C125,C125,tumor,endothelial,129,16.0,11.0,31.0,0.0,0.0,88.0,10.0,71.0,172.0
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C125,C125,tumor,epithelial,220,57.0,57.0,101.0,23.0,1.0,63.0,19.0,35.0,137.0
