gene,background,observed_background_vulnerability_rho,empirical_p_value,n_permutations,n_trajectories_combined
ACR,HCT116,0.0424963924963925,0.6193806193806194,1000,3
ACRBP,HCT116,-0.1678932178932179,0.061938061938061936,1000,3
ACRV1,HCT116,0.104040404040404,0.27172827172827174,1000,3
ACSBG1,HCT116,-0.1093795093795093,0.21478521478521478,1000,3
ACSBG2,HCT116,-0.0873015873015873,0.34865134865134867,1000,3
ACSF2,HCT116,0.0375180375180375,0.6823176823176823,1000,3
ACSF3,HCT116,-0.1863636363636363,0.053946053946053944,1000,3
ACSL1,HCT116,-0.2293650793650793,0.011988011988011988,1000,3
ACSL3,HCT116,-0.0383838383838383,0.6873126873126874,1000,3
ACSL4,HCT116,0.06002886002886,0.5014985014985015,1000,3
ACSL5,HCT116,0.0721500721500721,0.4355644355644356,1000,3
ACSL6,HCT116,0.0446608946608946,0.6323676323676324,1000,3
ACSM1,HCT116,0.0563492063492063,0.5544455544455544,1000,3
ACSM2A,HCT116,0.1538239538239538,0.06893106893106893,1000,3
ACSM2B,HCT116,,0.000999000999000999,1000,3
ACSM3,HCT116,-0.1,0.26973026973026976,1000,3
ACSM4,HCT116,0.2168831168831168,0.027972027972027972,1000,3
ACSM5,HCT116,-0.1432178932178932,0.11388611388611389,1000,3
ACSM6,HCT116,-0.0624098124098124,0.4995004995004995,1000,3
ACSS1,HCT116,0.1289321789321789,0.15984015984015984,1000,3
ACSS2,HCT116,0.3108225108225108,0.000999000999000999,1000,3
ACSS3,HCT116,-0.2069264069264069,0.01898101898101898,1000,3
ACTA1,HCT116,-0.0867243867243867,0.34465534465534464,1000,3
ACTA2,HCT116,-0.2124098124098124,0.023976023976023976,1000,3
ACTB,HCT116,0.1836219336219336,0.04895104895104895,1000,3
ACTBL2,HCT116,-0.051010101010101,0.5564435564435565,1000,3
ACTC1,HCT116,-0.1216450216450216,0.1878121878121878,1000,3
ACTG1,HCT116,0.0199134199134199,0.8371628371628371,1000,3
ACTG2,HCT116,-0.1482683982683982,0.0969030969030969,1000,3
ACTL10,HCT116,-0.1318903318903319,0.13686313686313686,1000,3
ACTL6A,HCT116,-0.1247474747474747,0.16883116883116883,1000,3
ACTL6B,HCT116,-0.1766955266955266,0.059940059940059943,1000,3
ACTL7A,HCT116,0.0297258297258297,0.7672327672327672,1000,3
ACTL7B,HCT116,-0.0519480519480519,0.5744255744255744,1000,3
ACTL8,HCT116,-0.0425685425685425,0.6443556443556444,1000,3
ACTL9,HCT116,0.018037518037518,0.8541458541458542,1000,3
ACTMAP,HCT116,-0.1302308802308802,0.15084915084915085,1000,3
ACTN1,HCT116,0.009018759018759,0.9200799200799201,1000,3
ACTN2,HCT116,-0.1479076479076479,0.10789210789210789,1000,3
ACTN3,HCT116,,0.000999000999000999,1000,3
ACTN4,HCT116,-0.2201298701298701,0.013986013986013986,1000,3
ACTR10,HCT116,-0.0647907647907647,0.46353646353646355,1000,3
ACTR1A,HCT116,-0.0994227994227994,0.2827172827172827,1000,3
ACTR1B,HCT116,-0.0176767676767676,0.8541458541458542,1000,3
ACTR2,HCT116,0.1929292929292929,0.04395604395604396,1000,3
ACTR3,HCT116,0.2175324675324675,0.01998001998001998,1000,3
ACTR3B,HCT116,0.0897546897546897,0.3306693306693307,1000,3
ACTR3C,HCT116,,0.000999000999000999,1000,3
ACTR5,HCT116,-0.0336219336219336,0.7242757242757243,1000,3
ACTR6,HCT116,-0.1813852813852813,0.04995004995004995,1000,3
ACTR8,HCT116,-0.0811688311688311,0.3706293706293706,1000,3
ACTRT1,HCT116,-0.2685425685425685,0.002997002997002997,1000,3
ACTRT2,HCT116,-0.218037518037518,0.01998001998001998,1000,3
ACTRT3,HCT116,0.1415584415584415,0.13286713286713286,1000,3
ACVR1,HCT116,-0.170995670995671,0.057942057942057944,1000,3
ACVR1B,HCT116,0.1473304473304473,0.0969030969030969,1000,3
ACVR1C,HCT116,0.1636363636363636,0.059940059940059943,1000,3
ACVR2A,HCT116,-0.2295815295815295,0.00999000999000999,1000,3
ACVR2B,HCT116,0.1273448773448773,0.17282717282717283,1000,3
ACVRL1,HCT116,0.129076479076479,0.17782217782217782,1000,3
ACY1,HCT116,-0.179076479076479,0.04995004995004995,1000,3
ACY3,HCT116,0.2045454545454545,0.028971028971028972,1000,3
ACYP1,HCT116,-0.2232323232323232,0.012987012987012988,1000,3
ACYP2,HCT116,-0.076046176046176,0.3956043956043956,1000,3
ADA,HCT116,0.0504329004329004,0.5814185814185814,1000,3
ADA2,HCT116,0.0585858585858585,0.5164835164835165,1000,3
ADAD1,HCT116,0.1338383838383838,0.15384615384615385,1000,3
ADAD2,HCT116,0.0253968253968253,0.7672327672327672,1000,3
ADAL,HCT116,-0.1651515151515151,0.06593406593406594,1000,3
ADAM10,HCT116,-0.1937950937950938,0.03896103896103896,1000,3
ADAM11,HCT116,0.262987012987013,0.002997002997002997,1000,3
ADAM12,HCT116,0.1224386724386724,0.1878121878121878,1000,3
ADAM15,HCT116,-0.1049062049062049,0.24775224775224775,1000,3
ADAM17,HCT116,0.2566378066378066,0.005994005994005994,1000,3
ADAM18,HCT116,-0.1727272727272727,0.054945054945054944,1000,3
ADAM19,HCT116,0.0126262626262626,0.9050949050949051,1000,3
ADAM2,HCT116,-0.0738095238095238,0.3926073926073926,1000,3
ADAM20,HCT116,-0.1158008658008658,0.2097902097902098,1000,3
ADAM21,HCT116,-0.1318181818181818,0.14985014985014986,1000,3
ADAM22,HCT116,0.2046897546897547,0.029970029970029972,1000,3
ADAM23,HCT116,0.0511544011544011,0.5724275724275725,1000,3
ADAM28,HCT116,0.1523088023088023,0.08891108891108891,1000,3
ADAM29,HCT116,0.2739538239538239,0.003996003996003996,1000,3
ADAM30,HCT116,-0.2315295815295815,0.011988011988011988,1000,3
ADAM32,HCT116,-0.0384559884559884,0.6613386613386614,1000,3
ADAM33,HCT116,0.0321067821067821,0.7142857142857143,1000,3
ADAM7,HCT116,-0.017027417027417,0.8481518481518482,1000,3
ADAM8,HCT116,0.0955988455988456,0.2857142857142857,1000,3
ADAM9,HCT116,0.2136363636363636,0.015984015984015984,1000,3
ADAMDEC1,HCT116,0.188023088023088,0.03596403596403597,1000,3
ADAMTS1,HCT116,-0.354978354978355,0.000999000999000999,1000,3
ADAMTS10,HCT116,0.2325396825396825,0.008991008991008992,1000,3
ADAMTS12,HCT116,-0.0562770562770562,0.5194805194805194,1000,3
ADAMTS13,HCT116,0.3002164502164502,0.001998001998001998,1000,3
ADAMTS14,HCT116,-0.2132034632034632,0.022977022977022976,1000,3
ADAMTS15,HCT116,0.1772005772005772,0.056943056943056944,1000,3
ADAMTS16,HCT116,-0.1951659451659451,0.029970029970029972,1000,3
