DRUG_NAME,delta_R_minus_S_GDSC2,mannwhitney_p_BH_GDSC2,n_overlap_GDSC2,spearman_p_BH_GDSC2,spearman_r_GDSC2
LMB_AB1,0.6092225000000004,0.10260155452931508,45.0,0.0019852762070015836,0.4963109354413701
LMB_AB2,0.09741,0.20762973963273865,45.0,0.012148119148918318,0.40158102766798415
LMB_AB3,0.6010869999999997,0.018041681041061443,45.0,0.00021157542429067533,0.5884057971014491
LMP744,2.794002,0.0044963561501710205,45.0,0.0004933015165243887,0.5542819499341237
LY2109761,0.30942999999999987,0.12168313622159951,46.0,0.0016952719430428688,0.5008325624421831
Lapatinib,0.5443405000000001,0.07831801047783446,45.0,0.0016639501569966964,0.5075098814229249
Leflunomide,0.39200500000000016,0.08467525010807053,46.0,0.005968639746977174,0.43595436324390996
Lenalidomide,0.29156599999999955,0.4004893505565139,45.0,0.08104952512422052,0.27233201581027666
Lestaurtinib,0.7957985000000001,0.08886516879237708,45.0,0.028085357802527588,0.3487483530961792
Linsitinib,1.0628619999999995,0.028869765213078324,46.0,0.002390556074019323,0.4807277212457601
Luminespib,1.6522,0.0035924475767876883,46.0,0.0016768559796466417,0.5016959605303731
MG-132,0.125019,0.18693908171177825,46.0,0.08238694213209759,0.2679617637989516
MIM1,0.6563165000000009,0.32301216071498934,41.0,0.19465127081141806,0.21306620209059238
MIRA-1,0.8225264999999995,0.016210715287392655,45.0,0.00015416900429405375,0.6023715415019762
MK-1775,0.423122,0.08985305720667178,46.0,0.0018997488886896886,0.49466543324082635
MK-2206,0.6284130000000001,0.04525171513480272,46.0,0.0015914253642293624,0.5044094973789701
MK-8776,1.0176284999999998,0.225658420232988,41.0,0.03513961926610585,0.34843205574912894
ML323,0.5870139999999999,0.11736700033582427,46.0,0.014162461962460803,0.3889608387295714
MN-64,-0.16700099999999996,0.8766016470507922,46.0,0.17589169440940453,0.20949737897008944
Methotrexate,1.870076,0.10045762870582882,45.0,0.05402680469324641,0.3021080368906456
Mirin,0.8695559999999993,0.01701073220542581,46.0,0.0017810149197027868,0.49873573851372177
Mitoxantrone,1.999082,0.0035924475767876883,45.0,4.219192678497082e-05,0.6399209486166006
Motesanib,0.3504189999999996,0.11416779845463844,45.0,0.011239978564804494,0.4067193675889328
Mycophenolic acid,1.2282769999999998,0.004328710186056266,40.0,2.734205302655649e-05,0.6846153846153846
N-acetyl cysteine,0.36804399999999937,0.1347035235603008,42.0,0.030431374973693307,0.3556437889960295
