group,state,n_donors,spearman_rho,P,donor_consistency,direction,BH_FDR,state_association_interpretation
normal,Hypoxia,36,0.3523809523809524,0.03504758585147757,0.6111111111111112,positive,0.3014092383227071,state falls or tracks as PPAR/NR falls
normal,Inflammatory_response,36,0.1564993564993565,0.3620365324657855,0.3888888888888889,positive,0.7261905748805925,state falls or tracks as PPAR/NR falls
normal,TNF_NFkB,36,0.155984555984556,0.36363753485585343,0.4444444444444444,positive,0.7261905748805925,state falls or tracks as PPAR/NR falls
normal,IL6_JAK_STAT3,36,0.1341055341055341,0.43552725624848576,0.3888888888888889,positive,0.7261905748805925,state falls or tracks as PPAR/NR falls
normal,ROS,36,0.1541827541827542,0.36927426902855776,0.5555555555555556,positive,0.7261905748805925,state falls or tracks as PPAR/NR falls
normal,OXPHOS,36,0.09549549549549549,0.5795648079675021,0.5555555555555556,positive,0.8454833913509785,state falls or tracks as PPAR/NR falls
normal,Fatty_acid_metabolism,36,0.14285714285714285,0.40587856522945,0.6111111111111112,positive,0.7261905748805925,state falls or tracks as PPAR/NR falls
normal,Cholesterol_homeostasis,36,0.24169884169884173,0.15555840752499275,0.6111111111111112,positive,0.6255272898469126,state falls or tracks as PPAR/NR falls
normal,Apoptosis,36,0.14723294723294725,0.3914974224248126,0.4444444444444444,positive,0.7261905748805925,state falls or tracks as PPAR/NR falls
normal,p53,36,0.22625482625482626,0.1845409921991474,0.4444444444444444,positive,0.6255272898469126,state falls or tracks as PPAR/NR falls
normal,UPR,36,0.016473616473616476,0.9240290912893813,0.4444444444444444,positive,0.9797930769598763,state falls or tracks as PPAR/NR falls
normal,Glycolysis,36,0.1281853281853282,0.4562411717272464,0.5,positive,0.7266063105285776,state falls or tracks as PPAR/NR falls
normal,IFN_alpha,36,0.1966537966537967,0.25032947907968645,0.5555555555555556,positive,0.6833234713962457,state falls or tracks as PPAR/NR falls
normal,IFN_gamma,36,0.216988416988417,0.20366004785713435,0.5,positive,0.6255272898469126,state falls or tracks as PPAR/NR falls
normal,TGF_beta,36,0.22239382239382238,0.19234681419157404,0.5555555555555556,positive,0.6255272898469126,state falls or tracks as PPAR/NR falls
normal,WNT_beta_catenin,36,0.1827541827541828,0.2860423833751726,0.5,positive,0.6833234713962457,state falls or tracks as PPAR/NR falls
normal,intestinal_epithelial_differentiation,36,0.37168597168597167,0.025611277925915495,0.6666666666666666,positive,0.27532123770359157,state falls or tracks as PPAR/NR falls
normal,stemness,36,-0.09420849420849423,0.5847083834433184,0.5,negative,0.8454833913509785,state rises as PPAR/NR falls
normal,secretory_differentiation,36,-0.051994851994851994,0.7632902579093084,0.5,negative,0.9537823867156289,state rises as PPAR/NR falls
normal,enterocyte_differentiation,36,0.47567567567567565,0.0033664100501976293,0.6666666666666666,positive,0.04825187738616602,state falls or tracks as PPAR/NR falls
normal,goblet_program,36,-0.14594594594594595,0.3956961768333626,0.5,negative,0.7261905748805925,state rises as PPAR/NR falls
