donor_id,condition,state,cell_count,state_fraction,n_paired_donors,paired_median_delta,paired_wilcoxon_P,paired_BH_FDR,paired_direction
C134,tumor,enterocyte-like annotation,2.0,0.1111111111111111,36,-0.005797091556526385,0.37916652829153463,0.37916652829153463,down
C134,tumor,other epithelial annotation,1.0,0.05555555555555555,36,-0.078889006534182,9.082723408937454e-07,2.7248170226812363e-06,down
C134,tumor,secretory-like annotation,15.0,0.8333333333333334,36,0.10894747790148593,0.004354625125415623,0.006531937688123435,up
C135,normal,enterocyte-like annotation,165.0,0.4782608695652174,36,-0.005797091556526385,0.37916652829153463,0.37916652829153463,down
C135,normal,other epithelial annotation,43.0,0.1246376811594203,36,-0.078889006534182,9.082723408937454e-07,2.7248170226812363e-06,down
C135,normal,secretory-like annotation,137.0,0.39710144927536234,36,0.10894747790148593,0.004354625125415623,0.006531937688123435,up
C135,tumor,enterocyte-like annotation,23.0,0.46938775510204084,36,-0.005797091556526385,0.37916652829153463,0.37916652829153463,down
C135,tumor,other epithelial annotation,8.0,0.16326530612244897,36,-0.078889006534182,9.082723408937454e-07,2.7248170226812363e-06,down
C135,tumor,secretory-like annotation,18.0,0.3673469387755102,36,0.10894747790148593,0.004354625125415623,0.006531937688123435,up
C136,normal,enterocyte-like annotation,1143.0,0.7770224337185588,36,-0.005797091556526385,0.37916652829153463,0.37916652829153463,down
C136,normal,other epithelial annotation,165.0,0.11216859279401767,36,-0.078889006534182,9.082723408937454e-07,2.7248170226812363e-06,down
C136,normal,secretory-like annotation,163.0,0.11080897348742352,36,0.10894747790148593,0.004354625125415623,0.006531937688123435,up
C136,tumor,enterocyte-like annotation,13.0,0.5652173913043478,36,-0.005797091556526385,0.37916652829153463,0.37916652829153463,down
C136,tumor,other epithelial annotation,0.0,0.0,36,-0.078889006534182,9.082723408937454e-07,2.7248170226812363e-06,down
C136,tumor,secretory-like annotation,10.0,0.43478260869565216,36,0.10894747790148593,0.004354625125415623,0.006531937688123435,up
C137,normal,enterocyte-like annotation,244.0,0.6541554959785523,36,-0.005797091556526385,0.37916652829153463,0.37916652829153463,down
