gene,observed_global_T_median_vulnerability_rho,global_empirical_p_value,n_permutations,permutation_unit,self_line_exclusion,global_empirical_q_value
ABHD16B,-0.08199855699855696,0.2627372627372627,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.7679339677754891
ABHD17A,-0.09235209235209235,0.1838161838161838,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.6811577010492019
ABHD17B,0.09148629148629145,0.21678321678321677,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.7231204317476699
ABHD17C,0.16749639249639245,0.02097902097902098,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.21810376770917922
ABHD18,0.0005050505050505014,0.997002997002997,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9993872641842639
ABHD2,-0.07521645021645015,0.3086913086913087,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.8003927746652335
ABHD3,0.06078643578643575,0.38961038961038963,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.8481568007063759
ABHD4,0.00764790764790765,0.916083916083916,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9932443747563902
ABHD5,0.0934343434343434,0.17382617382617382,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.671106578161215
ABHD6,0.0756493506493506,0.2967032967032967,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.7949215978751234
ABHD8,0.01190476190476195,0.8731268731268731,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.989558097528355
ABI1,-0.09455266955266955,0.17582417582417584,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.6736030898889229
ABI2,-0.07976190476190474,0.2757242757242757,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.780487443432848
ABI3,0.0658730158730158,0.3866133866133866,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.8475348495555318
ABI3BP,-0.0501443001443001,0.47352647352647353,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.8883377836688792
ABITRAM,0.039682539682539694,0.5484515484515484,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9149789152502857
ABL1,-0.06100288600288595,0.4115884115884116,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.8606491014654281
ABL2,-0.0095238095238095,0.8981018981018981,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9912791655976734
ABLIM1,-0.0009018759018758968,0.99000999000999,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9986738634662935
ABLIM2,-0.025144300144300153,0.7222777222777222,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9617333067625465
ABLIM3,-0.0696608946608946,0.30569430569430567,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.7998184252972166
ABR,0.058080808080808045,0.3936063936063936,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.850331816479175
ABRA,-0.13881673881673878,0.04395604395604396,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.3507924356042054
ABRACL,0.12168109668109664,0.09490509490509491,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.5257839186947028
ABRAXAS1,-0.017460317460317502,0.7992007992007992,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9776255448471407
ABRAXAS2,-0.08051948051948046,0.2837162837162837,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.7852009934843068
ABT1,-0.08282828282828285,0.23276723276723277,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.740032076181016
ABTB1,0.03243145743145745,0.6583416583416584,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.94470321474672
ABTB2,-0.0424242424242424,0.5404595404595405,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.913088187206799
ABTB3,-0.05569985569985565,0.45754245754245754,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.8813928916289476
ACAA1,0.03365800865800865,0.6323676323676324,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9381721001671207
ACAA2,0.048015873015873,0.4955044955044955,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.8967394997496639
ACACA,-0.043867243867243895,0.5394605394605395,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9127771311257551
ACACB,-0.02658730158730155,0.7092907092907093,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9577164178525918
ACAD10,-0.00010822510822509901,1.0,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,1.0
ACAD11,0.0165945165945166,0.8131868131868132,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9805796444451907
ACAD8,0.1082251082251082,0.14785214785214784,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.6325300772064864
ACAD9,0.04155844155844155,0.5824175824175825,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9259139274655179
ACADL,-0.042027417027417,0.5664335664335665,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9221927357609256
ACADM,-0.024819624819624804,0.7522477522477522,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9689018293669456
ACADS,0.0894660894660894,0.18181818181818182,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.6805911766333931
ACADSB,0.09516594516594515,0.18181818181818182,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.6805911766333931
ACADVL,0.03059163059163055,0.6793206793206793,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9512346282523186
ACAN,0.01179653679653675,0.8801198801198801,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9896578137565315
ACAP1,0.0310966810966811,0.6823176823176823,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9522751692919442
ACAP2,-0.00725108225108225,0.9150849150849151,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9932443747563902
ACAP3,0.11930014430014425,0.0919080919080919,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.5172599753008663
ACAT1,0.05169552669552665,0.43656343656343655,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.8729003824731245
ACAT2,0.01652236652236655,0.8211788211788211,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9820235460414206
ACBD3,0.08896103896103891,0.21978021978021978,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.7251174585700525
ACBD4,0.14671717171717163,0.03396603396603397,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.30146081060421775
ACBD5,-0.0240981240981241,0.7162837162837162,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9602689961052976
ACBD6,-0.0476911976911977,0.5034965034965035,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.8996722673961121
ACBD7,-0.047474747474747454,0.5164835164835165,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9044346272792914
