cohort,Class,Side,cell_type,cell_type_source,n_cells,total_library_umi,total_umi,detected_cells,mean_cpm_per_cell,mean_log1p_cpm,gene_symbol,pseudobulk_cpm,log1p_pseudobulk_cpm,detection_rate,passes_min_cells
GSE200997,Normal,Right,T_NK,Marker-inferred from raw UMI,2931,10685882,361,316,33.30381357942273,0.6076392680317314,CEBPB,33.78289223107648,3.549125663349002,0.10781303309450699,True
GSE200997,Normal,Right,Unclassified,Marker-inferred from raw UMI,32,33161,3,2,90.54108996967759,0.45013625099913107,CEBPB,90.4677181025904,4.515986102408261,0.0625,False
GSE200997,Tumor,Left,B_Plasma,Marker-inferred from raw UMI,2907,15982915,371,301,32.134992104309504,0.5586219308920076,CEBPB,23.212286369538973,3.1868602055466,0.10354317165462676,True
GSE200997,Tumor,Left,Endothelial,Marker-inferred from raw UMI,199,631357,29,25,43.39426592806303,0.7112996283607015,CEBPB,45.932808221022334,3.8487169665207053,0.12562814070351758,True
GSE200997,Tumor,Left,Epithelial,Marker-inferred from raw UMI,2603,8637298,847,590,147.60528856922448,1.3710434690541957,CEBPB,98.06307481807389,4.595756766634691,0.2266615443718786,True
GSE200997,Tumor,Left,Fibroblast,Marker-inferred from raw UMI,312,923183,131,77,151.8619830101439,1.5175666075117915,CEBPB,141.90035995030237,4.962147603829097,0.2467948717948718,True
GSE200997,Tumor,Left,Mast,Marker-inferred from raw UMI,107,332678,26,17,64.2093824701144,0.9087038048469841,CEBPB,78.15365007604952,4.371390901196115,0.1588785046728972,True
GSE200997,Tumor,Left,Myeloid,Marker-inferred from raw UMI,498,2567211,482,217,218.69309449398762,2.5493389423805226,CEBPB,187.75238965554448,5.2404360484757175,0.4357429718875502,True
GSE200997,Tumor,Left,Neutrophil,Marker-inferred from raw UMI,38,75184,29,17,516.5204367971718,2.9684804072985354,CEBPB,385.72036603532666,5.957701863467258,0.4473684210526316,False
GSE200997,Tumor,Left,T_NK,Marker-inferred from raw UMI,9651,35504428,1941,1563,56.276374644225264,0.915696420186914,CEBPB,54.669237313159925,4.019427701960737,0.16195212931302455,True
GSE200997,Tumor,Left,Unclassified,Marker-inferred from raw UMI,133,109932,19,15,145.6622887448639,0.7968928049068966,CEBPB,172.8341156351199,5.158101486060501,0.11278195488721804,True
GSE200997,Tumor,Right,B_Plasma,Marker-inferred from raw UMI,3451,21927673,375,324,23.297063576234947,0.4735832005307678,CEBPB,17.10167786613746,2.89600463376202,0.09388583019414662,True
GSE200997,Tumor,Right,Endothelial,Marker-inferred from raw UMI,212,664742,17,17,24.87131690371129,0.4355901999781997,CEBPB,25.573831651979265,3.279926959083921,0.08018867924528301,True
GSE200997,Tumor,Right,Epithelial,Marker-inferred from raw UMI,4553,19465363,746,587,43.6286761578463,0.6898026717360152,CEBPB,38.32448436743769,3.671847336777963,0.1289259828684384,True
GSE200997,Tumor,Right,Fibroblast,Marker-inferred from raw UMI,295,1181508,199,94,130.38375541954707,1.8461675475184447,CEBPB,168.42882147222025,5.132432906306953,0.31864406779661014,True
GSE200997,Tumor,Right,Mast,Marker-inferred from raw UMI,49,80788,11,7,124.97121107687046,0.9508759456145633,CEBPB,136.15883547061443,4.921139637259861,0.14285714285714285,False
GSE200997,Tumor,Right,Myeloid,Marker-inferred from raw UMI,319,1376442,261,103,189.23223085781328,1.9394745862023681,CEBPB,189.61932286285946,5.25027836521516,0.322884012539185,True
GSE200997,Tumor,Right,Neutrophil,Marker-inferred from raw UMI,21,36358,12,6,213.32940315680025,1.8397613562835142,CEBPB,330.0511579294791,5.802272919112749,0.2857142857142857,False
GSE200997,Tumor,Right,T_NK,Marker-inferred from raw UMI,6143,15416627,683,609,45.500550690611625,0.5897152357552894,CEBPB,44.30281669265268,3.813369209201731,0.09913722936675891,True
GSE200997,Tumor,Right,Unclassified,Marker-inferred from raw UMI,82,66639,8,8,110.76269940163859,0.6817132119046808,CEBPB,120.04982067558036,4.796202201975126,0.0975609756097561,True
GSE132465,Normal,Left,B cells,GEO curated,2830,33493657,33,32,1.4088832752241562,0.049347455995930226,CD36,0.9852611794525752,0.6857504820341344,0.011307420494699646,True
GSE132465,Normal,Left,Epithelial cells,GEO curated,654,5998630,5,5,0.6636700545603397,0.03234278283756761,CD36,0.833523654567793,0.6062396097646987,0.00764525993883792,True
GSE132465,Normal,Left,Mast cells,GEO curated,143,296135,1,1,5.191541939871562,0.04623231800813467,CD36,3.376838266331234,1.4763266067221386,0.006993006993006993,True
GSE132465,Normal,Left,Myeloids,GEO curated,223,1556500,173,90,122.98446445091948,2.218378697878607,CD36,111.14680372630903,4.719808760571757,0.40358744394618834,True
GSE132465,Normal,Left,Stromal cells,GEO curated,1513,9787348,1865,255,163.2290595745512,1.0994282967069173,CD36,190.5521291365138,5.255159986389054,0.16853932584269662,True
GSE132465,Normal,Left,T cells,GEO curated,2950,8811445,5,5,0.5441155998729322,0.009713197885557669,CD36,0.5674438188061095,0.4494461516106055,0.001694915254237288,True
GSE132465,Normal,Right,B cells,GEO curated,2378,27078585,29,29,1.3856377684042365,0.05346858858156823,CD36,1.0709569942447141,0.7280108165023828,0.012195121951219513,True
GSE132465,Normal,Right,Epithelial cells,GEO curated,416,4431420,12,11,4.692928754387357,0.11786612024052946,CD36,2.7079356052913064,1.310475281126518,0.026442307692307692,True
GSE132465,Normal,Right,Mast cells,GEO curated,41,102054,0,0,0.0,0.0,CD36,0.0,0.0,0.0,False
GSE132465,Normal,Right,Myeloids,GEO curated,146,993940,91,42,92.99311955520301,1.5669454041010165,CD36,91.55482222266937,4.527801141634798,0.2876712328767123,True
GSE132465,Normal,Right,Stromal cells,GEO curated,1684,12313721,2787,349,198.24542383207077,1.3560268279349277,CD36,226.33288507998518,5.426415397384487,0.20724465558194774,True
GSE132465,Normal,Right,T cells,GEO curated,3426,11386897,17,17,2.125226993511335,0.029679363876839112,CD36,1.49294403910038,0.9134643570774367,0.0049620548744892,True
GSE132465,Tumor,Left,B cells,GEO curated,1747,13923318,4,4,0.4929447538361093,0.011537212523327433,CD36,0.2872878433143594,0.25253755808596695,0.0022896393817973667,True
GSE132465,Tumor,Left,Epithelial cells,GEO curated,10331,228679326,16,16,0.0988054581225308,0.00582980364339914,CD36,0.06996697200340708,0.06762778071087487,0.0015487368115380893,True
GSE132465,Tumor,Left,Myeloids,GEO curated,3440,18853185,1006,611,54.245584466628436,0.9700489906702177,CD36,53.35968431859126,3.995622782028981,0.17761627906976743,True
GSE132465,Tumor,Left,Stromal cells,GEO curated,1321,14182949,312,81,21.169218524928798,0.33391486048978664,CD36,21.99824592191652,3.1354179487563836,0.061317183951551855,True
GSE132465,Tumor,Left,T cells,GEO curated,9113,23259932,9,9,0.3496951842507381,0.005748418232269827,CD36,0.3869314837205887,0.3270937412088434,0.0009876001316800175,True
GSE132465,Tumor,Right,B cells,GEO curated,2191,22782062,6,6,0.29827524203430733,0.011500563864064053,CD36,0.26336509838310507,0.23377887394899372,0.0027384755819260614,True
GSE132465,Tumor,Right,Epithelial cells,GEO curated,7138,128694542,35,28,0.8107142720170704,0.015997664484565882,CD36,0.27196180549754784,0.24056043734253796,0.003922667413841412,True
GSE132465,Tumor,Right,Mast cells,GEO curated,3,11009,0,0,0.0,0.0,CD36,0.0,0.0,0.0,False
GSE132465,Tumor,Right,Myeloids,GEO curated,2960,18549616,935,547,48.61528292907007,0.9829751875850227,CD36,50.40535610009393,3.9397423713142135,0.1847972972972973,True
GSE132465,Tumor,Right,Stromal cells,GEO curated,1415,16820445,497,96,30.796584547183237,0.37530530461937595,CD36,29.547375232938247,3.4192787648377556,0.06784452296819787,True
GSE132465,Tumor,Right,T cells,GEO curated,7626,20662659,9,9,0.372073420678866,0.006710913284401352,CD36,0.43556833609846635,0.3615608238335751,0.0011801730920535012,True
GSE188711,Tumor,Left,B_Plasma,Marker-inferred from 10X UMI,3578,33740604,20,15,0.8631086065189398,0.02159005920919047,CD36,0.5927576163129741,0.4654668638664549,0.004192286193404136,True
GSE188711,Tumor,Left,Endothelial,Marker-inferred from 10X UMI,352,2235849,100,22,66.3240651407104,0.3905212520009895,CD36,44.72573952892168,3.8226613675506615,0.0625,True
