test_id,biomarker,exposure_axis,ranking_method,destination_sex,outcome_id,outcome_name,organ_system_id,organ_system_name,sex_beta,sex_se,sex_z,beta_interaction,p_interaction,bh_q_interaction_fixed406,interaction_direction_supports_destination,primary_interaction_sign,creatinine_beta,creatinine_direction_agrees,loco_successful_n,loco_min_beta,loco_max_beta,loco_sign_reversals,winsor_beta,tail_delete_beta,lod_beta,cycle_heterogeneity_p,cycle_heterogeneity_status
NHANES_URXP04,URXP04,PAH exposure axis,effect,male,emphysema,Emphysema,respiratory,Respiratory,0.1452478914962393,0.0869662365507489,1.6701641609095077,-0.0198260268984663,0.8276516804213014,0.9573168049977776,True,-1.0,-0.0198260268984659,True,9,-0.0791815340735608,0.0426703819087814,3,-0.0201306413018878,0.0022371596165618,-0.0194050097021854,0.0139066915804082,ok
NHANES_URXP04,URXP04,PAH exposure axis,effect,female,emphysema,Emphysema,respiratory,Respiratory,0.1998408890454232,0.0963065931466553,2.0750488883051474,-0.0198260268984663,0.8276516804213014,0.9573168049977776,False,-1.0,-0.0198260268984659,True,9,-0.0791815340735608,0.0426703819087814,3,-0.0201306413018878,0.0022371596165618,-0.0194050097021854,0.0139066915804082,ok
NHANES_URXP04,URXP04,PAH exposure axis,z,male,obesity,Obesity,metabolic,Metabolic,0.1254067469851771,0.0256650233277781,4.886290005801213,0.0810594349802611,0.005759670984314,0.1062921099832501,False,1.0,0.0810594349802611,True,9,0.0706326871531258,0.0924986074024806,0,0.081479654625298,0.0734042787888556,0.0814673027081137,0.2520083784282226,ok
NHANES_URXP04,URXP04,PAH exposure axis,z,female,obesity,Obesity,metabolic,Metabolic,0.1648874066457274,0.0248203686672376,6.643229552966936,0.0810594349802611,0.005759670984314,0.1062921099832501,True,1.0,0.0810594349802611,True,9,0.0706326871531258,0.0924986074024806,0,0.081479654625298,0.0734042787888556,0.0814673027081137,0.2520083784282226,ok
NHANES_URXP10,URXP10,PAH exposure axis,effect,male,stroke,Stroke,cardiovascular,Cardiovascular,-0.1317525644394723,0.0521381407298893,-2.526990080487131,0.1729534105817782,0.0237459363892132,0.2472012865133476,False,1.0,0.1729534105817783,True,9,0.1277328277110503,0.1966461314449965,0,0.1728672382128752,0.1623774465689977,0.1789197717845227,0.3914778591063824,ok
NHANES_URXP10,URXP10,PAH exposure axis,effect,female,coronary_heart_disease,Coronary heart disease,cardiovascular,Cardiovascular,0.1877711003501325,0.0731982298797108,2.5652409991157343,0.2215730541468608,0.0038279507343944,0.0869521479075525,True,1.0,0.2215730541468608,True,9,0.1626439689779682,0.2815893122124911,0,0.2264669768527297,0.2416106833922929,0.1926902304716155,0.1204704567293236,ok
NHANES_URXP10,URXP10,PAH exposure axis,z,male,obesity,Obesity,metabolic,Metabolic,0.0750635260195937,0.0254903251184543,2.944784959421712,0.0952353487521947,0.0020503827410162,0.0554970261901733,False,1.0,0.0952353487521947,True,9,0.0802734371205178,0.1279769318624297,0,0.0953303026640492,0.0931343321413764,0.0860018447208016,0.309838221690561,ok
NHANES_URXP10,URXP10,PAH exposure axis,z,female,obesity,Obesity,metabolic,Metabolic,0.1436057238573972,0.0263578765396155,5.448303987673662,0.0952353487521947,0.0020503827410162,0.0554970261901733,True,1.0,0.0952353487521947,True,9,0.0802734371205178,0.1279769318624297,0,0.0953303026640492,0.0931343321413764,0.0860018447208016,0.309838221690561,ok
NHANES_URXP25,URXP25,PAH exposure axis,effect,male,obesity,Obesity,metabolic,Metabolic,0.1261917943148894,0.0554642643833778,2.2751909850030945,0.2016108110264487,0.0013499002990006,0.0421584247226351,False,1.0,0.2016108110264486,True,3,0.193464502286474,0.2098092329990167,0,0.203076660264148,0.2081738175503341,0.192831961933126,0.6745363441718504,ok
NHANES_URXP25,URXP25,PAH exposure axis,effect,female,myocardial_infarction,Myocardial infarction,cardiovascular,Cardiovascular,0.2988902689416287,0.1029538046919468,2.903149328341513,0.4730004293065423,0.0076888449326824,0.1156174460247801,True,1.0,0.473000429306543,True,3,0.3250684809723571,0.6196721164930667,0,0.4959154175858571,0.4571336150702387,0.5499440759096796,0.2219188444612747,ok
