disease_id,test_id,variable,cycle,exposure_rows,exposure_nonmissing,outcome_rows,merge_rows,complete_case_rows,complete_case_cases
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXUCS,URXUCS,2011-2012,2594,2503,5560,1775,1529,542
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXUCS,URXUCS,2013-2014,2755,2664,5769,1858,1668,600
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXUCS,URXUCS,2015-2016,3279,3061,5719,1861,1593,555
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXUCS,URXUCS,2017-2018,2979,2808,5569,1757,1449,575
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXUMO,URXUMO,1999-2000,2547,2257,4880,1448,1079,312
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXUMO,URXUMO,2001-2002,2804,2690,5411,1621,1367,411
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXUMO,URXUMO,2003-2004,2673,2558,5041,1611,1425,524
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXUMO,URXUMO,2005-2006,2692,2576,4979,1593,1429,423
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXUMO,URXUMO,2007-2008,2720,2627,5935,1920,1668,586
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXUMO,URXUMO,2009-2010,2941,2848,6218,2073,1811,623
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXUMO,URXUMO,2011-2012,2594,2504,5560,1775,1530,542
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXUMO,URXUMO,2013-2014,2755,2664,5769,1858,1668,600
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXUMO,URXUMO,2015-2016,3279,3060,5719,1861,1592,555
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXUMO,URXUMO,2017-2018,2979,2808,5569,1757,1449,575
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXUPB,URXUPB,1999-2000,2547,2465,4880,1448,1171,344
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXUPB,URXUPB,2001-2002,2804,2690,5411,1621,1367,411
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXUPB,URXUPB,2003-2004,2673,2558,5041,1611,1425,524
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXUPB,URXUPB,2005-2006,2692,2576,4979,1593,1429,423
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXUPB,URXUPB,2007-2008,2720,2627,5935,1920,1668,586
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXUPB,URXUPB,2009-2010,2941,2848,6218,2073,1811,623
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXUPB,URXUPB,2011-2012,2594,2504,5560,1775,1530,542
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXUPB,URXUPB,2013-2014,2755,2664,5769,1858,1668,600
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXUPB,URXUPB,2015-2016,3279,3061,5719,1861,1593,555
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXUPB,URXUPB,2017-2018,2979,2405,5569,1757,1449,575
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXUSB,URXUSB,1999-2000,2547,2276,4880,1448,1079,316
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXUSB,URXUSB,2001-2002,2804,2690,5411,1621,1367,411
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXUSB,URXUSB,2003-2004,2673,2558,5041,1611,1425,524
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXUSB,URXUSB,2005-2006,2692,2576,4979,1593,1429,423
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXUSB,URXUSB,2007-2008,2720,2627,5935,1920,1668,586
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXUSB,URXUSB,2009-2010,2941,2847,6218,2073,1811,623
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXUSB,URXUSB,2011-2012,2594,2504,5560,1775,1530,542
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXUSB,URXUSB,2013-2014,2755,2664,5769,1858,1668,600
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXUSB,URXUSB,2015-2016,3279,3061,5719,1861,1593,555
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXUSB,URXUSB,2017-2018,2979,2808,5569,1757,1449,575
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXUSN,URXUSN,2011-2012,2594,2504,5560,1775,1530,542
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXUSN,URXUSN,2013-2014,2755,2664,5769,1858,1668,600
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXUSN,URXUSN,2015-2016,3279,3060,5719,1861,1592,555
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXUSN,URXUSN,2017-2018,2979,2808,5569,1757,1449,575
