cluster_id,theme_label,term_id,source,term_name,global_fdr,intersection_size,term_theme_id,term_theme_label,intersection_genes
theme_24,Lipid / fatty-acid / eicosanoid metabolism,GO:0120254,GO:BP,olefinic compound metabolic process,0.020329567669730736,4,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,CYP1A2;CYP3A4;PTGS1;PTGS2
theme_25,Lipid / fatty-acid / eicosanoid metabolism,GO:0010883,GO:BP,regulation of lipid storage,0.020329567669730736,4,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,CRP;PPARD;PPARG;SIRT1
theme_25,Lipid / fatty-acid / eicosanoid metabolism,GO:0019915,GO:BP,lipid storage,0.020329567669730736,4,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,CRP;PPARD;PPARG;SIRT1
theme_25,Lipid / fatty-acid / eicosanoid metabolism,GO:0170062,GO:BP,nutrient storage,0.020329567669730736,4,general_metabolism,General metabolism / biosynthesis / storage,CRP;PPARD;PPARG;SIRT1
theme_26,Chemical / oxygen / abiotic stress response,GO:0001666,GO:BP,response to hypoxia,0.020329567669730736,7,chemical_oxygen_stress,Chemical / oxygen / abiotic stress response,BECN1;CXCR4;MMP2;PPARD;PPARG;PTGS2;SIRT1
theme_26,Chemical / oxygen / abiotic stress response,GO:0036293,GO:BP,response to decreased oxygen levels,0.024987481900900138,7,chemical_oxygen_stress,Chemical / oxygen / abiotic stress response,BECN1;CXCR4;MMP2;PPARD;PPARG;PTGS2;SIRT1
theme_26,Chemical / oxygen / abiotic stress response,GO:0070482,GO:BP,response to oxygen levels,0.026253202802905256,7,chemical_oxygen_stress,Chemical / oxygen / abiotic stress response,BECN1;CXCR4;MMP2;PPARD;PPARG;PTGS2;SIRT1
theme_26,Chemical / oxygen / abiotic stress response,GO:0036294,GO:BP,cellular response to decreased oxygen levels,0.02933133489791236,5,chemical_oxygen_stress,Chemical / oxygen / abiotic stress response,BECN1;PPARD;PPARG;PTGS2;SIRT1
theme_26,Chemical / oxygen / abiotic stress response,GO:0071453,GO:BP,cellular response to oxygen levels,0.033807645234822395,5,chemical_oxygen_stress,Chemical / oxygen / abiotic stress response,BECN1;PPARD;PPARG;PTGS2;SIRT1
theme_27,Signaling / receptor / hormone response,GO:0009755,GO:BP,hormone-mediated signaling pathway,0.022383661616626156,5,signaling_receptor,Signaling / receptor / hormone response,ESR1;PPARD;PPARG;RELA;SIRT1
theme_28,Chemical / oxygen / abiotic stress response,GO:0033993,GO:BP,response to lipid,0.022920812324725717,9,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,DKK1;ESR1;MMP2;MMP9;PPARD;PPARG;RELA;SIRT1;STAT3
theme_28,Chemical / oxygen / abiotic stress response,GO:1901700,GO:BP,response to oxygen-containing compound,0.037467514944093665,11,chemical_oxygen_stress,Chemical / oxygen / abiotic stress response,BECN1;DKK1;ESR1;MMP2;MMP9;PPARD;PPARG;RELA;SIRT1;STAT3;TIMP1
theme_29,Lipid / fatty-acid / eicosanoid metabolism,GO:0033559,GO:BP,unsaturated fatty acid metabolic process,0.025618847845572085,4,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,CYP1A2;PTGS1;PTGS2;SIRT1
theme_29,Lipid / fatty-acid / eicosanoid metabolism,GO:0006690,GO:BP,icosanoid metabolic process,0.028606256739203573,4,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,CYP1A2;PTGS1;PTGS2;SIRT1
theme_30,Signaling / receptor / hormone response,GO:1902532,GO:BP,negative regulation of intracellular signal transduction,0.025618847845572085,8,signaling_receptor,Signaling / receptor / hormone response,DKK1;ESR1;MMP9;PPARG;PTGS2;RELA;SIRT1;STAT3
theme_31,Inflammation / defense / stimulus response,GO:0009628,GO:BP,response to abiotic stimulus,0.02585071762250262,10,inflammation_defense,Inflammation / defense / stimulus response,BECN1;CXCR4;MMP2;MMP9;PPARD;PPARG;PTGS2;RELA;SIRT1;TIMP1
