dataset_id,sample_id,group,pair_id,gene_symbol,expression_value,expression_scale
TCGA-COAD+GTEx-colon,TCGA-A6-2671-11,normal,TCGA-A6-2671,GPX1,7.463,Toil/Xena RSEM TPM delivered on log2-like scale
TCGA-COAD+GTEx-colon,TCGA-A6-2671-11,normal,TCGA-A6-2671,GRN,9.022,Toil/Xena RSEM TPM delivered on log2-like scale
TCGA-COAD+GTEx-colon,TCGA-A6-2671-11,normal,TCGA-A6-2671,GSR,5.714,Toil/Xena RSEM TPM delivered on log2-like scale
TCGA-COAD+GTEx-colon,TCGA-A6-2671-11,normal,TCGA-A6-2671,GUCY2C,5.195,Toil/Xena RSEM TPM delivered on log2-like scale
TCGA-COAD+GTEx-colon,TCGA-A6-2671-11,normal,TCGA-A6-2671,HMGCR,4.821,Toil/Xena RSEM TPM delivered on log2-like scale
TCGA-COAD+GTEx-colon,TCGA-A6-2671-11,normal,TCGA-A6-2671,HSPA9,6.457,Toil/Xena RSEM TPM delivered on log2-like scale
TCGA-COAD+GTEx-colon,TCGA-A6-2671-11,normal,TCGA-A6-2671,IFNG,-3.308,Toil/Xena RSEM TPM delivered on log2-like scale
TCGA-COAD+GTEx-colon,TCGA-A6-2671-11,normal,TCGA-A6-2671,IL13,-6.506,Toil/Xena RSEM TPM delivered on log2-like scale
TCGA-COAD+GTEx-colon,TCGA-A6-2671-11,normal,TCGA-A6-2671,IL18,4.857,Toil/Xena RSEM TPM delivered on log2-like scale
TCGA-COAD+GTEx-colon,TCGA-A6-2671-11,normal,TCGA-A6-2671,IL1A,-5.574,Toil/Xena RSEM TPM delivered on log2-like scale
TCGA-COAD+GTEx-colon,TCGA-A6-2671-11,normal,TCGA-A6-2671,IL1B,-0.3752,Toil/Xena RSEM TPM delivered on log2-like scale
TCGA-COAD+GTEx-colon,TCGA-A6-2671-11,normal,TCGA-A6-2671,IL33,2.519,Toil/Xena RSEM TPM delivered on log2-like scale
